Division,P/T Section ID,Section Number,P/T Subsection ID,Subsection Number,P/T Article Title,P/T Sentence Number,P/T Sentence Text
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Maximum Quantities and Location,es004501,"When quantities greater than those permitted for incidental use in ep001016.2.8 are required for special process operations, storage tanks for flammable liquids or combustible liquids are permitted to be located outside of a storage room referred to in es004500, provided that total quantities per fire compartment are not more than one-half the quantities permitted in et000355, they are located on the first storey, and the installation conforms to Articles ea004317 to ea002358"
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Storage Tank Construction,es016115,"Storage tanks with an individual capacity exceeding 2 500 L but not exceeding 20 000 L that are used in conformance with et001205 shall be of double-walled construction in conformance with es004389e or a minimum of 300 deg. secondarily contained construction, and monitored for leakage in conformance with es007501."
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Storage Tank Construction,es016116,"Storage tanks with an individual capacity exceeding 20 000 L that are used in conformance with et001205 shall conform to es004389n, and be monitored for leakage in conformance with es007501."
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Piping Systems,es016117,"Piping systems serving oil-burning equipment, diesel-engine-driven emergency generators and fire pumps shall conform to csab139."
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Fire Compartments,es004502,Fire compartments regulated by this Subsection shall be separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 2 h.
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Mixed Storage,es004503,"When 2 or more classes of liquids are stored in a single storage room referred to in es004500, the total quantity permitted for each class of liquid shall be calculated as follows:qIQI+qII+IIIAQII +IIIA≤1 where qI = actual quantity of Class I liquids present, qII + IIIA = actual quantity of Class II and IIIA liquids present, QI = maximum quantity of Class I liquids permitted in et000355, and QII + IIIA = maximum quantity of Class II and IIIA liquids permitted in et000355."
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Storage Tanks outside Storage Rooms,es007411,"Where storage tanks for flammable liquids or combustible liquids are located outside of storage rooms conforming to ep001016.3.13, provision shall be made to contain a spill equal to at least 100% of the volume of the largest storage tank, or to drain away spilled flammable liquids or combustible liquids, and the area in which the storage tanks are located shall be ventilated (see en001065)."
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Vents,es006266,"Except as provided in es004506, normal and emergency vents for storage tanks in buildings shall be provided in conformance with Subsections ep001016.3.4 and ep001016.3.5 (See en000634.)"
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Vents,es004506,"The use of weak roof-to-side shell seams, designed to rupture before the allowable design stress of the storage tank is reached, shall not be permitted as a means of emergency venting of storage tanks inside buildings."
B,ep001016.3,4.3,ep001016.3.12,4.3.12,"Supports, Foundations and Anchorage",es004507,"Except as provided in es004508, where storage tanks for flammable liquids or combustible liquids are installed inside buildings, the supports, foundations and anchorage for such storage tanks shall be in conformance with ep001016.3.3"
B,ep001016.3,4.3,ep001016.3.12,4.3.12,"Supports, Foundations and Anchorage",es004508,"Where a storage tank is suspended, rather than supported on a foundation, supports shall be designed and installed in conformance with good engineering practice. (See en000635.)"
B,ep001016.3,4.3,ep001016.3.12,4.3.12,Bonding and Grounding,es004509,"Where storage tanks for flammable liquids or combustible liquids are installed inside buildings, tanks, piping and discharge equipment shall be bonded and grounded."
B,ep001016.3,4.3,ep001016.3.13,4.3.13,Design and Construction,es004510,"Rooms for storage tanks inside buildings, referred to in es004500, shall be separated from the rest of the building by a fire separation having a fire-resistance rating of at least 2 h, designed to contain a spill equal to at least 100% of the volume of the largest storage tank, or to drain away spilled flammable liquids or combustible liquids, made liquid-tight where the walls join the floor, and used for no other purposes than the storage and handling of flammable liquids or combustible liquids."
B,ep001016.3,4.3,ep001016.3.13,4.3.13,Clearances,es004511,A minimum clear space of 550 mm shall be maintained between the walls of a room described in ea002359 and the sides of any storage tanks within the room.
B,ep001016.3,4.3,ep001016.3.13,4.3.13,Explosion Venting,es004512,"Where Class IA or IB liquids are dispensed within a storage room, the room shall be designed to prevent critical structural and mechanical damage from an internal explosion in conformance with nfpa68. (See en001054.)"
B,ep001016.3,4.3,ep001016.3.13,4.3.13,Placards,es004515,Placards conforming to ea002165 that identify the liquids stored as flammable liquids or combustible liquids and the capacities of the storage tanks shall be posted in a conspicuous location outside of the room.
B,ep001016.3,4.3,ep001016.3.14,4.3.14,Connections,es004516,Connections for all openings in storage tanks in buildings shall be liquid- and vapour-tight.
B,ep001016.3,4.3,ep001016.3.14,4.3.14,Connections,es004517,Connections to storage tanks through which liquid can flow shall be provided with valves located as close as practicable to the tank.
B,ep001016.3,4.3,ep001016.3.14,4.3.14,Connections,es013792,Connections for filling or emptying storage tanks shall be provided with a spill containment device in accordance with es013790.
B,ep001016.3,4.3,ep001016.3.14,4.3.14,Openings for Liquid Level Measurement,es004518,Openings that are independent of the fill pipe and are used for measuring the liquid level in storage tanks containing Class I or II liquids shall be equipped with a vapour-tight cap which shall be opened only when measuring the liquid level.
B,ep001016.3,4.3,ep001016.3.14,4.3.14,Openings for Liquid Level Measurement,es004519,Openings referred to in es004518 shall be protected against overflow and vapour pressure by means of a spring-loaded check valve.
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Underground Storage Tanks,es007412,"When underground storage tanks will be out of service for a period not exceeding 180 days, the liquid level in the storage tank shall be measured at intervals not greater than one month and a record of the measurements shall be retained in conformance with ea004114, fill pipe covers and covers over openings to measure liquid levels, dispensers and power controls shall be kept locked when not in use, and vent piping shall be kept open."
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Underground Storage Tanks,es015219,"Except as provided in es015220, when underground storage tanks will be out of service for a period exceeding 180 days, the authority having jurisdiction shall be notified, in writing, as soon as practicable, the storage tanks, connected piping and dispensers shall be emptied of Class I liquid, and fill pipe covers and covers over openings to measure liquid levels, dispensers and power controls shall be locked."
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Underground Storage Tanks,es015220,"Where underground storage tank facilities are operated on a seasonal basis, at the close of each season of operation, the liquid level of each storage tank shall be measured, a record of the measurements shall be retained in conformance with ea004114, and all fill pipe covers and covers over openings for measuring liquid levels, dispensers and power controls shall be locked, and before the start of each season of operation, the liquid level in each storage tank shall be measured, the measurements shall be compared with those recorded at the close of the previous season, and when a loss of liquid or water intrusion is apparent, immediate action shall be taken to determine and correct the condition."
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Underground Storage Tanks,es015221,"When an underground storage tank is to be reused for the storage of flammable liquids or combustible liquids, the authority having jurisdiction shall be notified."
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Underground Storage Tanks,es015222,"If an underground storage tank has been out of service for more than 12 months, the tank and piping shall be tested for leakage in conformance with ep001016.11"
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Aboveground Storage Tanks,es007413,"When an aboveground storage tank will be out of service or unsupervised for a period not exceeding 180 days, the piping from the tank shall be capped or the valves that are necessary to achieve similar isolation of the tank shall be closed and securely locked."
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Aboveground Storage Tanks,es007414,"Where a storage tank referred to in es007413 contains flammable liquids or combustible liquids, the liquid level in the tank shall be measured and compared with subsequent readings taken at intervals not greater than one month."
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Aboveground Storage Tanks,es007415,"When an aboveground storage tank will be out of service or unsupervised for a period exceeding 180 days, all liquid and vapours shall be removed from the storage tank and its connected piping."
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Aboveground Storage Tanks,es015225,"Aboveground storage tanks that have been out of service for a period of more than 180 days and are to be returned to service shall, where possible, be internally inspected and the authority having jurisdiction shall be advised of the inspection results and the intention to return the storage tanks to service."
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Disposal,es007416,"When a storage tank is to be permanently disposed of, sufficient openings shall be cut in the tank to render it unfit for further use."
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Underground Piping Systems,es016118,"The removal, abandonment in place, disposal or temporary taking out of service of an underground piping system shall be in conformance with good engineering practice. (See en001066.)"
B,ep001016.3,4.3,ep001016.3.15,4.3.15,Corrosion Protection,es015226,Corrosion protection systems shall be maintained in operating condition when a storage tank is temporarily out of service and during seasonal shutdowns.
B,ep001016.3,4.3,ep001016.3.17,4.3.17,Removal,es015227,"Except as permitted in ea011174, when an underground storage tank system has no further use or has been out of service for 2 years, the owner shall notify the authority having jurisdiction in writing at least 30 days before the removal of an underground storage tank system, storage tanks shall have all flammable liquids and combustible liquids removed from them, storage tanks shall be purged of vapours and removed from the ground (see en001332), and the associated piping shall be purged of vapours and the ends permanently sealed by capping or plugging, or removed from the ground."
B,ep001016.3,4.3,ep001016.3.17,4.3.17,Removal,es015228,"If soil surrounding the storage tanks described in es015227 is found to be contaminated, the owner shall notify the authority having jurisdiction, when requested, provide a report showing the extent of the site soil contamination, and remove, treat or replace the contaminated soil in a manner acceptable to the authority having jurisdiction."
B,ep001016.3,4.3,ep001016.3.17,4.3.17,Abandonment in Place,es015229,"If it is impracticable to remove an underground storage tank, the owner shall apply to the authority having jurisdiction for permission to abandon the storage tank in place."
B,ep001016.3,4.3,ep001016.3.17,4.3.17,Abandonment in Place,es015230,"An owner who makes application for permission to abandon a storage tank in place in accordance with es015229 shall describe in the application the reasons why it is impracticable to remove the storage tank and provide other information that supports the application, satisfy the authority having jurisdiction that the soil under and around the storage tank has not been contaminated with petroleum product, and provide confirmation that the owner of the property is aware of the application and agrees with the plan to abandon the storage tank in place."
B,ep001016.3,4.3,ep001016.3.17,4.3.17,Abandonment in Place,es015231,"The owner may be granted permission to abandon the storage tank in place if the authority having jurisdiction is satisfied that the storage tank is located in whole or in part beneath a permanent building or other facility, making excavation impracticable, of a size or type of construction that makes excavation impracticable, inaccessible to the heavy equipment necessary for removal of the storage tank, or situated so that removal of the storage tank would endanger the structural integrity of nearby buildings or other facilities."
B,ep001016.3,4.3,ep001016.3.17,4.3.17,Abandonment in Place,es015233,"If the authority having jurisdiction grants permission to abandon a storage tank in place in accordance with es015231, the owner shall purge the storage tank of vapours to less than 10% of the lower explosive limit, check for the presence of vapours using combustible gas detection equipment, arrange for a certified person to enter the storage tank and conduct an internal inspection of the storage tank for perforations, notify the authority having jurisdiction if the storage tank is perforated, conduct additional investigations or take remedial actions in accordance with directions issued by the authority having jurisdiction, remove sludge from the storage tank and dispose of it in a manner acceptable to the authority having jurisdiction, make holes along the top of the storage tank large enough to permit filling the storage tank with inert material, fill the storage tank with sand, gravel, concrete or other inert material acceptable to the authority having jurisdiction, and remove associated piping from service in conformance with es015227d."
B,ep001016.3,4.3,ep001016.3.17,4.3.17,Abandonment in Place,es015234,"If it is considered impracticable to carry out the internal inspection required by es015233c, the owner shall conduct precision leak tests if so directed by the authority having jurisdiction. (See ep001016.11)"
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Application,es007487,"Except as provided in es007488 and except as otherwise specified in this Code, this Section provides the minimum requirements regarding the detection of leaks in aboveground and underground storage tanks, piping systems and sumps."
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Application,es007488,This Section shall not apply to storage tanks that have been taken out of service in compliance with the applicable provisions of Subsections ep001016.3.15 and ep001016.3.17
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Frequency and Methods of Leak Detection Testing and Monitoring,es007489,"Every storage tank, piping system and sump, including those at fuel-dispensing stations, shall be tested and monitored for leaks in conformance with Tables et001023 to et001021, which establish the minimum requirements regarding the frequency and methods to be used for commissioning testing, subsequent in-service monitoring, and testing when a leak is suspected. (See en001544.)"
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Frequency and Methods of Leak Detection Testing and Monitoring,es007490,The methods referred to in es007489 shall conform to Subsections ep001016.11.2 to ep001016.11.4
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Frequency and Methods of Leak Detection Testing and Monitoring,es007491,"The commissioning testing referred to in es007489 shall be performed at the time of installation once backfill and surfacing have been completed but before being put into service, in the case of an underground storage tank or underground piping system, before being put into service, in the case of an aboveground storage tank or exposed piping system, and once the final surface materials have been installed but before being put into service, in the case of a sump."
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Frequency and Methods of Leak Detection Testing and Monitoring,es007492,The frequency of the in-service monitoring referred to in es007489 shall be calculated from the date of the commissioning test.
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Frequency and Methods of Leak Detection Testing and Monitoring,es007493,"Immediate action shall be taken when a leak is suspected and the leak detection testing referred to in es007489 shall be performed if a loss of liquid or a gain of water is indicated by any of the leak detection measures described in this Section, or the level of water at the bottom of an underground storage tank exceeds 50 mm."
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Frequency and Methods of Leak Detection Testing and Monitoring,es016119,"Where dispenser sumps, transition sumps and turbine sumps are provided with electronic monitoring devices in accordance with es016143, the devices shall be interlocked with the dispenser or pump to shut it down upon detection of either product or a high liquid level."
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Frequency and Methods of Leak Detection Testing and Monitoring,es006789,"The minimum requirements referred to in es007489 shall not preclude the appropriate use of alternative solutions, innovative new technologies, or methods capable of achieving the same objectives. (See en000714.)"
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Remedial Action,es007494,"Except as provided in es016012, when a leak detection test required by this Section detects a leak in a storage tank, piping system or sump, the leaking components or system shall be repaired and tested, replaced, or removed."
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Remedial Action,es016012,"When a leak detection test required by this Section detects a leak in a single-walled construction underground storage tank or piping system, the leaking components or system shall be replaced in conformance with Articles ea005012 and ea005017, or taken out of service in conformance with ep001016.3.15"
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Remedial Action,es016013,"Where a leak is detected as described in es007494 or es016012, the escaped liquid shall be removed in conformance with ep001016.1.6"
B,ep001016.11,4.11,ep001016.11.1,4.11.1,Retention of Records,es007495,Records of the tests referred to in this Section shall be retained in conformance with ea004114.
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es007496,This Subsection applies to the leak detection testing and monitoring methods referred to in this Section.
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es007497,"Inventory reconciliation referred to in this Section shall for the time period designated, determine product loss or gain based on the reconciliation of change in physical inventory, inventory additions (deliveries), inventory removals (sales), and miscellaneous inventory alterations, and determine the level of water in the tank. (See en001505.)"
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es006422,A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See en001082.)
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es007498,"Statistical inventory reconciliation (SIR) methodology shall be capable of detecting a leak of 0.38 L/h with a probability of detection of 0.95 or greater and a probability of false alarm of 0.05 or less, based on an inventory record of specified length to be considered as an annual test, or of 0.76 L/h with a probability of detection of 0.95 or greater and a probability of false alarm of 0.05 or less, based on an inventory record of specified length to be considered as a monthly test. (See en001506.)"
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es007499,"Where inventory reconciliation is performed using automatic tank gauging referred to in es007497, the system shall conform to good engineering practice and meet the requirements of a precision leak detection test when a leak is suspected in conformance with et001023. (See en001541.)"
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es007500,A continuous in-tank leak detection system shall conform to good engineering practice and meet the requirements of a precision leak detection test. (See en001083.)
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es007501,High-tech secondary containment monitoring referred to in this Section shall include the use of an automatic device that continuously monitors the interstitial space between the inner tank or inner piping and the secondary containment. (See es004455.) (See en000717 for low-tech method.)
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es007502,"Visual inspection referred to in this Section shall, in the case of an exposed piping system, conform to ea002428, and in the case of an aboveground storage tank, consist of a visual examination of the tank shell, or if the bottom of the tank is not amenable to a visual examination, testing the bottom of the tank (see en000718)."
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es006428,A static liquid media leak detection test shall conform to ea004390
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es007503,"The precision leak detection test for underground storage tanks that is referred to in this Section shall be capable of detecting a storage tank leak rate as small as 0.38 L/h within 24 h with a probability of detection of 0.95 or greater and a probability of false alarm of 0.05 or less (see en001084), and be conducted by an individual who has been trained in the proper care and use of the test equipment and the operating procedures. (See also Sentences es007506and es007507.)"
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es006430,Pipe leak detection referred to in this Section shall conform to ulcc107.12. (See also Articles ea004388 and ea004389)
B,ep001016.11,4.11,ep001016.11.2,4.11.2,Definition and Performance of Leak Detection Testing and Monitoring Methods,es007504,"A single vertical check valve referred to in this Section shall consist of a vertical check valve located immediately under the pump, be installed with no other check valve between the suction pump and the storage tank, and be part of an installation where lines must be sufficiently sloped so that any liquid in the line will drain back into the storage tank should a leak occur in the piping system. (See en000720.)"
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Leak Detection Tests,es007505,"Where field test methods are included in the storage tank construction standards referred to in Articles ea002298 and ea002299, such tests shall be permitted for storage tanks conforming to those standards."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Leak Detection Tests,es007506,"If a precision leak detection test referred to in es007503 detects a leak rate exceeding 0.38 L/h on an underground storage tank, the tank shall be considered to be leaking."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Leak Detection Tests,es007507,"During a leak detection test on a storage tank, the pressure at the bottom of the tank shall not exceed the tank manufacturer's specifications."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Pneumatic Leak Detection Tests,es007163,Pneumatic leak detection tests using compressed air shall not be performed on storage tanks and piping systems having once contained flammable liquids or combustible liquids.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Pneumatic Leak Detection Tests,es006438,"Except as provided in es007163, pneumatic leak detection tests using compressed air or an inert gas shall include the application of soap and water to the storage tank and piping surface, fittings, joints and connections to help in the detection of leaks."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Pneumatic Leak Detection Tests,es006439,"In the case of underground storage tanks or piping, the test referred to in es006438 shall be conducted prior to covering the tank or piping system."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Pneumatic Leak Detection Tests,es007510,"Where a pneumatic leak detection test is conducted before an underground storage tank is backfilled, in the case of a new tank, or after the tank is uncovered, in the case of a previously installed tank, the test pressure shall be in conformance with the production testing requirements of ulcs603 or ulcs615."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Pneumatic Leak Detection Tests,es006440,Pneumatic leak detection tests shall not be performed on field-erected aboveground storage tanks.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Pneumatic Leak Detection Tests,es007511,Measures shall be taken to guard against the hazards associated with pneumatic leak detection testing in areas where explosive mixtures of flammable liquid or combustible liquid vapours and air may be present in the vicinity of a storage tank that has been in use.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Pneumatic Leak Detection Testing of Piping Systems,es007512,"A pressure decline test using an inert gas is permitted to be used as a leak detection test for piping systems that are new or in use, and convey a volume of less than 1 000 L."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Pneumatic Leak Detection Testing of Piping Systems,es006449,A pressure decline test performed on a piping system shall conform to Sentences es006450 to es007515.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Pneumatic Leak Detection Testing of Piping Systems,es006450,"The design and installation of the piping system permitting, the piping system's contents shall be drained prior to conducting the pressure decline test procedure."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Pneumatic Leak Detection Testing of Piping Systems,es007513,"Pumps, dispensers and other auxiliary equipment that are connected to the piping system and cannot withstand the pressure of the test shall be isolated from the test procedure to prevent damage to the equipment."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Pneumatic Leak Detection Testing of Piping Systems,es007383,A stabilization period of up to 30 min is required after pressurization.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Pneumatic Leak Detection Testing of Piping Systems,es006453,Pipe volumes of 500 L or less shall be pressurized for at least 60 min after stabilization.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Pneumatic Leak Detection Testing of Piping Systems,es006454,Pipe volumes greater than 500 L but less than 1 000 L shall be pressurized for at least 2 h after stabilization.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Pneumatic Leak Detection Testing of Piping Systems,es007514,"Test pressures shall be the greater of 350 kPa (gauge) or 1.5 times the maximum operating pressure, and not exceed the piping manufacturer's test specifications."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Pneumatic Leak Detection Testing of Piping Systems,es007515,The piping system shall be considered to be leaking if any pressure decline is detected within the time periods stated.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Liquid Media Leak Detection Testing of Piping Systems,es006455,Liquid media leak detection testing of piping systems shall conform to Sentences es006456 to es007519.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Liquid Media Leak Detection Testing of Piping Systems,es006456,Test devices and methods shall conform to the performance requirements of ulcc107.12.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Liquid Media Leak Detection Testing of Piping Systems,es006457,Tests shall be conducted by an individual who has been trained in the proper use of the test device and the operating procedures.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Liquid Media Leak Detection Testing of Piping Systems,es007516,A sufficient amount of time shall be allocated to stabilize the temperature of the liquid throughout the volume of the piping during the test.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Liquid Media Leak Detection Testing of Piping Systems,es007517,"Except as provided in Sentences es006797 and es006798, test pressure shall be the greater of 350 kPa (gauge) or 1.5 times the maximum operating pressure, and not exceed the piping manufacturer's test specifications."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Liquid Media Leak Detection Testing of Piping Systems,es006797,Test pressures exceeding 700 kPa (gauge) shall not be permitted unless the piping system is designed for such pressures.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Liquid Media Leak Detection Testing of Piping Systems,es006798,"Where test pressures exceed the design pressures for pumps or similar components connected to the piping system being tested, such pumps or components shall be isolated from the test procedure."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Liquid Media Leak Detection Testing of Piping Systems,es007518,"Class I liquids shall not be used for pressure testing piping systems, except that pressure piping normally containing Class I liquids is permitted to be tested with such liquids at pressures not exceeding their maximum operating pressures."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Liquid Media Leak Detection Testing of Piping Systems,es007519,The piping system shall be considered to be leaking if the leak rate exceeds 0.38 L/h.
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Leak Detection Testing of Sumps,es007520,"Static liquid media leak detection testing of turbine, transition, dispenser and pump sumps shall conform to Sentences es016120 to es006460."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Leak Detection Testing of Sumps,es016120,"Static liquid media testing of sumps shall be performed at the installation stage after all electrical and mechanical work passing through the sump wall has been completed, but before any backfilling around the exterior of the sump is completed."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Leak Detection Testing of Sumps,es007521,"The liquid used for the test shall exceed the elevation of the piping and other points of entry into the sump by at least 50 mm, and not be a flammable liquid or a combustible liquid."
B,ep001016.11,4.11,ep001016.11.3,4.11.3,Protocols for Leak Detection Testing of Sumps,es006460,The minimum duration of the test shall be 1 h with no visual or measured evidence of leakage.
B,ep001016.11,4.11,ep001016.11.4,4.11.4,Inventory Reconciliation,es007523,"Where inventory reconciliation is required by this Section, the liquid level in any storage tank shall be measured at intervals not greater than 7 days in conformance with Sentences es007524 to es007526, except that at fuel-dispensing stations the measurements shall be taken each day the station is in operation."
B,ep001016.11,4.11,ep001016.11.4,4.11.4,Inventory Reconciliation,es007524,"The level of water at the bottom of an underground storage tank shall be measured at intervals not greater than 7 days, except that at fuel-dispensing stations the measurements shall be taken each day the station is in operation."
B,ep001016.11,4.11,ep001016.11.4,4.11.4,Inventory Reconciliation,es007525,"Investigative action shall be undertaken if the inventory reconciliation described in es007497 indicates the following inexplicable conditions: a monthly loss of 0.5 percent or more of the throughput from an underground storage tank, or 1.0 percent or more of the throughput from an aboveground storage tank, three consecutive losses greater than 200 L/day, and a water level greater than 50 mm."
B,ep001016.11,4.11,ep001016.11.4,4.11.4,Inventory Reconciliation,es007526,A record of the measurements for each storage tank and of the computations described in es007525 shall be retained in conformance with ea004114.
B,ep001016.11,4.11,ep001016.11.4,4.11.4,Leakage Detection,es007527,"Where continuous leak detection is provided on an underground piping system, it shall conform to ulcc107.12."
B,ep001016.4,4.4,ep001016.4.1,4.4.1,Application,es004542,This Section applies to piping and transfer systems for flammable liquids and combustible liquids.
B,ep001016.4,4.4,ep001016.4.1,4.4.1,Application,es007417,"Except where otherwise stated in this Part, this Section shall not apply to the following: tubing or casings and piping for oil or gas wells, transmission pipelines, piping for vehicles, aircraft, watercraft and portable or stationary engines, piping systems in fuel-dispensing stations and distilleries, and piping that falls within the scope of the applicable provincial or territorial codes regulating boilers and pressure vessels."
B,ep001016.4,4.4,ep001016.4.2,4.4.2,Materials,es004544,Materials for piping systems containing flammable liquids or combustible liquids shall be suitable for the maximum anticipated working pressures and operating temperatures and for the chemical properties of the contained liquid.
B,ep001016.4,4.4,ep001016.4.2,4.4.2,Materials,es004545,"Except as provided in es004546, the use of the following materials for piping systems referred to in es004544 shall not be permitted: materials that are subject to failure from internal stress or rupture by mechanical damage, or combustible or low-melting-point materials that are subject to failure even in moderate fires."
B,ep001016.4,4.4,ep001016.4.2,4.4.2,Materials,es004546,"Metallic and non-metallic piping systems are permitted to be used for underground installations, provided they conform to ulcs667."
B,ep001016.4,4.4,ep001016.4.2,4.4.2,Materials,es004547,"Except as provided in es004548, where steel piping is used, it shall conform to api5l astma53m or csaz245.1."
B,ep001016.4,4.4,ep001016.4.2,4.4.2,Materials,es004548,"Where service pressures exceeding 875 kPa (gauge) may occur, piping and fittings shall be designed in conformance with asmeb31.3."
B,ep001016.4,4.4,ep001016.4.2,4.4.2,Materials,es007419,"Underground piping systems shall include piping in tank sumps, transition sumps and dispenser sumps."
B,ep001016.4,4.4,ep001016.4.2,4.4.2,Special Materials,es004549,"Where problems of corrosion, contamination, or sanitation or standards of purity require special materials, it is permitted to use non-metallic materials for piping, valves and fittings in conformance with es007176b."
B,ep001016.4,4.4,ep001016.4.3,4.4.3,Corrosion Protection,es007421,Underground metallic piping systems in contact with the soil or groundwater shall be protected against corrosion in conformance with ulcs603.1 or nacesp0169.
B,ep001016.4,4.4,ep001016.4.4,4.4.4,Identification,es004552,"Pipelines for flammable liquids or combustible liquids shall be marked with the contents of the line, and these markings shall be maintained in a clearly legible form."
B,ep001016.4,4.4,ep001016.4.4,4.4.4,Identification,es004553,Piping for flammable liquids or combustible liquids shall not be painted red.
B,ep001016.4,4.4,ep001016.4.4,4.4.4,Identification,es004554,Transfer points in piping systems for flammable liquids and combustible liquids shall be identified in conformance with cfa-css.
B,ep001016.4,4.4,ep001016.4.4,4.4.4,Documentation,es007422,"Documentation on the piping systems for flammable liquids or combustible liquids, including the tank and pumping arrangements, shall be made available to the fire department upon request."
B,ep001016.4,4.4,ep001016.4.4,4.4.4,Documentation,es007423,Documents referred to in es007422 shall be kept at two separate locations so that one copy remains readily available in the event the other is inaccessible due to fire.
