ID,Division,Article Title,Sentence Number,Sentence Text
ID29069,B,Leased Areas,3.13.3.4.(5),"In a rapid transit station that is erected entirely above the adjoining finished ground level and is a stand-alone building, where the leased area on any floor level exceeds 20% of the public area on that level, the public area shall be sprinklered."
ID29076,B,Leased Areas,3.13.3.4.(6),"In determining the leased area in Sentences (4) and (5), it is not necessary to include a leased area that is separated from the public area by a fire separation having a fire-resistance rating not less than, (a) 2 h where the leased area contains a mercantile or medium hazard industrial occupancy, or (b) 1 h where the leased area contains any other occupancy."
ID29086,B,Leased Areas,3.13.3.4.(7),"A leased area is permitted on a platform level provided it is, (a) located not less than 5 m from the platform edge, (b) located not less than 5 m from an egress facility, and (c) not located in a dead end portion of the platform."
ID29093,B,Vehicle Terminal,3.13.3.5.(1),"Where an enclosed terminal serves vehicles powered by combustible fuels, and the terminal has direct access to a rapid transit station, (a) the terminal shall be sprinklered, and (b) the terminal shall be separated from the rapid transit station, (i) by a fire separation having a fire-resistance rating not less than 1 h, or (ii) by wired glass assemblies conforming to MMAH Supplementary Standard SB-2, “Fire Performance Ratings”, with wired glass doors equipped with self-closing devices."
ID29104,B,Vehicle Terminal,3.13.3.5.(2),Doors in the fire separation or in the wired glass assembly in Clause (1)(b) are not required to have latches where close spaced sprinkler protection is provided on the station side.
ID29109,B,Access to Adjacent Building,3.13.3.6.(1),"Where an access is provided between a rapid transit station and an adjacent building, the station and the building shall be separated by a fire separation having a fire-resistance rating not less than 2 h."
ID29116,B,Access to Adjacent Building,3.13.3.6.(2),"The access in Sentence (1) shall be through a vestibule that is separated from the station and from the building, (a) by a fire separation having a fire-resistance rating not less than 1 h, or (b) by wired glass assemblies conforming to MMAH Supplementary Standard SB-2, “Fire Performance Ratings”, with wired glass doors equipped with self-closing devices."
ID29123,B,Access to Adjacent Building,3.13.3.6.(3),"The vestibule doors in Sentence (2), (a) are not required to be equipped with latches, and (b) shall swing in the direction of travel from the rapid transit station."
ID29128,B,Access to Adjacent Building,3.13.3.6.(4),Close spaced sprinkler protection shall be provided on each side of all vestibule doors.
ID29130,B,Access to Adjacent Building,3.13.3.6.(5),The vestibule shall not contain an occupancy.
ID29133,B,Access to Adjacent Building,3.13.3.6.(6),"Where an access is provided between a rapid transit station and an adjacent building, and the building is regulated by the provisions of Subsection 3.2.6. or 3.2.8., these provisions are not required in the rapid transit station."
ID29141,B,Emergency Lighting,3.13.3.7.(1),Emergency lighting shall be provided to average levels not less than 10 lx at floor or tread level in public areas in a rapid transit station.
ID29145,B,Emergency Lighting,3.13.3.7.(2),An emergency power supply conforming to Subsection 3.2.7. shall be provided to maintain the emergency lighting required in Sentence (1) for a period of 30 min after a power failure. 3.13.4. Means of Egress
ID29150,B,Occupant Load,3.13.4.1.(1),"The occupant load for public areas within a rapid transit station shall be, (a) determined in conformance with this Subsection, and (b) based on peak hour patronage as projected for design of the transit system."
ID29156,B,Occupant Load,3.13.4.1.(2),The platform occupant load for each platform in a rapid transit station shall be the greater of the a.m. or p.m. peak period loads calculated in accordance with Sentences (3) to (5).
ID29159,B,Occupant Load,3.13.4.1.(3),The a.m. and the p.m. peak period occupant loads for each platform shall be based on the simultaneous evacuation of the entraining load and the link load for that platform.
ID29163,B,Occupant Load,3.13.4.1.(4),"The entraining load for each platform shall be the sum of the entraining loads for each track serving that platform and the entraining load for each track shall be based on the entraining load per train headway multiplied by, (a) a factor of 1.3 to account for surges, and (b) in the peak direction for each route, an additional factor of 2 to account for a missed headway."
ID29172,B,Occupant Load,3.13.4.1.(5),"The link load for each platform shall be the sum of the link loads for each track serving that platform and, except as provided in Sentence (6), the link load for each track shall be based on the link load per train headway multiplied by, (a) a factor of 1.3 to account for surges, and (b) in the peak direction for each route, an additional factor of 2 to account for a missed headway."
ID29181,B,Occupant Load,3.13.4.1.(6),The maximum link load at each track shall be the maximum calculated train load.
ID29187,B,General Requirements,3.13.4.2.(1),"Except as provided in Sentence (2), escalators conforming to the requirements of Sentences 3.13.4.5.(3) and 3.13.4.6.(1) shall be acceptable as part of a required means of egress in a rapid transit station."
ID29191,B,General Requirements,3.13.4.2.(2),Escalators forming part of a required means of egress shall not comprise more than one-half of the required egress capacity from any one level.
ID29195,B,General Requirements,3.13.4.2.(3),Horizontal exits conforming to Sentence (4) may provide all of the required egress capacity from a rapid transit station.
ID29200,B,General Requirements,3.13.4.2.(4),Horizontal exits to any one building shall not comprise more than one-half of the required egress capacity from any area within a rapid transit station.
ID29206,B,General Requirements,3.13.4.2.(5),A protected route shall be provided with emergency ventilation conforming to Subsection 3.13.7.
ID29209,B,General Requirements,3.13.4.2.(6),"In an aboveground unenclosed station, the protected route is permitted to begin at the point of leaving the platform."
ID29212,B,General Requirements,3.13.4.2.(7),"In an enclosed or underground station, the protection for the protected route shall consist of, (a) a fire separation having a fire-resistance rating not less than 1 h, (b) construction having a fire-resistance rating not less than 1 h, or (c) wired glass assemblies conforming to MMAH Supplementary Standard SB-2, “Fire Performance Ratings”."
ID29223,B,Number and Location of Means of Egress,3.13.4.3.(1),Each platform in a rapid transit station shall be served by no fewer than two means of egress that are independent of and remote from each other from the platform to the exterior of the station.
ID29227,B,Number and Location of Means of Egress,3.13.4.3.(2),"Where a continuous level walking surface is provided between two adjacent platforms, they may be considered as one platform for the purpose of conforming to this Subsection."
ID29229,B,Number and Location of Means of Egress,3.13.4.3.(3),"At the platform level, the distance separating the egress facilities in Sentences (1) and (2) shall be the greater of one car length or 25 m."
ID29231,B,Number and Location of Means of Egress,3.13.4.3.(4),"Except as required in Sentence (1), two or more means of egress are permitted to converge in conformance with Sentence 3.13.4.4.(6)."
ID29234,B,Number and Location of Means of Egress,3.13.4.3.(5),"Means of egress from platforms shall be located so that the travel time from the most remote point on a platform to a protected route does not exceed 4 min based on travel speeds of, (a) 38 m/min for horizontal travel, and (b) 21 m/min for vertical rise."
ID29242,B,Egress Capacity,3.13.4.4.(1),"For a rapid transit station, the required aggregate egress capacity from each platform shall be determined by dividing the platform occupant load determined in accordance with Sentences 3.13.4.1.(2) to (6) by the required platform clearance time determined in accordance with Sentence (3)."
ID29246,B,Egress Capacity,3.13.4.4.(2),"Where two platforms are considered as one platform as provided in Sentence 3.13.4.3.(2), the required egress capacity for each platform shall be determined separately."
ID29249,B,Egress Capacity,3.13.4.4.(3),"The required platform clearance time shall be 4 min less the travel time between the platform and the entry into the protected route based on travel speeds of, (a) 38 m/min for horizontal travel, and (b) 21 m/min or vertical rise."
ID29254,B,Egress Capacity,3.13.4.4.(4),"For each means of egress, the required egress capacity at the platform shall be maintained for the entire length of the means of egress."
ID29259,B,Egress Capacity,3.13.4.4.(5),"Except as provided in Sentence (6), where two or more means of egress converge, the required egress capacity beyond that point shall be cumulative."
ID29263,B,Egress Capacity,3.13.4.4.(6),The egress capacity in Sentence (5) need not be cumulative after converging where it can be shown that the platform clearance time in Sentence (3) is not exceeded.
ID29268,B,Width of Means of Egress,3.13.4.5.(1),"Except as otherwise required in this Subsection, the required width of means of egress serving platforms in a rapid transit station shall be determined based on, (a) the required egress capacity determined in conformance with Article 3.13.4.4., and (b) the pedestrian flow rate for the type of means of egress facility listed in Table 3.13.4.5."
ID29351,B,Width of Means of Egress,3.13.4.5.(2),"In calculating the required width of corridors and ramps with a grade of less than 4%, 300 mm at each sidewall shall be added to the width determined based on required egress capacity."
ID29354,B,Width of Means of Egress,3.13.4.5.(3),"In calculating the required width of egress routes, one escalator at each level in a rapid transit station is deemed to be out of service and not available for egress purposes."
ID29357,B,Width of Means of Egress,3.13.4.5.(4),"Except as provided in Sentence (5), the minimum width of means of egress facilities serving platforms shall be, (a) 1 750 mm for corridors and ramps, (b) 1 750 mm for stairs, (c) 430 mm for turnstiles, (d) 500 mm for fare collection gates, (e) 600 mm nominal width for escalators, and (f) 900 mm for a door leaf."
ID29366,B,Width of Means of Egress,3.13.4.5.(5),A second means of egress as required by Sentence 3.13.4.3.(1) is permitted to be not less than 1 100 mm wide.
ID29369,B,Width of Means of Egress,3.13.4.5.(6),"The minimum width of platforms shall be, (a) 3.2 m for side platforms, and (b) 6.4 m for island platforms."
ID29373,B,Width of Means of Egress,3.13.4.5.(7),The minimum unobstructed width of platforms measured from the platform edge shall be 2.5 m.
ID29377,B,Egress Facilities,3.13.4.6.(1),"Escalators forming part of a required means of egress shall, (a) where equipped to run reverse to the direction of egress travel, be capable of being stopped remotely and locally, and (b) have a vertical rise not more than 12 m between floors or landings."
ID29382,B,Egress Facilities,3.13.4.6.(2),"Where electrically operated gates or turnstiles used for fare collection are intended to be used as part of a required means of egress from a rapid transit station, provision shall be made to release the gates or turnstiles in accordance with Sentence (4) to allow them to operate freely in the direction of egress travel."
ID29386,B,Egress Facilities,3.13.4.6.(3),"Where locked doors that prevent entry into a fare-paid area are to be used as part of a required means of egress from a rapid transit station, provision shall be made to release the doors in accordance with Sentence (4) to allow them to operate freely in the direction of egress travel."
ID29391,B,Egress Facilities,3.13.4.6.(4),"The release device required in Sentences (2) and (3) shall be installed as an ancillary device to the fire alarm system and shall release immediately, (a) upon activation of the fire alarm signal, (b) in the event of a power failure or ground fault, or (c) upon actuation of a manually operated switch accessible to authorized personnel and located in, (i) a fare collector’s booth or kiosk at the station, or (ii) the central supervising station."
ID29400,B,Egress Facilities,3.13.4.6.(5),"After release, the gates or turnstiles in Sentence (2) or the doors in Sentence (3) shall be capable of reactivation only by manual actuation of the switch in Clause (4)(c). 3.13.5. Fire Safety Provisions"
ID29405,B,Fire Alarm System,3.13.5.1.(1),"Except as provided in this Subsection, a fire alarm system conforming to Subsection 3.2.4. shall be installed in a rapid transit station."
ID29410,B,Exceptions,3.13.5.2.(1),Manual pull stations need not be installed in a rapid transit station.
ID29413,B,Exceptions,3.13.5.2.(2),Audible signal appliances need not be installed in a rapid transit station.
ID29418,B,Fire Detectors,3.13.5.3.(1),"Except where the area is sprinklered, fire detectors shall be installed in every service room, ancillary space, leased space, booth and kiosk."
ID29426,B,Central Supervising Station,3.13.5.4.(1),"Each rapid transit station shall be monitored by a central supervising station conforming to CAN/ULC-S561, “Installation and Services for Fire Signal Receiving Centres and Systems”."
ID29432,B,Annunciators,3.13.5.5.(1),"An annunciator shall be installed, (a) in a location that is readily accessible to firefighters entering the building, and (b) in the rapid transit station, (i) in a designated collector’s booth, or (ii) within viewing distance of a designated collector’s booth."
ID29442,B,Annunciator Indication,3.13.5.6.(1),"All fire alarm, fire detectors, valve switches and water flow indicator signals when activated in a rapid transit station shall be indicated on the annunciator at the station."
ID29446,B,Annunciator Indication,3.13.5.6.(2),The annunciator at a rapid transit station shall be monitored simultaneously at the central supervising station.
ID29450,B,Annunciator Indication,3.13.5.6.(3),"Where a means of egress from a rapid transit station leads through an adjoining building, any alarm signal originating in the building within 2 storeys above a connection to the station shall, (a) be indicated on the rapid transit station annunciator, and (b) cause a message to flash a warning on a sign located in conformance with Sentence (4), that the means of egress shall not be used as an exit from the station."
ID29463,B,Annunciator Indication,3.13.5.6.(4),"A sign required in Clause (3)(b) shall be located, (a) at the doors from the rapid transit station to the adjoining building, and (b) in the means of egress to the adjoining building, at the last point where there is a choice of direction to travel to at least one other exit."
ID29474,B,Emergency Power,3.13.5.7.(1),An emergency power supply conforming to Article 3.2.7.8. shall be provided for the fire alarm system.
ID29478,B,Communication Systems,3.13.5.8.(1),"In a rapid transit station, a public address system shall be installed and shall include loudspeakers that, (a) can be operated from the central supervising station, (b) can be operated from the rapid transit station in which they are located, and (c) designed and located so that voice messages can be heard intelligibly throughout the public area in a rapid transit station."
ID29488,B,Communication Systems,3.13.5.8.(2),"A two-way communication system shall be installed in each rapid transit station with telephones located at, (a) the collector’s booth, and (b) at each end of each platform."
ID29493,B,Communication Systems,3.13.5.8.(3),The telephones in Sentence (2) shall be provided with connections to the central supervising station.
ID29498,B,Emergency Reporting Devices,3.13.5.9.(1),Emergency reporting devices shall be located on passenger platforms and throughout a rapid transit station such that the distance of travel from any point in the public area to such a device is not more than 90 m.
ID29502,B,Emergency Reporting Devices,3.13.5.9.(2),The emergency reporting devices required in Sentence (1) are permitted to be public telephones with an emergency no charge capability and their location shall be plainly indicated by appropriate signs.
ID29506,B,Sprinkler Systems,3.13.5.10.(1),Sprinkler systems shall conform with the requirements of Articles 3.2.5.13 to 3.2.5.16.
ID29508,B,Sprinkler Systems,3.13.5.10.(2),In addition to the requirements of Subsection 3.13.3. the steel truss enclosure of an escalator shall be sprinklered.
ID29511,B,Sprinkler Systems,3.13.5.10.(3),There shall be identification on a fire department connection for a sprinkler system in a rapid transit station to indicate that the connection is part of the station system.
ID29516,B,Standpipe and Hose Systems,3.13.5.11.(1),"A standpipe and hose system conforming to the requirements of Subsection 3.2.9. shall be installed in a rapid transit station, except as otherwise required or permitted in this Article."
ID29519,B,Standpipe and Hose Systems,3.13.5.11.(2),Where a rapid transit station includes more than one standpipe riser there shall be a cross-connection pipe having a diameter not less than 100 mm between each standpipe riser so that supplying of water through any fire department connection will furnish water throughout each riser.
ID29522,B,Standpipe and Hose Systems,3.13.5.11.(3),There shall be identification on a fire department connection for a standpipe system in a rapid transit station to indicate that the connection is part of the station system.
ID29525,B,Standpipe and Hose Systems,3.13.5.11.(4),Hose stations shall be located so that every portion of the rapid transit station can be reached by a hose stream and is within 3 m of a hose nozzle when the hose is extended.
ID29528,B,Standpipe and Hose Systems,3.13.5.11.(5),"In addition to the requirements in Sentence (4), hose stations shall be located in each tunnel not more than 20 m from the end of the platform."
ID29530,B,Standpipe and Hose Systems,3.13.5.11.(6),The requirement for hose rack and fire hose in Sentence 3.2.9.4.(2) does not apply in a rapid transit station.
ID29533,B,Standpipe and Hose Systems,3.13.5.11.(7),Each hose station shall have a 38 mm hose connection and a 65 mm hose connection.
ID29535,B,Standpipe and Hose Systems,3.13.5.11.(8),All supply piping shall have a diameter not less than 100 mm. 3.13.6. Required Sanitary Facilities
ID29540,B,Application,3.13.6.1.(1),"Except as provided in this Subsection, Subsection 3.7.4. applies to a rapid transit station."
ID29545,B,Washrooms Required,3.13.6.2.(1),"Except as provided in Sentences (2) and (3), a washroom for each sex, containing at least one water closet and one lavatory, shall be provided in each rapid transit station for use by employees."
ID29548,B,Washrooms Required,3.13.6.2.(2),"Where the number of employees in a rapid transit station is not more than five, a washroom containing one water closet and one lavatory is permitted to be used by both sexes provided the door to the room can be locked from the inside."
ID29551,B,Washrooms Required,3.13.6.2.(3),"Where a rapid transit station is not staffed during operating hours, a washroom is not required in the station."
ID29554,B,Washrooms Required,3.13.6.2.(4),"In each rapid transit station located at the end of a line, a washroom for each sex, containing no fewer than three water closets and two lavatories, shall be provided for use by the public. 3.13.7. Emergency Ventilation"
ID29560,B,Application,3.13.7.1.(1),"Every rapid transit station shall be provided with an emergency ventilation system conforming to NFPA 130, “Fixed Guideway Transit and Passenger Rail Systems”. 3.13.8. Barrier-Free Design"
ID29566,B,Application,3.13.8.1.(1),"Except as provided in this Subsection, the requirements in Section 3.8. apply to rapid transit stations."
ID29569,B,Application,3.13.8.1.(2),A rapid transit station need not be provided with more than one barrier-free entrance described in Article 3.8.1.2.
ID29573,B,Application,3.13.8.1.(3),"At least one barrier-free path of travel shall be provided from a barrier-free entrance, (a) into the fare-paid area, and (b) to each platform."
ID29582,B,Exception,3.13.8.2.(1),"Where an elevator is used to comply with the requirements of Article 3.3.1.7., the provisions of Clause 3.3.1.7.(1)(a) do not apply where the elevator system complies with Article 3.13.8.3."
ID29586,B,Elevator Requirements,3.13.8.3.(1),"Except as provided in Sentence (2), the elevator described in Article 3.13.8.2. shall be capable of providing transportation from each platform to a barrier-free entrance described in Article 3.8.1.2."
ID29589,B,Elevator Requirements,3.13.8.3.(2),"Where it is necessary to change elevators to reach the entrance described in Sentence (1), the elevator system shall be designed so that not more than one change of elevator is required between, (a) a platform and a fare-paid area control, and (b) the fare-paid area control and the entrance."
ID29597,B,Emergency Operation of Elevators,3.13.8.4.(1),Manual emergency recall operation shall be provided for all elevators.
ID29599,B,Emergency Operation of Elevators,3.13.8.4.(2),Key-operated switches for emergency recall described in Sentence (1) shall be provided and shall be located on the outside of each elevator shaft at the level of the fare-paid area control.
ID29602,B,Emergency Operation of Elevators,3.13.8.4.(3),In-car emergency service switches shall be provided in all elevator cars.
ID29604,B,Emergency Operation of Elevators,3.13.8.4.(4),"Keys to operate the switches required in Sentences (2) and (3) shall be located at, (a) the annunciator required in Clause 3.13.5.5.(1)(a), and (b) the collector’s booth designated in Clause 3.13.5.5.(1)(b)."
ID29610,B,Washrooms Required to be Barrier-Free,3.13.8.5.(1),A barrier-free path of travel shall be provided to the washrooms required in Article 3.13.6.2.
ID29613,B,Washrooms Required to be Barrier-Free,3.13.8.5.(2),"Where a washroom required in Sentence 3.13.6.2.(1) contains only one water closet and one lavatory, the washroom shall be designed in conformance with the requirements in Article 3.8.3.12."
ID29615,B,Washrooms Required to be Barrier-Free,3.13.8.5.(3),"Where a washroom required in Sentence 3.13.6.2.(1) contains more than one water closet, the washroom shall be designed in conformance with the requirements in Articles 3.8.3.8. to 3.8.3.11."
ID29617,B,Washrooms Required to be Barrier-Free,3.13.8.5.(4),The washroom required in Sentence 3.13.6.2.(2) shall be designed in conformance with the requirements in Article 3.8.3.12.
ID29619,B,Washrooms Required to be Barrier-Free,3.13.8.5.(5),The washrooms required in Sentence 3.13.6.2.(4) shall be designed in conformance with the requirements in Articles 3.8.3.8. to 3.8.3.11. Section 3.14. Tents and Air-Supported Structures 3.14.1. Tents
ID29625,B,Application,3.14.1.1.(1),"Except as provided in this Subsection, tents are exempted from complying with the requirements of this Division."
ID29629,B,General,3.14.1.2.(1),"Except as provided in Sentence (2), the requirements of this Subsection shall apply to all tents."
ID29631,B,General,3.14.1.2.(2),"Articles 3.14.1.3., 3.14.1.7. and 3.14.1.8. do not apply to tents that, (a) do not exceed 225 m 2 in ground area, (b) do not exceed 225 m 2 in aggregate ground area and are closer than 3 m apart, (c) do not contain bleachers, and (d) are not enclosed with sidewalls."
ID29641,B,Means of Egress,3.14.1.3.(1),"Except as provided in Sentences (2) and (3), tents shall conform to Sections 3.3. and 3.4."
ID29643,B,Means of Egress,3.14.1.3.(2),A tent need not conform to Article 3.4.6.12. except where swing type doors are provided.
ID29645,B,Means of Egress,3.14.1.3.(3),"Where the area between adjacent tents or a tent and the property line is used as a means of egress, the minimum width between stake lines shall be the width necessary for means of egress, but not less than 3 m."
ID29651,B,Clearance to Other Structures,3.14.1.4.(1),Tents shall not be erected closer than 3 m to the property line.
ID29653,B,Clearance to Other Structures,3.14.1.4.(2),"Except as provided in Sentences (3), (4) and (5), tents shall not be erected closer than 3 m to other tents or structures on the same property."
ID29655,B,Clearance to Other Structures,3.14.1.4.(3),"A walkway between a building and a tent occupied by the public is permitted provided, (a) the tent is not closer than 3 m from the building, and (b) the walkway conforms to Article 3.2.3.19."
ID29663,B,Clearance to Other Structures,3.14.1.4.(4),"Tents not occupied by the public need not be separated from one another, and are permitted to be erected less than 3 m from other structures on the same property, where such closer spacing does not create a hazard to the public."
ID29665,B,Clearance to Other Structures,3.14.1.4.(5),"Tents located on fair grounds or similar open spaces, need not be separated from one another provided such closer spacing does not create a hazard to the public."
ID29669,B,Clearances to Flammable Material,3.14.1.5.(1),The ground enclosed by a tent and for not less than 3 m outside of such structure shall be cleared of all flammable or combustible material or vegetation that will carry fire.
ID29674,B,Flame Resistance,3.14.1.6.(1),"Every tent, and tarpaulins, decorative materials, fabrics and films used in connection with tents, shall be certified to CAN/ULC-S109, “Flame Tests of Flame-Resistant Fabrics and Films”, or NFPA 701, “Fire Tests for Flame Propagation of Textiles and Films”."
ID29678,B,Bleachers,3.14.1.7.(1),"Where bleachers are provided in tents, they shall be designed in conformance with Articles 3.3.2.8., 3.3.2.10. and Subsection 4.1.5."
ID29682,B,Sanitary Facilities,3.14.1.8.(1),"Except as provided in Sentence (3), the minimum number of water closets for tents shall be determined in accordance with Table 3.7.4.3.E."
ID29684,B,Sanitary Facilities,3.14.1.8.(2),Article 3.7.4.17. applies to sanitary facilities in Sentence (1).
ID29686,B,Sanitary Facilities,3.14.1.8.(3),"Sanitary privies, chemical closets or other means for the disposal of human waste may be provided in lieu of toilet fixtures."
ID29690,B,Provision for Firefighting,3.14.1.9.(1),Access shall be provided to all tents for the purpose of firefighting.
ID29694,B,Electrical Systems,3.14.1.10.(1),"The electrical system and equipment in a tent, including electrical fuses and switches, shall be inaccessible to the public."
ID29696,B,Electrical Systems,3.14.1.10.(2),Cables on the ground in areas used by the public in a tent shall be placed in trenches or protected by covers to prevent damage from traffic. 3.14.2. Air-Supported Structures
ID29701,B,Application,3.14.2.1.(1),"Except as provided in this Subsection, the requirements of this Division apply to air-supported structures."
ID29706,B,General,3.14.2.2.(1),"Air-supported structures shall not be used for Groups B, C or Group F, Division 1 major occupancies or for classrooms."
ID29710,B,General,3.14.2.2.(2),"Except where no fire separation is required between major occupancies, air-supported structures shall contain not more than one major occupancy."
ID29716,B,General,3.14.2.2.(3),"Except as provided in Sentence (5), air-supported structures are exempt from complying with Articles 3.2.2.20. to 3.2.2.83., except for maximum building size."
ID29720,B,General,3.14.2.2.(4),"Air-supported structures may be designed with interior walls, mezzanines, or similar construction."
ID29725,B,General,3.14.2.2.(5),Interior construction contained within air-supported structures must meet the construction requirements of Articles 3.2.2.20. to 3.2.2.83.
ID29730,B,Spatial Separation,3.14.2.3.(1),"Except as provided in Sentences (2), (3) and (4), air-supported structures shall not be erected closer than 3 m to other structures on the same property or to the property line."
ID29733,B,Spatial Separation,3.14.2.3.(2),"Air-supported structures not occupied by the public need not be separated from one another, and are permitted to be erected closer than 3 m from other structures on the same property where such closer spacing does not create a hazard to the building occupants or the public."
ID29737,B,Spatial Separation,3.14.2.3.(3),"Except as provided in Sentence (4), an air-supported structure is permitted to be attached to another building provided the building to which it is attached, (a) conforms to the requirements of other Parts of this Division based on the total building areas of the air-supported structure and the attached building, (b) is sprinklered, and (c) is separated from the air-supported structure by a fire separation having a fire-resistance rating of not less than 1 h."
ID29752,B,Spatial Separation,3.14.2.3.(4),"An air-supported structure is permitted to be attached to another building provided the building to which it is attached, (a) has a building area not more than 200 m 2, (b) conforms to the requirements of other Parts of the Code based on the building area of the attached building, and (c) is sprinklered or separated from the air-supported structure by a fire separation having a fire-resistance rating of not less than 1 h."
ID29770,B,Clearances to Flammable Material,3.14.2.4.(1),The ground enclosed by an air-supported structure and for not less than 3 m outside of such structure shall be clear of all flammable or combustible material or vegetation that will carry fire.
ID29776,B,Flame Resistance,3.14.2.5.(1),"Air-supported structures shall be constructed of material conforming to CAN/ULC-S109, “Flame Tests of Flame-Resistant Fabrics and Films”, or NFPA 701, “Fire Tests for Flame Propagation of Textiles and Films”."
ID29779,B,Flame Resistance,3.14.2.5.(2),Materials for fabrics used in connection with air-supported structures are exempt from compliance with the requirements for flame-spread ratings for interior finishes in Subsection 3.1.13.
ID29785,B,Emergency Air Supply,3.14.2.6.(1),"An air-supported structure designed for an assembly occupancy with an occupant load of more than 200 persons shall have either an automatic emergency engine-generator set capable of powering one blower continuously for 4 h, or a supplementary blower powered by an automatic internal combustion engine."
ID29792,B,Electrical Systems,3.14.2.7.(1),"The electrical system and equipment in an air-supported structure, including electrical fuses and switches, shall be inaccessible to the public."
ID29795,B,Electrical Systems,3.14.2.7.(2),Cables on the ground in areas used by the public in an air-supported structure shall be placed in trenches or protected by covers to prevent damage from traffic. Section 3.15. Signs 3.15.1. Scope
ID29802,B,Application,3.15.1.1.(1),Except as provided otherwise in Article 3.15.1.2. this Section shall apply to the erection of all signs.
ID29806,B,Exceptions,3.15.1.2.(1),"The following signs shall not be subject to the provisions of this Section, (a) signs for regulating traffic or similar devices, legal notices or warnings at railroad crossings, (b) signs in display windows including writing, representation, painting or lettering directly on the surface of any window or door, or other signs not affixed to the building interior, (c) small signs displayed for the direction of the public including signs that identify rest rooms, freight entrances and such other similar directional signs, (d) signs painted directly on a building, and (e) incidental signs or other signs subject to municipal approval. 3.15.2. Alterations"
ID29818,B,Exceptions for Alterations,3.15.2.1.(1),"The changing of movable parts of signs that are designed for changes, or the repainting of display matter shall not be deemed to be alterations. 3.15.3. Structural Requirements"
ID29823,B,Structural Design,3.15.3.1.(1),"Except as provided in this Section, all sign structures shall be designed in accordance with Part 4. 3.15.4. Plastic Sign Facing Materials"
ID29828,B,Combustible Sign Faces,3.15.4.1.(1),"Plastic materials used in the construction of sign faces shall, (a) have an average burning rate not greater than 65 mm/min in sheets 1.5 mm thick when tested in accordance with ASTM D635, “Rate of Burning and/or Extent and Time of Burning of Plastics in a Horizontal Position”, (b) have an average burning rate not greater than 140 mm/min when tested in accordance with ASTM D568, “Rate of Burning and/or Extent and Time of Burning of Flexible Plastics in a Vertical Position”, and (c) have a measurement of material thickness in accordance with Method B-Machinists’ Micrometer Without Ratchet of ASTM D374, “Thickness of Solid Electrical Insulation”."
ID29833,B,Combustible Sign Faces,3.15.4.1.(2),"Except as provided in Sentence (3), where the exterior cladding of a wall is required to be noncombustible, a plastic sign face or a group of contiguous plastic sign faces may be placed over such cladding provided each such sign face or group of contiguous sign faces, (a) does not exceed 30% of the wall area of the storey on which it is installed, (b) does not exceed 15 m 2 in area or 1 200 mm in height at each storey, and (c) when located above the first storey, is vertically separated from other plastic sign faces by 1 200 mm of noncombustible construction unless separated by a horizontal noncombustible projection such as a canopy, extending the full width of, and projecting at least 900 mm beyond the exterior sign face."
ID29848,B,Combustible Sign Faces,3.15.4.1.(3),"Where a plastic exterior sign is mounted as a face on a metal sign box that is at least 200 mm in depth, the requirements of Sentence (2) need not apply provided the sign box is mounted on a noncombustible exterior wall."
ID29851,B,Combustible Sign Faces,3.15.4.1.(4),"Notwithstanding the requirements of Sentence (5), the plastic portion of an interior sign placed over or forming part of an interior wall surface in corridors, covered or enclosed walkways at or above grade in buildings shall, (a) not exceed 15% of the wall area in, or over which it may be installed, (b) be supported by a device that will not detrimentally affect the fire-resistance rating of the interior wall to which it is attached or of which it may form a part, and encase the edges of the plastic sign face in metal, (c) not be positioned or sized in such a manner that it is less than 600 mm from the vertical line separating two adjacent premises, (d) be placed so that there is at least 600 mm vertical separation of noncombustible material between the top of the plastic sign surface and the ceiling surface, (e) be permitted to have an increase of 100% in area required in Clause (a) and a decrease of 50% of the separation distances required in Clauses (c) and (d) if the area is sprinklered, and (f) have a flame-spreading rating not more than 250."
ID29866,B,Combustible Sign Faces,3.15.4.1.(5),Signs in exits and underground walkways shall have a flame-spread rating not more than 25. 3.15.5. Location Restrictions
ID29874,B,Obstructions not Permitted,3.15.5.1.(1),"A sign shall not be located so as to obstruct openings required for light and ventilation, any required means of egress or required access for firefighting in accordance with Sentence 3.2.5.3.(2)."
ID29879,B,Clearance for Exterior Signs,3.15.5.2.(1),"An exterior sign shall not be located so as to overhang a sidewalk or other pedestrian walkway unless the vertical distance, measured from the bottom of the overhanging portion of the sign to the surface of the sidewalk, is at least 2 400 mm."
ID29882,B,Clearance for Exterior Signs,3.15.5.2.(2),"Except as provided in Sentence (3), a sign face shall not be located within 600 mm of the vehicular travelled portion of a private lane or roadway, or of a motor vehicle parking area, unless the minimum vertical distance between grade and the bottom of the overhanging sign face is at least 4.25 m."
ID29885,B,Clearance for Exterior Signs,3.15.5.2.(3),"Where the height of all vehicles using any private road or parking area is permanently restricted, the vertical distance in Sentence (2) may be reduced to the amount of the actual height restriction, for as long as the said height restriction is in existence on the premises."
ID29887,B,Clearance for Exterior Signs,3.15.5.2.(4),"A sign shall not be located in proximity to existing above ground electrical conductors, unless the sign meets the clearance requirements of Subsection 3.1.19. Section 3.16. Shelf and Rack Storage Systems 3.16.1. Scope"
ID29893,B,Application,3.16.1.1.(1),The requirements of this Section apply to a shelf and rack storage system.
