Full Index,BC Full,BC Variations,Similarity
8042,"Make-up water connections shall be equipped with backflow prevention devices that conform to Article 2.6.2.1. of Division B of the Book II, (Plumbing Systems), of this code.","Make-up water connections shall be equipped with backflow prevention devices that conform to Article 2.6.2.1. of Division B of the Book II, (Plumbing Systems), of this code.",1.0
8371,"At the outside winter design temperature, required heating facilities shall be capable of maintaining an indoor air temperature of not less than 22°C in all living spaces, 18°C in unfinished basements, reserved, and 15°C in heated crawl spaces.","At the outside winter design temperature, required heating facilities shall be capable of maintaining an indoor air temperature of not less than 22°C in all living spaces, 18°C in unfinished basements, reserved, and 15°C in heated crawl spaces.",1.0
8766,"The drained and vented air space, and drainage material described in Sentence (1) may be interrupted by penetrations for windows, doors and services, flashing, nominally vertical furring or strapping, provided the furring or strapping does not make up more than 20% of the drained and vented air space, and insect screen, provided the screen allows for drainage and venting of the airspace.","The drained and vented air space, and drainage material described in Sentence (1) may be interrupted by penetrations for windows, doors and services, flashing, nominally vertical furring or strapping, provided the furring or strapping does not make up more than 20% of the drained and vented air space, and insect screen, provided the screen allows for drainage and venting of the airspace.",1.0
10783,The fire separation required by Sentence (1) need not have a fire-resistance rating where the suite is located in a building that is sprinklered throughout.,The fire separation required by Sentence (1) need not have a fire-resistance rating where the suite is located in a building that is sprinklered throughout.,1.0
6916,"Except as provided in Sentences (2) and (3), every door that provides an accessible path of travel through an entrance referred to in Article 3.8.2.2., including the interior doors of a vestibule where provided, shall be equipped with a power door operator that complies with Subsection 3.8.3. and allows persons to activate the opening of the door in the intended direction of travel, where the entrance serves a hotel, a building of treatment major occupancy, or a building of assembly, care, business and personal service or mercantile major occupancy more than 500 m2 in building area.","Except as provided in Sentences (2) and (3), every door that provides an accessible path of travel through an entrance referred to in Article 3.8.2.2., including the interior doors of a vestibule where provided, shall be equipped with a power door operator that complies with Subsection 3.8.3. and allows persons to activate the opening of the door in the intended direction of travel, where the entrance serves a hotel, a building of treatment major occupancy, or a building of assembly, care, business and personal service or mercantile major occupancy more than 500 m2 in building area.",1.0
12383,Electrical service rooms may be used for storage purposes in conformance with the British Columbia Electrical Safety Regulation.,Electrical service rooms may be used for storage purposes in conformance with the British Columbia Electrical Safety Regulation.,1.0
11111,"Floors-on-ground shall be provided with a rough-in for subfloor depressurization consisting of a gas-permeable layer and a radon vent pipe as described in Sentence (2), or a gas-permeable layer consisting of coarse clean granular material and a radon vent pipe as described in Sentence (3).","Floors-on-ground shall be provided with a rough-in for subfloor depressurization consisting of a gas-permeable layer and a radon vent pipe as described in Sentence (2), or a gas-permeable layer consisting of coarse clean granular material and a radon vent pipe as described in Sentence (3).",1.0
6866,The installation of electrical wiring and electrical equipment shall conform to the requirements of the Electrical Safety Regulation.,The installation of electrical wiring and electrical equipment shall conform to the requirements of the Electrical Safety Regulation.,1.0
6917,"Where storage rooms are required by Part 4 of Division B of the British Columbia Fire Code for the storage of flammable liquids or combustible liquids in assembly occupancies, such rooms shall not be located above or below the first storey.","Where storage rooms are required by Part 4 of Division B of the British Columbia Fire Code for the storage of flammable liquids or combustible liquids in assembly occupancies, such rooms shall not be located above or below the first storey.",1.0
9744,"For domes of circular plan form (see Figure 4.1.6.10.-B), Ca shall along the central axis parallel to the wind, vary in the same way as for an arch roof with the same rise-to-span ratio, h/b, and off this axis, vary according to where Ca(x,y) = value of Ca at location (x,y), Ca(x,0) = value of Ca on the central axis parallel to the wind, x = distance along the central axis parallel to the wind, y = horizontal coordinate normal to the x direction, and r = radius of dome.","For domes of circular plan form (see Figure 4.1.6.10.-B), Ca shall along the central axis parallel to the wind, vary in the same way as for an arch roof with the same rise-to-span ratio, h/b, and off this axis, vary according to where Ca(x,y) = value of Ca at location (x,y), Ca(x,0) = value of Ca on the central axis parallel to the wind, x = distance along the central axis parallel to the wind, y = horizontal coordinate normal to the x direction, and r = radius of dome.",1.0
10157,"A balcony required by Clause (1)(c) shall have direct access from the suite or floor area be not less than 1.5 m deep from the outside face of the exterior wall to the inside edge of the balcony, and provide not less than 2 m2 of balcony space for each accessible sleeping room or bed space.","A balcony required by Clause (1)(c) shall have direct access from the suite or floor area be not less than 1.5 m deep from the outside face of the exterior wall to the inside edge of the balcony, and provide not less than 2 m2 of balcony space for each accessible sleeping room or bed space.",1.0
10442,"Every exit door, except doors serving a single dwelling unit, shall be designed and installed so that when the latch is released the door will open in the direction of exit travel under a force of not more than 90 N applied to the door release hardware. (See Sentence 3.8.3.6.(8) for door opening forces in an accessible path of travel.)","Every exit door, except doors serving a single dwelling unit, shall be designed and installed so that when the latch is released the door will open in the direction of exit travel under a force of not more than 90 N applied to the door release hardware. (See Sentence 3.8.3.6.(8) for door opening forces in an accessible path of travel.)",1.0
8204,"The drifting load of snow on a roof adjacent to a higher roof shall be taken as trapezoidal, as shown in Figure 4.1.6.5.-A, and the accumulation factor, Ca, shall be determined as follows: where Ca0 = peak value of Ca at x = 0 determined in accordance with Sentences (3) and (4) and as shown in Figure 4.1.6.5.-B, x = distance from roof step as shown in Figure 4.1.6.5.-A, and xd = length of drift determined in accordance with Sentence (2) and as shown in Figure 4.1.6.5.-A.","The drifting load of snow on a roof adjacent to a higher roof shall be taken as trapezoidal, as shown in Figure 4.1.6.5.-A, and the accumulation factor, Ca, shall be determined as follows: where Ca0 = peak value of Ca at x = 0 determined in accordance with Sentences (3) and (4) and as shown in Figure 4.1.6.5.-B, x = distance from roof step as shown in Figure 4.1.6.5.-A, and xd = length of drift determined in accordance with Sentence (2) and as shown in Figure 4.1.6.5.-A.",1.0
12222,"Floors in areas where dangerous goods are stored shall be constructed in conformance with Sentence 3.3.6.7.(1) of Division B of the British Columbia Building Code, and maintained as an impervious membrane.","Floors in areas where dangerous goods are stored shall be constructed in conformance with Sentence 3.3.6.7.(1) of Division B of the British Columbia Building Code, and maintained as an impervious membrane.",1.0
10754,"A principal ventilation system exhaust fan shall run continuously, and provide at least the air-flow rate specified in Table 9.32.3.5.","A principal ventilation system exhaust fan shall run continuously, and provide at least the air-flow rate specified in Table 9.32.3.5.",1.0
9506,"The width of every public corridor, corridor used by the public, and exit corridor shall be not less than 1 100 mm. (See also Subsection 9.9.5. for obstructions in corridors.)","The width of every public corridor, corridor used by the public, and exit corridor shall be not less than 1 100 mm. (See also Subsection 9.9.5. for obstructions in corridors.)",1.0
8861,Exterior access shall be provided to an addition except where access to the addition is provided by way of the existing building.,Exterior access shall be provided to an addition except where access to the addition is provided by way of the existing building.,1.0
9375,"Where urinals are provided in an accessible washroom, at least one urinal shall comply with Subsection 3.8.3.","Where urinals are provided in an accessible washroom, at least one urinal shall comply with Subsection 3.8.3.",1.0
9689,Passenger-loading zones shall comply with Subsection 3.8.3. and be provided with an accessible path of travel to an accessible entrance referred to in Article 3.8.2.2.,Passenger-loading zones shall comply with Subsection 3.8.3. and be provided with an accessible path of travel to an accessible entrance referred to in Article 3.8.2.2.,1.0
10225,Walks and ramps for an addition shall conform to Subsection 3.8.3.,Walks and ramps for an addition shall conform to Subsection 3.8.3.,1.0
8797,Curb ramps described in Sentence (2) do not require handrails or guards.,Curb ramps described in Sentence (2) do not require handrails or guards.,1.0
11909,"Except as provided in Sentence 5.5.3.5.(3), electrical equipment located in areas where the concentration of flammable vapours is sufficient to create a hazard shall conform to the British Columbia Electrical Safety Regulation requirements for hazardous locations. (See Note A-5.5.3.4.(1).)","Except as provided in Sentence 5.5.3.5.(3), electrical equipment located in areas where the concentration of flammable vapours is sufficient to create a hazard shall conform to the British Columbia Electrical Safety Regulation requirements for hazardous locations. (See Note A-5.5.3.4.(1).)",1.0
6748,"Windows, doors, skylights and their components that are required to have a fire-protection rating need not conform to this Subsection.","Windows, doors, skylights and their components that are required to have a fire-protection rating need not conform to this Subsection.",1.0
11506,"The clearance between combustible materials and temporary heating equipment, including flues, shall be in conformance with Part 6 of Division B of the British Columbia Building Code or in conformance with the minimum clearances shown on certified heating equipment.","The clearance between combustible materials and temporary heating equipment, including flues, shall be in conformance with Part 6 of Division B of the British Columbia Building Code or in conformance with the minimum clearances shown on certified heating equipment.",1.0
9083,"Spaces designated for wheelchair use referred to in Sentence 3.8.2.3.(3) shall be clear and level, or level with removable seats, not less than 900 mm wide and 1 525 mm long to permit a wheelchair to enter from a side approach and 1 350 mm long where the wheelchair enters from the front or rear of the space, arranged so that at least 2 designated spaces are side by side, located adjoining an accessible path of travel without infringing on egress from any row of seating or any aisle requirements, and situated, as part of the designated seating plan, to provide a choice of viewing location, to provide a clear view of the event taking place, and in motion picture theatres, to not be in the front third of the seating area.","Spaces designated for wheelchair use referred to in Sentence 3.8.2.3.(3) shall be clear and level, or level with removable seats, not less than 900 mm wide and 1 525 mm long to permit a wheelchair to enter from a side approach and 1 350 mm long where the wheelchair enters from the front or rear of the space, arranged so that at least 2 designated spaces are side by side, located adjoining an accessible path of travel without infringing on egress from any row of seating or any aisle requirements, and situated, as part of the designated seating plan, to provide a choice of viewing location, to provide a clear view of the event taking place, and in motion picture theatres, to not be in the front third of the seating area.",1.0
7102,"Except as specified in Articles 9.8.9.4. and 9.8.9.5., stairs and ramps shall be designed for strength and rigidity under uniform loading criteria to support specified loads of 1.9 kPa for stairs and ramps serving not more than one dwelling unit, and 4.8 kPa for other stairs and ramps.","Except as specified in Articles 9.8.9.4. and 9.8.9.5., stairs and ramps shall be designed for strength and rigidity under uniform loading criteria to support specified loads of 1.9 kPa for stairs and ramps serving not more than one dwelling unit, and 4.8 kPa for other stairs and ramps.",1.0
6749,"For buildings conforming to the requirements of any of Steps 2 to 5, energy modelling shall account for the air leakage rate derived in accordance with Article 9.36.6.5. (See Note A-9.36.6.4.(4).)","For buildings conforming to the requirements of any of Steps 2 to 5, energy modelling shall account for the air leakage rate derived in accordance with Article 9.36.6.5. (See Note A-9.36.6.4.(4).)",1.0
8260,An inactive leaf in double doors used in locations specified in Sentence (1) shall be provided with heavy-duty bolts top and bottom having an engagement of not less than 15 mm.,An inactive leaf in double doors used in locations specified in Sentence (1) shall be provided with heavy-duty bolts top and bottom having an engagement of not less than 15 mm.,1.0
10665,"Except as provided in Article 3.2.2.8., Sentence 3.2.2.18.(2), and Sentences 3.2.2.50.(5) and 3.2.2.58.(4), in a building in which one major occupancy is located entirely above another major occupancy, the requirements in this Subsection for each portion of the building containing a major occupancy shall apply to that portion as if the entire building were of that major occupancy.","Except as provided in Article 3.2.2.8., Sentence 3.2.2.18.(2), and Sentences 3.2.2.50.(5) and 3.2.2.58.(4), in a building in which one major occupancy is located entirely above another major occupancy, the requirements in this Subsection for each portion of the building containing a major occupancy shall apply to that portion as if the entire building were of that major occupancy.",1.0
9477,"Where airtightness is determined in accordance with Sentence (1) with intentional openings for mechanical equipment left unsealed, the airtightness rate shall be adjusted in the energy model calculations to account for air leakage through mechanical equipment.","Where airtightness is determined in accordance with Sentence (1) with intentional openings for mechanical equipment left unsealed, the airtightness rate shall be adjusted in the energy model calculations to account for air leakage through mechanical equipment.",1.0
6745,Reserved.,Reserved.,1.0
9692,"Where a crawl space is heated by a ducted forced-air heating system that does not draw air from the crawl space to the furnace through the return air plenum, the crawl space shall be connected to the floor space above the crawl space by at least one air-transfer grille.","Where a crawl space is heated by a ducted forced-air heating system that does not draw air from the crawl space to the furnace through the return air plenum, the crawl space shall be connected to the floor space above the crawl space by at least one air-transfer grille.",1.0
12530,"When piping referred to in Sentence 4.5.6.10.(1) contains Class I liquids, the trench shall be provided with ventilation designed to prevent the accumulation of flammable vapours in accordance with Sentence 6.9.1.2.(2) of Division B of the British Columbia Building Code.","When piping referred to in Sentence 4.5.6.10.(1) contains Class I liquids, the trench shall be provided with ventilation designed to prevent the accumulation of flammable vapours in accordance with Sentence 6.9.1.2.(2) of Division B of the British Columbia Building Code.",1.0
11401,Material from which fire-hose couplings and fittings are fabricated shall be suitable for their intended use.,Material from which fire-hose couplings and fittings are fabricated shall be suitable for their intended use.,1.0
8258,"Except as permitted by Sentence (2), the area of an exposing building face shall be taken as the exterior wall area facing in one direction on any side of a building, and calculated as the total area measured from the finished ground level to the uppermost ceiling.","Except as permitted by Sentence (2), the area of an exposing building face shall be taken as the exterior wall area facing in one direction on any side of a building, and calculated as the total area measured from the finished ground level to the uppermost ceiling.",1.0
9834,"Stairs within dwelling units shall consist of straight flights, except as provided in Sentence (4), curved flights, reserved, except as provided in Sentence (3), flights with rectangular treads and winders, or reserved.","Stairs within dwelling units shall consist of straight flights, except as provided in Sentence (4), curved flights, reserved, except as provided in Sentence (3), flights with rectangular treads and winders, or reserved.",1.0
8035,Portable extinguishers shall be provided and installed in accordance with the British Columbia Fire Code.,Portable extinguishers shall be provided and installed in accordance with the British Columbia Fire Code.,1.0
6827,"Except as provided in Sentences (8) to (11), Sentence (5) shall not apply to buildings containing 1 or 2 dwelling units only, and detached garages or accessory buildings, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property. (See Note A-9.10.14.5.(7).)","Except as provided in Sentences (8) to (11), Sentence (5) shall not apply to buildings containing 1 or 2 dwelling units only, and detached garages or accessory buildings, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property. (See Note A-9.10.14.5.(7).)",1.0
11794,The location of storage rooms referred to in Sentence 4.2.4.2.(4) shall conform to Article 3.3.2.16. and Sentence 3.3.4.3.(4) of Division B of the British Columbia Building Code.,The location of storage rooms referred to in Sentence 4.2.4.2.(4) shall conform to Article 3.3.2.16. and Sentence 3.3.4.3.(4) of Division B of the British Columbia Building Code.,1.0
7947,"For the purpose of this Subsection, the term ""peak thermal load"" shall mean a metric of the maximum heating energy required by the building for space conditioning and for conditioning of ventilation air, estimated by using an energy model in accordance with Article 9.36.6.4., at a 2.5% January design temperature normalized per square metre of floor area of conditioned space and expressed in W/m2, taking into account all of the items referred to in Clauses (3)(a) through (f).","For the purpose of this Subsection, the term ""peak thermal load"" shall mean a metric of the maximum heating energy required by the building for space conditioning and for conditioning of ventilation air, estimated by using an energy model in accordance with Article 9.36.6.4., at a 2.5% January design temperature normalized per square metre of floor area of conditioned space and expressed in W/m2, taking into account all of the items referred to in Clauses (3)(a) through (f).",1.0
7108,An accessible washroom shall be provided with at least one lavatory that complies with Subsection 3.8.3.,An accessible washroom shall be provided with at least one lavatory that complies with Subsection 3.8.3.,1.0
9259,The width of every public corridor and exit corridor that serves a building that contains a secondary suite shall be not less than 860 mm. (See Note A-9.37.2.6.(1).),The width of every public corridor and exit corridor that serves a building that contains a secondary suite shall be not less than 860 mm. (See Note A-9.37.2.6.(1).),1.0
10410,"Except as permitted by Sentences (2) to (4), a suite shall be separated from adjoining suites by a fire separation having a fire-resistance rating not less than 1 h. (See also Subsection 3.3.3. for care, treatment or detention occupancies, Article 3.3.4.2. for residential occupancies, and Article 3.1.8.7. for fire dampers.)","Except as permitted by Sentences (2) to (4), a suite shall be separated from adjoining suites by a fire separation having a fire-resistance rating not less than 1 h. (See also Subsection 3.3.3. for care, treatment or detention occupancies, Article 3.3.4.2. for residential occupancies, and Article 3.1.8.7. for fire dampers.)",1.0
11189,"Except as permitted by Sentence (3), energy performance shall be calculated in conformance with Article10.2.3.4., and airtightness shall be tested in accordance with Article 10.2.3.5. (See Note A-10.2.3.3.(2).)","Except as permitted by Sentence (3), energy performance shall be calculated in conformance with Article10.2.3.4., and airtightness shall be tested in accordance with Article 10.2.3.5. (See Note A-10.2.3.3.(2).)",1.0
12891,"Except as provided in Sentence 2.4.10.4.(2), the hydraulic load in litres from a roof or paved surface is the maximum 15 min rainfall determined in conformance with Subsection 1.1.3. of Division B of Book I (General) of this Code, multiplied by the sum of the area in square metres of the horizontal projection of the surface drained, and one-half the area in square metres of the largest adjoining vertical surface.","Except as provided in Sentence 2.4.10.4.(2), the hydraulic load in litres from a roof or paved surface is the maximum 15 min rainfall determined in conformance with Subsection 1.1.3. of Division B of Book I (General) of this Code, multiplied by the sum of the area in square metres of the horizontal projection of the surface drained, and one-half the area in square metres of the largest adjoining vertical surface.",1.0
6976,"A suite of assembly occupancy, business and personal services occupancy or mercantile occupancy that is located in the first storey of a building, or in a storey to which an accessible path of travel is provided, and that is completely separated from the remainder of the building so that there is no access to the remainder of the building, shall have at least one accessible entrance.","A suite of assembly occupancy, business and personal services occupancy or mercantile occupancy that is located in the first storey of a building, or in a storey to which an accessible path of travel is provided, and that is completely separated from the remainder of the building so that there is no access to the remainder of the building, shall have at least one accessible entrance.",1.0
10674,Measures shall be taken during demolition to protect the public in conformance with Section 5.6. of Division B of the British Columbia Fire Code.,Measures shall be taken during demolition to protect the public in conformance with Section 5.6. of Division B of the British Columbia Fire Code.,1.0
6670,"Except as required by Sentence (3), this Article applies to air ducts other than those described in Article 9.32.1.3.","Except as required by Sentence (3), this Article applies to air ducts other than those described in Article 9.32.1.3.",1.0
10509,"A door separating a conditioned space from an unconditioned space or the exterior is not required to conform to Sentence (1) if, in the case of a building in a location with a heating degree-day value of less than or equal to 3999, the door is one of not more than three nonconforming doors, each of which has an overall thermal transmittance not greater than 2.10 W/m2·K, in the case of a building in a location with a heating degree-day value of at least 4000 and not greater than 5999, the door is one of not more than two nonconforming doors, each of which has an overall thermal transmittance not greater than 2.10 W/m2·K, in the case of a building in a location with a heating degree-day value of greater than or equal to 6000, the door is one of not more than two nonconforming doors, each of which has an overall thermal transmittance not greater than 2.00 W/m2·K, or in any case, the door is the only nonconforming door and has an overall thermal transmittance not greater than 2.60 W/m2·K.","A door separating a conditioned space from an unconditioned space or the exterior is not required to conform to Sentence (1) if, in the case of a building in a location with a heating degree-day value of less than or equal to 3999, the door is one of not more than three nonconforming doors, each of which has an overall thermal transmittance not greater than 2.10 W/m2·K, in the case of a building in a location with a heating degree-day value of at least 4000 and not greater than 5999, the door is one of not more than two nonconforming doors, each of which has an overall thermal transmittance not greater than 2.10 W/m2·K, in the case of a building in a location with a heating degree-day value of greater than or equal to 6000, the door is one of not more than two nonconforming doors, each of which has an overall thermal transmittance not greater than 2.00 W/m2·K, or in any case, the door is the only nonconforming door and has an overall thermal transmittance not greater than 2.60 W/m2·K.",1.0
12244,"Fuel supplies for heating equipment and internal combustion engines shall conform to CSA B139-09 Installation Code for Oil-Burning Equipment oil-burning equipment, or the British Columbia Gas Safety Regulation.","Fuel supplies for heating equipment and internal combustion engines shall conform to CSA B139-09 Installation Code for Oil-Burning Equipment oil-burning equipment, or the British Columbia Gas Safety Regulation.",1.0
7961,"Where the principal ventilation system is a ducted forced-air heating system, the ducted forced-air heating system shall provide supply air through the ducting to each bedroom, and each floor level without a bedroom, draw supply air from an outdoor inlet that is connected to the cabinet containing the furnace air circulating fan required by Clause (d) by ducting that measures, from that cabinet to the point at which the ducting intersects the return air plenum, between 3 m and 4.5 m in length, or if a flow control device is used, not more than 4.5 m in length, draw supply air through ducting that is rigid ducting with an equivalent diameter of at least 100 mm, or flexible ducting with an equivalent diameter of at least 125 mm, and have a furnace air circulating fan set to run continuously.","Where the principal ventilation system is a ducted forced-air heating system, the ducted forced-air heating system shall provide supply air through the ducting to each bedroom, and each floor level without a bedroom, draw supply air from an outdoor inlet that is connected to the cabinet containing the furnace air circulating fan required by Clause (d) by ducting that measures, from that cabinet to the point at which the ducting intersects the return air plenum, between 3 m and 4.5 m in length, or if a flow control device is used, not more than 4.5 m in length, draw supply air through ducting that is rigid ducting with an equivalent diameter of at least 100 mm, or flexible ducting with an equivalent diameter of at least 125 mm, and have a furnace air circulating fan set to run continuously.",1.0
10403,Doorways serving a single dwelling unit need not comply with Sentence (2). (See also Article 9.5.5.1.),Doorways serving a single dwelling unit need not comply with Sentence (2). (See also Article 9.5.5.1.),1.0
8387,"Except as provided in Sentence (9) and except for a door with a power door operator complying with Sentence (6), when unlatched, a door in an accessible path of travel shall open when the force applied to the handle, push plate or latch-releasing device is not more than 38 N in the case of an exterior swinging door, 22 N in the case of an interior swinging door, or 22 N in the case of a sliding door.","Except as provided in Sentence (9) and except for a door with a power door operator complying with Sentence (6), when unlatched, a door in an accessible path of travel shall open when the force applied to the handle, push plate or latch-releasing device is not more than 38 N in the case of an exterior swinging door, 22 N in the case of an interior swinging door, or 22 N in the case of a sliding door.",1.0
11285,"The sound patterns of smoke alarms shall meet the temporal patterns of alarm signals (see Note A-3.2.4.18.(2)), or be a combination of temporal pattern and voice relay.","The sound patterns of smoke alarms shall meet the temporal patterns of alarm signals (see Note A-3.2.4.18.(2)), or be a combination temporal pattern and voice relay.",1.0
9568,The ceiling heights and clear heights in rooms or spaces in residential occupancies shall conform to Table 9.5.3.1.,The ceiling heights and clear heights in rooms or spaces in residential occupancies shall conform to Table 9.5.3.1.,1.0
12270,"Except where they are equipped with hold-open devices conforming to the British Columbia Building Code., doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the British Columbia Building Code., doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",1.0
7110,"The bathroom referred to in Sentence 3.8.5.4.(1) shall be designed to be adaptable for use by persons using wheelchairs by providing a dimension from the front edge of the water closet to the facing wall of not less than 800 mm, a dimension from the front face of the bathtub or shower to the centre line of the water closet not less than 510 mm, and a clear floor space in front of the lavatory not less than 760 mm wide by 1 350 deep centred on the lavatory, and a clear floor space, exclusive of door swing, not less than 760 mm wide by 1 350 mm deep connecting to the route through the doorway.","The bathroom referred to in Sentence 3.8.5.4.(1) shall be designed to be adaptable for use by persons using wheelchairs by providing a dimension from the front edge of the water closet to the facing wall of not less than 800 mm, a dimension from the front face of the bathtub or shower to the centre line of the water closet not less than 510 mm, and a clear floor space in front of the lavatory not less than 760 mm wide by 1 350 deep centred on the lavatory, and a clear floor space, exclusive of door swing, not less than 760 mm wide by 1 350 mm deep connecting to the route through the doorway.",1.0
11283,"Except as provided in Sentence (2), access as described in Articles 3.8.4.2. to 3.8.4.8. shall be provided to additions to existing buildings where such additions have internal pedestrian connections with the existing buildings, to existing parts of buildings to which additions described in Clause (a) are made, and to the extent required by Article 3.8.4.5., to existing buildings where the occupancy is changed, or that are altered or renovated.","Except as provided in Sentence (2), access as described in Articles 3.8.4.2. to 3.8.4.8. shall be provided to additions to existing buildings where such additions have internal pedestrian connections with the existing buildings, to existing parts of buildings to which additions described in Clause (a) are made, and to the extent required by Article 3.8.4.5., to existing buildings where the occupancy is changed, or that are altered or renovated.",1.0
10217,"Where a passenger-elevating device serves one or more indoor parking levels, an accessible path of travel shall be provided between each parking level containing stalls for persons with disabilities and all other parts of the building required to be accessible in accordance with Subsection 3.8.3.","Where a passenger-elevating device serves one or more indoor parking levels, an accessible path of travel shall be provided between each parking level containing stalls for persons with disabilities and all other parts of the building required to be accessible in accordance with Subsection 3.8.3.",1.0
12225,"Fixed dispensers for Class II or IIIA liquids are permitted to be installed inside a building when the building is not open to the public, the dispensers are located on the first storey, drainage is provided, and ventilation is provided in conformance with part 4. and with the requirements for storage garages in Subsection 6.3.1. of Division B of the British Columbia Building Code.","Fixed dispensers for Class II or IIIA liquids are permitted to be installed inside a building when the building is not open to the public, the dispensers are located on the first storey, drainage is provided, and ventilation is provided in conformance with part 4. and with the requirements for storage garages in Subsection 6.3.1. of Division B of the British Columbia Building Code.",1.0
11662,The keys required to recall elevators and to permit independent operation of each elevator shall be kept in the locations required by Subsection 3.2.6. of Division B of the British Columbia Building Code.,The keys required to recall elevators and to permit independent operation of each elevator shall be kept in the locations required by Subsection 3.2.6. of Division B of the British Columbia Building Code.,1.0
11327,"Required clearances between chimneys, flue pipes or appliances and combustible construction shall be maintained in conformance with the British Columbia Building Code.","Required clearances between chimneys, flue pipes or appliances and combustible construction shall be maintained in conformance with the British Columbia Building Code.",1.0
8512,"Where collective venting of multiple installations of laundry-drying equipment is used, the ventilation system shall be connected to a common exhaust duct that is vented by one central exhaust fan and incorporates one central lint trap, include an interlock to activate the central exhaust fan when laundry-drying equipment is in use, and where required by Article 9.32.4.1., be provided with make-up air.","Where collective venting of multiple installations of laundry-drying equipment is used, the ventilation system shall be connected to a common exhaust duct that is vented by one central exhaust fan and incorporates one central lint trap, include an interlock to activate the central exhaust fan when laundry-drying equipment is in use, and where required by Article 9.32.4.1., be provided with make-up air.",1.0
10841,The accessible sleeping rooms or bed spaces required by Sentence (1) may be distributed between the addition and the existing building.,The accessible sleeping rooms or bed spaces required by Sentence (1) may be distributed between the addition and the existing building.,1.0
10374,"Showers required by Sentence 3.8.2.8.(10) shall have an entrance not less than 1500 mm wide and be not less than 900 mm deep, have a clear floor space at the entrance to the shower that is not less than 900 mm deep and the same width as the shower, except that fixtures are permitted to project into that space provided they do not restrict access to the shower (see Note A-3.8.3.16.(1)(b)), have no doors or curtains that obstruct the controls or the clear floor space at the entrance to the shower, have a slip-resistant floor surface, have a threshold not more than 13 mm higher than the finished floor, and where it is higher than 6 mm, beveled to a slope no steeper than 1 in 2 , have 2 grab bars that conform to Sentence 3.7.2.8.(1), one of which is not less than 1 000 mm long and located vertically on the side wall 50 mm to 80 mm from the adjacent clear floor space, with its lower end 600 mm to 650 mm above the floor, and, one of which is L-shaped and located on the wall opposite the entrance to the shower, with a horizontal member not less than 1000 mm long mounted 750 mm to 870 mm above the floor and a vertical member not less than 750 mm long mounted 400 mm to 500 mm from the side wall on which the other vertical grab bar is mounted, (see Note A-3.8.3.16.(1)(f)), have a hinged seat that is not spring-loaded or a fixed seat with a smooth, slip-resistant surface and no rough edges, the seat being not less than 450 mm wide and 400 mm deep, mounted on the same side wall as the vertical grab bar, at 460 mm to 480 mm above the floor, designed to carry a minimum load of 1.3 kN, impervious to water, and designed to be easily cleaned, have a pressure-equalizing or thermostatic-mixing valve and other controls that comply with Clause 3.8.3.8.(1)(c), and are mounted on the wall opposite the entrance to the shower at not more than 1200 mm above the floor and within reach of the seat, have a hand-held shower head with not less than 1800 mm of flexible hose located so that it can be reached from a seated position, can be used in a fixed position at a height of 1200 mm and 2030 mm, and does not obstruct the use of the grab bars, and have recessed soap holders that can be reached from the seated position.","Showers required by Sentence 3.8.2.8.(10) shall have an entrance not less than 1500 mm wide and be not less than 900 mm deep, have a clear floor space at the entrance to the shower that is not less than 900 mm deep and the same width as the shower, except that fixtures are permitted to project into that space provided they do not restrict access to the shower (see Note A-3.8.3.16.(1)(b)), have no doors or curtains that obstruct the controls or the clear floor space at the entrance to the shower, have a slip-resistant floor surface, have a threshold not more than 13 mm higher than the finished floor, and where it is higher than 6 mm, beveled to a slope no steeper than 1 in 2 , have 2 grab bars that conform to Sentence 3.7.2.8.(1), one of which is not less than 1 000 mm long and located vertically on the side wall 50 mm to 80 mm from the adjacent clear floor space, with its lower end 600 mm to 650 mm above the floor, and, one of which is L-shaped and located on the wall opposite the entrance to the shower, with a horizontal member not less than 1000 mm long mounted 750 mm to 870 mm above the floor and a vertical member not less than 750 mm long mounted 400 mm to 500 mm from the side wall on which the other vertical grab bar is mounted, (see Note A-3.8.3.16.(1)(f)), have a hinged seat that is not spring-loaded or a fixed seat with a smooth, slip-resistant surface and no rough edges, the seat being not less than 450 mm wide and 400 mm deep, mounted on the same side wall as the vertical grab bar, at 460 mm to 480 mm above the floor, designed to carry a minimum load of 1.3 kN, impervious to water, and designed to be easily cleaned, have a pressure-equalizing or thermostatic-mixing valve and other controls that comply with Clause 3.8.3.8.(1)(c), and are mounted on the wall opposite the entrance to the shower at not more than 1200 mm above the floor and within reach of the seat, have a hand-held shower head with not less than 1800 mm of flexible hose located so that it can be reached from a seated position, can be used in a fixed position at a height of 1200 mm and 2030 mm, and does not obstruct the use of the grab bars, and have recessed soap holders that can be reached from the seated position.",1.0
