Full Index,AB Full,AB Variations,Similarity
2255,"Except as specifically varied in this Part, Parts 1 to 9 apply to a building regulated by this Part.","Except as specifically varied in this Part, Parts 1 to 9 apply to a building regulated by this Part.",1.0
6407,"A person involved in the alteration, repair, shutdown or impairment that affect the operation of a hydrant shall ensure that the fire department is notified, the fire department approves the alterations, repairs, shutdown or impairment, and the affected hydrant is identified in a manner acceptable to the fire department.","A person involved in the alteration, repair, shutdown or impairment that affect the operation of a hydrant shall ensure that the fire department is notified, the fire department approves the alterations, repairs, shutdown or impairment, and the affected hydrant is identified in a manner acceptable to the fire department.",1.0
574,Stairs and seats or their edges shall be finished in a manner that contrasts with the swimming pool colour.,Stairs and seats or their edges shall be finished in a manner that contrasts with the swimming pool colour.,1.0
2016,"Notwithstanding the requirements of this Subsection, a flow-through water spray park is permitted to be constructed without dressing and sanitary facilities for bathers.","Notwithstanding the requirements of this Subsection, a flow-through water spray park is permitted to be constructed without dressing and sanitary facilities for bathers.",1.0
5141,Records acceptable to the authority having jurisdiction of maintenance and inspections required by Articles 4.6.10.1. and 4.6.10.2. shall be retained in conformance with Article 2.2.1.2..,Records acceptable to the authority having jurisdiction of maintenance and inspections required by Articles 4.6.10.1. and 4.6.10.2. shall be retained in conformance with Article 2.2.1.2..,1.0
485,"If cartridge-type filters are used for a whirlpool, they shall be the surface-type designed with a maximum flow rate of 0.27 L/s/m2 of effective filter area. (See Note A-7.2.6.2.(6).)","If cartridge-type filters are used for a whirlpool, they shall be the surface-type designed with a maximum flow rate of 0.27 L/s/m2 of effective filter area. (See Note A-7.2.6.2.(6).)",1.0
2213,"Where passenger elevators are used in a barrier-free path of travel, features described in Appendix E of ASME/CSA ASME A17.1-2013/CSA B44-13 Safety Code for Elevators and Escalators shall be included in their design and construction.","Where passenger elevators are used in a barrier-free path of travel, features described in Appendix E of ASME/CSA ASME A17.1-2013/CSA B44-13 Safety Code for Elevators and Escalators shall be included in their design and construction.",1.0
2015,An area or room for the rendering of first aid shall be incorporated in a water theme park.,An area or room for the rendering of first aid shall be incorporated in a water theme park.,1.0
5139,"Combustible contents in interconnected floor spaces in which the ceiling is more than 8 m above the floor, shall not exceed the limit specified in Subsection 3.2.8. of Division B of the NBC(AE).","Combustible contents in interconnected floor spaces in which the ceiling is more than 8 m above the floor, shall not exceed the limit specified in Subsection 3.2.8. of Division B of the NBC(AE).",1.0
2014,At least one emergency river shutdown switch shall be located at pool side for use by the supervisory staff of a leisure river.,At least one emergency river shutdown switch shall be located at pool side for use by the supervisory staff of a leisure river.,1.0
4232,Hose bibcocks shall be recessed or located away from traffic areas to avoid injury.,Hose bibcocks shall be recessed or located away from traffic areas to avoid injury.,1.0
6016,"Electrical installations shall conform to the appropriate provincial or territorial regulations or municipal bylaws, or in the absence of such regulations, to CSA C22.1-18 Canadian Electrical Code, Part I except that alternatives to these requirements are permitted as described in Sentence 1.2.1.1.(1) in areas other than those described in Article 5.1.2.1.","Electrical installations shall conform to the appropriate provincial or territorial regulations or municipal bylaws, or in the absence of such regulations, to CSA C22.1-18 Canadian Electrical Code, Part I except that alternatives to these requirements are permitted as described in Sentence 1.2.1.1.(1) in areas other than those described in Article 5.1.2.1.",1.0
3223,"All curves, turns, and tunnels within the path of a water slide flume shall be designed so that body impact with the walls of the flume or ceiling of a tunnel does not present a hazard.","All curves, turns, and tunnels within the path of a water slide flume shall be designed so that body impact with the walls of the flume or ceiling of a tunnel does not present a hazard.",1.0
1191,The thermal characteristics of log walls need not comply with this Section. (See Note A-9.36.2.1.(6).),The thermal characteristics of log walls need not comply with this Section. (See Note A-9.36.2.1.(6).),1.0
35,"Except as required by Sentence 7.2.7.3.(15), multiple-egress water slide flumes shall have parallel discharges or be constructed so that their centre lines do not intersect for a distance not less than 6 m from the discharge of each flume.","Except as required by Sentence 7.2.7.3.(15), multiple-egress water slide flumes shall have parallel discharges or be constructed so that their centre lines do not intersect for a distance not less than 6 m from the discharge of each flume.",1.0
1102,A water slide flume discharge system shall provide safe entry into the receiving pool.,A water slide flume discharge system shall provide safe entry into the receiving pool.,1.0
198,"Notwithstanding the installation of overhead doors for vehicular access, at least one egress door not less than 1 980 mm high and 760 mm wide, swinging on a vertical axis shall be installed to serve a storage garage. (See Note A-9.7.2.3.(1).)","Notwithstanding the installation of overhead doors for vehicular access, at least one egress door not less than 1 980 mm high and 760 mm wide, swinging on a vertical axis shall be installed to serve a storage garage. (See Note A-9.7.2.3.(1).)",1.0
6334,"Except for vent risers and vertical fill piping systems, underground piping systems shall be of double-walled construction. (See Note A-4.5.6.1.(1).)","Except for vent risers and vertical fill piping systems, underground piping systems shall be of double-walled construction. (See Note A-4.5.6.1.(1).)",1.0
6019,"If an underground storage tank has been out of service for more than 12 months, the tank and piping shall be tested for leakage in conformance with part 4.","If an underground storage tank has been out of service for more than 12 months, the tank and piping shall be tested for leakage in conformance with part 4.",1.0
2305,"During construction of a building regulated by this Part, the constructor is jointly responsible with the owner for compliance with this Code.","During construction of a building regulated by this Part, the constructor is jointly responsible with the owner for compliance with this Code.",1.0
5125,"An owner who makes application for permission to abandon a storage tank in place in accordance with Sentence 4.3.17.2.(1) shall describe in the application, the reasons why it is impracticable to remove the storage tank and provide other information that supports the application, satisfy the authority having jurisdiction that the soil under and around the storage tank has not been contaminated with petroleum product, and provide confirmation that the owner of the property is aware of the application and agrees with the plan to abandon the storage tank in place.","An owner who makes application for permission to abandon a storage tank in place in accordance with Sentence 4.3.17.2.(1) shall describe in the application, the reasons why it is impracticable to remove the storage tank and provide other information that supports the application, satisfy the authority having jurisdiction that the soil under and around the storage tank has not been contaminated with petroleum product, and provide confirmation that the owner of the property is aware of the application and agrees with the plan to abandon the storage tank in place.",1.0
3774,"The depth of water in a swimming pool shall be plainly marked at the points of minimum depth, maximum depth, 1.2 m depth, and at the points of break between gentle and steep bottom slopes.","The depth of water in a swimming pool shall be plainly marked at the points of minimum depth, maximum depth, 1.2 m depth, and at the points of break between gentle and steep bottom slopes.",1.0
1186,"Except for the storage of flammable liquids and combustible liquids inside a single-family dwelling unit and garages or sheds attached to these dwelling units, where storage rooms are required by Part 4 of Division B of the NFC(AE) for the storage of flammable liquids or combustible liquids in residential occupancies, such rooms shall not be located above or below the first storey.","Except for the storage of flammable liquids and combustible liquids inside a single-family dwelling unit and garages or sheds attached to these dwelling units, where storage rooms are required by Part 4 of Division B of the NFC(AE) for the storage of flammable liquids or combustible liquids in residential occupancies, such rooms shall not be located above or below the first storey.",1.0
2304,"Except for stand-alone diving tanks, the slope of the bottom of a swimming pool where the water is greater than 1.5 m deep shall be not more than 1:3.","Except for stand-alone diving tanks, the slope of the bottom of a swimming pool where the water is greater than 1.5 m deep shall be not more than 1:3.",1.0
5122,"Receptacles for combustible recyclable material having a capacity greater than 0.250 m3 used within a building shall be of noncombustible, fully enclosed construction with a tight-fitting lid, or located in a storage room conforming to Article 2.4.1.2.","Receptacles for combustible recyclable material having a capacity greater than 0.250 m3 used within a building shall be of noncombustible, fully enclosed construction with a tight-fitting lid, or located in a storage room conforming to Article 2.4.1.2.",1.0
1645,A fence is not required around any portion of an outdoor private swimming pool if the top of the outside wall of the private swimming pool is not less than 1.8 m above the level of the ground outside the wall and the wall is constructed so that the only means of access to the private swimming pool is through a gate or similar facility.,A fence is not required around any portion of an outdoor private swimming pool if the top of the outside wall of the private swimming pool is not less than 1.8 m above the level of the ground outside the wall and the wall is constructed so that the only means of access to the private swimming pool is through a gate or similar facility.,1.0
3241,"There shall be a physical separation of the space used by spectators and that used by bathers, with separate entrances to each.","There shall be a physical separation of the space used by spectators and that used by bathers, with separate entrances to each.",1.0
6130,"Unless acceptable to the authority having jurisdiction, only two receptacles for combustible recyclable materials per suite shall be permitted in an unsprinklered building.","Unless acceptable to the authority having jurisdiction, only two receptacles for combustible recyclable materials per suite shall be permitted in an unsprinklered building.",1.0
2303,"Except as required in Sentence 7.2.6.3.(3), the slope of the bottom of a swimming pool where the water is less than 1.5 m deep shall be a uniform slope not more than 1:12 for a public swimming pool and 1:10 for a semi-public swimming pool.","Except as required in Sentence 7.2.6.3.(3), the slope of the bottom of a swimming pool where the water is less than 1.5 m deep shall be a uniform slope not more than 1:12 for a public swimming pool and 1:10 for a semi-public swimming pool.",1.0
5113,"For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.10.1.1. (See Note A-1.1.2.1.(1).)","For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.10.1.1. (See Note A-1.1.2.1.(1).)",1.0
1103,"The flame-spread rating in a corridor and in an exit stairway from a second storey shall be not more than 25 on 90% of the ceiling surface area, and 90% of the wall surface area.","The flame-spread rating in a corridor and in an exit stairway from a second storey shall be not more than 25 on 90% of the ceiling surface area, and 90% of the wall surface area.",1.0
1543,"If a single treatment plant serves 2 or more separate swimming pools, provision shall be made for measuring the flow into or from each swimming pool.","If a single treatment plant serves 2 or more separate swimming pools, provision shall be made for measuring the flow into or from each swimming pool.",1.0
4918,"In addition to the barrier-free entrances required by Sentence 3.8.2.2.(2), not less than 50% of the pedestrian entrances, including the primary entrance, of a building referred to in Sentence 3.8.2.1.(1), including exterior walks leading to the entrances from a public thoroughfare and from on-site parking areas, shall be barrier-free.","In addition to the barrier-free entrances required by Sentence 3.8.2.2.(2), not less than 50% of the pedestrian entrances, including the primary entrance, of a building referred to in Sentence 3.8.2.1.(1), including exterior walks leading to the entrances from a public thoroughfare and from on-site parking areas, shall be barrier-free.",1.0
3244,"Discharge of steam into, or placing heating coils directly in a swimming pool shall be prohibited.","Discharge of steam into, or placing heating coils directly in a swimming pool shall be prohibited.",1.0
6341,"The owner of a leased dwelling unit shall ensure smoke alarms within the dwelling unit are tested and cleaned prior to occupancy, and provide tenants information concerning ongoing smoke alarm testing and maintenance.","The owner of a leased dwelling unit shall ensure smoke alarms within the dwelling unit are tested and cleaned prior to occupancy, and provide tenants information concerning ongoing smoke alarm testing and maintenance.",1.0
195,Glass used in shower and bathtub enclosures shall comply with Sentence 9.6.1.4.(6).,Glass used in shower and bathtub enclosures shall comply with Sentence 9.6.1.4.(6).,1.0
5112,"Except as permitted by Sentence 3.3.2.16.(2), water supplies for firefighting shall be available from a public or private water system, or water supplies that conform to the requirements of NFPA 1142-2017 Standard on Water Supplies for Suburban and Rural Fire Fighting (see Note A-3.3.2.16.(1)(b)).","Except as permitted by Sentence 3.3.2.16.(2), water supplies for firefighting shall be available from a public or private water system, or water supplies that conform to the requirements of NFPA 1142-2017 Standard on Water Supplies for Suburban and Rural Fire Fighting (see Note A-3.3.2.16.(1)(b)).",1.0
6025,"No person shall purchase, store, use or supervise the use of a pyrotechnic device, unless the pyrotechnic device conforms to the requirements of NRCan R.S.C., 1985, c. E-17 Explosives Act and its Regulations, and the person is certified in accordance with NRCan R.S.C., 1985, c. E-17 Explosives Act and its Regulations.","No person shall purchase, store, use or supervise the use of a pyrotechnic device, unless the pyrotechnic device conforms to the requirements of NRCan R.S.C., 1985, c. E-17 Explosives Act and its Regulations, and the person is certified in accordance with NRCan R.S.C., 1985, c. E-17 Explosives Act and its Regulations.",1.0
5108,Daycare centres shall be constructed in conformance with the NBC(AE).,Daycare centres shall be constructed in conformance with the NBC(AE).,1.0
6129,Reactive materials shall be separated from the remainder of the building in conformance with Sentence 3.3.6.2.(2) of Division B of the NBC(AE).,Reactive materials shall be separated from the remainder of the building in conformance with Sentence 3.3.6.2.(2) of Division B of the NBC(AE).,1.0
6343,"Where a standpipe system is to be installed in portions of a building under construction or alteration that are not occupied, the following shall apply: a permanent or temporary standpipe system is permitted in accordance with Clauses 5.6.1.6.(2)and 5.6.1.6.(2), the standpipe system shall be provided with conspicuously marked and readily accessible fire department connections on the outside of the building at street level and shall have at least one hose outlet at each floor, the pipe size, hose valves and water supply shall conform to Subsection 3.2.5. of Division B of the NBC(AE), the standpipe system shall, as a minimum, be securely supported and restrained on alternate floors, at least one hose valve for attaching fire department hose shall be provided at each intermediate landing or floor level in the exit stairway, valves shall be kept closed at all times and guarded against mechanical damage, the standpipe shall be not more than one floor below the highest forms, staging, and similar combustible elements at all times, and temporary standpipe systems shall remain in service until the permanent standpipe installation is complete.","Where a standpipe system is to be installed in portions of a building under construction or alteration that are not occupied, the following shall apply: a permanent or temporary standpipe system is permitted in accordance with Clauses 5.6.1.6.(2)and 5.6.1.6.(2), the standpipe system shall be provided with conspicuously marked and readily accessible fire department connections on the outside of the building at street level and shall have at least one hose outlet at each floor, the pipe size, hose valves and water supply shall conform to Subsection 3.2.5. of Division B of the NBC(AE), the standpipe system shall, as a minimum, be securely supported and restrained on alternate floors, at least one hose valve for attaching fire department hose shall be provided at each intermediate landing or floor level in the exit stairway, valves shall be kept closed at all times and guarded against mechanical damage, the standpipe shall be not more than one floor below the highest forms, staging, and similar combustible elements at all times, and temporary standpipe systems shall remain in service until the permanent standpipe installation is complete.",1.0
5102,"The use of dangerous goods in a laboratory shall be confined inside a power-ventilated enclosure conforming to Articles 6.3.4.3. and 6.3.4.4. of Division B of the NBC(AE) when their use releases flammable vapours or causes runaway or potentially explosive reactions, liquids are heated to a temperature equal to or greater than their flash point, or Class I liquids or unstable liquids are used.","The use of dangerous goods in a laboratory shall be confined inside a power-ventilated enclosure conforming to Articles 6.3.4.3. and 6.3.4.4. of Division B of the NBC(AE) when their use releases flammable vapours or causes runaway or potentially explosive reactions, liquids are heated to a temperature equal to or greater than their flash point, or Class I liquids or unstable liquids are used.",1.0
5100,"Smoke alarms are permitted to be battery-operated in dwelling units constructed before July 5, 1977. (See Note A-2.1.3.3.(4).).","Smoke alarms are permitted to be battery-operated in dwelling units constructed before July 5, 1977. (See Note A-2.1.3.3.(4).).",1.0
5101,"Operators of self-service outlets, fuel-dispensing stations and marine fuel-dispensing stations shall inspect and maintain the cathodic protection systems on underground storage tanks and piping in conformance with ULC CAN/ULC-S603.1-11 External Corrosion Protection Systems for Steel Underground Tanks for Flammable and Combustible Liquids for sacrificial anode systems, or CFA PACE Report 87-1 Impressed Current Method of Cathodic Protection of Underground Storage Tanks Clause 5.5(c) and Part 6.0 for impressed current systems.","Operators of self-service outlets, fuel-dispensing stations and marine fuel-dispensing stations shall inspect and maintain the cathodic protection systems on underground storage tanks and piping in conformance with ULC CAN/ULC-S603.1-11 External Corrosion Protection Systems for Steel Underground Tanks for Flammable and Combustible Liquids for sacrificial anode systems, or CFA PACE Report 87-1 Impressed Current Method of Cathodic Protection of Underground Storage Tanks Clause 5.5(c) and Part 6.0 for impressed current systems.",1.0
3266,"Areas for concessions, exercise or other special purposes shall not be located within the minimum surrounding deck areas required by this Code.","Areas for concessions, exercise or other special purposes shall not be located within the minimum surrounding deck areas required by this Code.",1.0
6564,Centrifugal type pumps shall not be used to transfer water contaminated with flammable liquids or combustible liquids from diked areas to a collection system.,Centrifugal type pumps shall not be used to transfer water contaminated with flammable liquids or combustible liquids from diked areas to a collection system.,1.0
3267,The freeboard for a whirlpool shall be not more than 300 mm.,The freeboard for a whirlpool shall be not more than 300 mm.,1.0
1646,A hose shall be equipped with a nozzle that is adjustable from fog to a straight stream.,A hose shall be equipped with a nozzle that is adjustable from fog to a straight stream.,1.0
1175,The clearances required by Sentence 7.2.3.13.(2) shall extend not less than 3 m on either side and in front of all diving boards and towers measured from the tip or end of the board.,The clearances required by Sentence 7.2.3.13.(2) shall extend not less than 3 m on either side and in front of all diving boards and towers measured from the tip or end of the board.,1.0
5096,"Each building module conforming to this Part shall be clearly and permanently identified with a plate showing the date of construction, the name of the constructor, the address of the constructor, the model number and serial number, and the structural and mechanical design parameters.","Each building module conforming to this Part shall be clearly and permanently identified with a plate showing the date of construction, the name of the constructor, the address of the constructor, the model number and serial number, and the structural and mechanical design parameters.",1.0
945,A fuel-fired appliance placed in a building containing sleeping accommodation shall be placed in a service room.,A fuel-fired appliance placed in a building containing sleeping accommodation shall be placed in a service room.,1.0
5094,"Each horizontal log shall be scribed to fit as closely as possible to its bearer and fastened to the bearer in at least 3 places throughout its length by dowels, continuous machined joints, vertical framing members, interlocking sections or any combination of these, and the distance between fastenings shall not exceed 1.8 m.","Each horizontal log shall be scribed to fit as closely as possible to its bearer and fastened to the bearer in at least 3 places throughout its length by dowels, continuous machined joints, vertical framing members, interlocking sections or any combination of these, and the distance between fastenings shall not exceed 1.8 m.",1.0
1840,"A lightning protection system, when provided, shall conform to the requirements of CSA CAN/CSA-B72-M87 Installation Code for Lightning Protection Systems","A lightning protection system, when provided, shall conform to the requirements of CSA CAN/CSA-B72-M87 Installation Code for Lightning Protection Systems",1.0
740,Flange joints or unions shall be inserted at intervals to permit any part of the piping system to be disassembled for cleaning or repairs.,Flange joints or unions shall be inserted at intervals to permit any part of the piping system to be disassembled for cleaning or repairs.,1.0
194,"Windows shall be equipped with opening devices located not more than 60 mm above the window sill and of a design that does not require tight grasping, pinching with fingers, or twisting of the wrist as the only means of operation, and be located so that the sill is not more than 865 mm above the floor level.","Windows shall be equipped with opening devices located not more than 60 mm above the window sill and of a design that does not require tight grasping, pinching with fingers, or twisting of the wrist as the only means of operation, and be located so that the sill is not more than 865 mm above the floor level.",1.0
4765,"The building shall be designed and constructed so that the acoustic insulation factor is not less than the value derived from Table 11.2.1.2.-B for each component of the exterior envelope of every living room, dining room, recreational room, and all other rooms of a similar nature, in residential occupancies.","The building shall be designed and constructed so that the acoustic insulation factor is not less than the value derived from Table 11.2.1.2.-B for each component of the exterior envelope of every living room, dining room, recreational room, and all other rooms of a similar nature, in residential occupancies.",1.0
3775,"The circulation piping and fittings shall be of a non-toxic, corrosion-resistant material and able to withstand operating pressures.","The circulation piping and fittings shall be of a non-toxic, corrosion-resistant material and able to withstand operating pressures.",1.0
4766,"If tie-down devices are required, the manufacturer shall provide tie-down instructions with each module specifying the location, required capacity and anchoring of recommended tie-down devices.","If tie-down devices are required, the manufacturer shall provide tie-down instructions with each module specifying the location, required capacity and anchoring of recommended tie-down devices.",1.0
3801,"If the stability of adjoining buildings may be endangered by the work of excavating, adequate underpinning, shoring and bracing shall be provided to prevent damage to, or movement of, any part of the adjoining building, and the creation of a hazard to the public.","If the stability of adjoining buildings may be endangered by the work of excavating, adequate underpinning, shoring and bracing shall be provided to prevent damage to, or movement of, any part of the adjoining building, and the creation of a hazard to the public.",1.0
506,The floor and curb of the area used by spectators shall be tightly constructed of impervious material and shall be sloped and adequately drained.,The floor and curb of the area used by spectators shall be tightly constructed of impervious material and shall be sloped and adequately drained.,1.0
6352,"No person shall operate or install a combustible display or exhibit in a Group A, Division 1, 2 or 3 major occupancy unless the building is protected by an automatic sprinkler system designed and installed in conformance with the NBC(AE) or until precautions have been taken to protect the occupants from the hazards of fire. (See Note Note A-2.1.2.2.(1).)","No person shall operate or install a combustible display or exhibit in a Group A, Division 1, 2 or 3 major occupancy unless the building is protected by an automatic sprinkler system designed and installed in conformance with the NBC(AE) or until precautions have been taken to protect the occupants from the hazards of fire. (See Note Note A-2.1.2.2.(1).)",1.0
4543,Skirting shall be installed if the wall of a module is less than 15 m from the wall of another module or from another wall of the same module that forms an included angle of less than 135°.,Skirting shall be installed if the wall of a module is less than 15 m from the wall of another module or from another wall of the same module that forms an included angle of less than 135°.,1.0
6559,"In areas subject to earthquake forces, storage tanks, supports and connections shall be designed to resist such forces in conformance with Part 4 of Division B of the NBC(AE), and Appendix A2 of ULC CAN/ULC-S601-14 Shop Fabricated Steel Aboveground Tanks for Flammable and Combustible Liquids","In areas subject to earthquake forces, storage tanks, supports and connections shall be designed to resist such forces in conformance with Part 4 of Division B of the NBC(AE), and Appendix A2 of ULC CAN/ULC-S601-14 Shop Fabricated Steel Aboveground Tanks for Flammable and Combustible Liquids",1.0
739,A window with non-breakable glazing or that is not openable shall not be used in a sleeping area unless the window is designed and permanently marked as being of a knock-out type.,A window with non-breakable glazing or that is not openable shall not be used in a sleeping area unless the window is designed and permanently marked as being of a knock-out type.,1.0
5083,"Exits shall be located so that the travel distance from any part of the building to at least one exit is not more than 25 m if the building is not sprinklered, or 40 m if the building is sprinklered.","Exits shall be located so that the travel distance from any part of the building to at least one exit is not more than 25 m if the building is not sprinklered, or 40 m if the building is sprinklered.",1.0
3447,"A drainage opening shall be free from obstruction, including benches and lockers, to allow for ease of cleaning.","A drainage opening shall be free from obstruction, including benches and lockers, to allow for ease of cleaning.",1.0
3793,"Except as provided in Articles 9.33.5.3. and 9.33.5.4., the installation of heating and air-conditioning equipment, including mechanical refrigeration equipment, and including provisions for mounting, clearances and air supply, shall conform to the Pressure Equipment Safety Regulation made pursuant to the Safety Codes Act, CSA B52-13 Mechanical Refrigeration Code CSA B139 Series-15 Installation Code for Oil-Burning Equipment the Gas Code Regulation made pursuant to the Safety Codes Act, the Electrical Code Regulation made pursuant to the Safety Codes Act, or CSA C448 Series-13 Design and Installation of Earth Energy Systems","Except as provided in Articles 9.33.5.3. and 9.33.5.4., the installation of heating and air-conditioning equipment, including mechanical refrigeration equipment, and including provisions for mounting, clearances and air supply, shall conform to the Pressure Equipment Safety Regulation made pursuant to the Safety Codes Act, CSA B52-13 Mechanical Refrigeration Code CSA B139 Series-15 Installation Code for Oil-Burning Equipment the Gas Code Regulation made pursuant to the Safety Codes Act, the Electrical Code Regulation made pursuant to the Safety Codes Act, or CSA C448 Series-13 Design and Installation of Earth Energy Systems",1.0
6455,"The removal, abandonment in place, disposal or temporary taking out of service of an underground piping system shall be in conformance with Sentence 2.2.3.1.(1).. (See Note A-4.3.16.1.(1).)","The removal, abandonment in place, disposal or temporary taking out of service of an underground piping system shall be in conformance with Sentence 2.2.3.1.(1).. (See Note A-4.3.16.1.(1).)",1.0
507,Swimming pool inlets and outlets shall be provided and arranged to produce a uniform circulation of water from the bottom to the top surface and to maintain a uniform concentration of chlorine or equivalent disinfectant throughout the swimming pool with provisions to adjust the flow through all inlets.,Swimming pool inlets and outlets shall be provided and arranged to produce a uniform circulation of water from the bottom to the top surface and to maintain a uniform concentration of chlorine or equivalent disinfectant throughout the swimming pool with provisions to adjust the flow through all inlets.,1.0
193,"A deck along the egress side of a receiving pool shall be not less than 3 m wide, have slip-resistant surfaces, and be sloped not less than 1:50 and not more than 1:25 away from the receiving pool to drainage or to deck drains.","A deck along the egress side of a receiving pool shall be not less than 3 m wide, have slip-resistant surfaces, and be sloped not less than 1:50 and not more than 1:25 away from the receiving pool to drainage or to deck drains.",1.0
5082,A drainage system shall be designed in accordance with good engineering practice.,A drainage system shall be designed in accordance with good engineering practice.,1.0
3285,"For the purpose of the application of the load combinations given in Table 4.1.3.2.-A, the geotechnical components of loads and the factored geotechnical resistances at ULS shall be determined by a suitably qualified and experienced registered engineering professional. (See Note A-4.2.4.1.(3).)","For the purpose of the application of the load combinations given in Table 4.1.3.2.-A, the geotechnical components of loads and the factored geotechnical resistances at ULS shall be determined by a suitably qualified and experienced registered engineering professional. (See Note A-4.2.4.1.(3).)",1.0
3290,"If a room contains not more than 1 water closet, the doorway to the room shall be provided with a full-height door that is capable of being locked from the inside, or no fewer than 2 water closets or at least 1 water closet and 1 urinal, the room shall be designed so that water closets and urinals are not visible from the entrance to the room.","If a room contains not more than 1 water closet, the doorway to the room shall be provided with a full-height door that is capable of being locked from the inside, or no fewer than 2 water closets or at least 1 water closet and 1 urinal, the room shall be designed so that water closets and urinals are not visible from the entrance to the room.",1.0
3289,"Full log, interlocking, scribe-fit construction shall be designed on the basis of structural analysis, accepted tests, or standards such as ILBA 2000 Log Building Standards for Residential, Handcrafted, Interlocking, Scribe-fit Construction and ILBA 2005 Log Span Tables for Floor Joists, Beams, and Roof Support Systems","Full log, interlocking, scribe-fit construction shall be designed on the basis of structural analysis, accepted tests, or standards such as ILBA 2000 Log Building Standards for Residential, Handcrafted, Interlocking, Scribe-fit Construction and ILBA 2005 Log Span Tables for Floor Joists, Beams, and Roof Support Systems",1.0
5075,"Except for specific requirements for a private swimming pool, this Section applies to public swimming pools and semi-public swimming pools, water theme parks, water spray parks, and steam rooms and sauna rooms.","Except for specific requirements for a private swimming pool, this Section applies to public swimming pools and semi-public swimming pools, water theme parks, water spray parks, and steam rooms and sauna rooms.",1.0
6128,"An underground storage tank that is damaged shall not be repaired on site and used for storage unless the repair is done by the manufacturer in accordance with ULC refurbishing specifications, and the manufacturer certifies in writing that the repaired tank meets the applicable manufacturing codes.","An underground storage tank that is damaged shall not be repaired on site and used for storage unless the repair is done by the manufacturer in accordance with ULC refurbishing specifications, and the manufacturer certifies in writing that the repaired tank meets the applicable manufacturing codes.",1.0
3292,Below-surface ledges on the sides of a swimming pool are prohibited where the depth of water exceeds 1.5 m.,Below-surface ledges on the sides of a swimming pool are prohibited where the depth of water exceeds 1.5 m.,1.0
3291,"Special provision shall be made in water slide flume discharge design, receiving pool depth, and receiving pool width measured from flume discharge, to safely accommodate slides with greater slopes or other special features that allow an unusually rapid descent.","Special provision shall be made in water slide flume discharge design, receiving pool depth, and receiving pool width measured from flume discharge, to safely accommodate slides with greater slopes or other special features that allow an unusually rapid descent.",1.0
612,The deck of an outdoor swimming pool shall be not less than 150 mm above the finished ground elevation.,The deck of an outdoor swimming pool shall be not less than 150 mm above the finished ground elevation.,1.0
1559,"In other than suites of residential occupancy, a room in which a water closet or urinal is installed shall be mechanically ventilated to the exterior of the building.","In other than suites of residential occupancy, a room in which a water closet or urinal is installed shall be mechanically ventilated to the exterior of the building.",1.0
4922,"If any portion of a building is erected entirely below the adjoining finished ground level and extends more than one storey below that ground level, the following minimum precautions against fire spread and collapse shall be taken: the basements shall be sprinklered throughout, a floor assembly below the ground level shall be constructed as a fire separation with a fire-resistance rating not less than 3 h if the basements are used as Group E or Group F, Division 1 or 2 occupancies, or 2 h if the basements are not used as Group E or Group F, Division 1 or 2 occupancies, and all loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the construction that they support.","If any portion of a building is erected entirely below the adjoining finished ground level and extends more than one storey below that ground level, the following minimum precautions against fire spread and collapse shall be taken: the basements shall be sprinklered throughout, a floor assembly below the ground level shall be constructed as a fire separation with a fire-resistance rating not less than 3 h if the basements are used as Group E or Group F, Division 1 or 2 occupancies, or 2 h if the basements are not used as Group E or Group F, Division 1 or 2 occupancies, and all loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the construction that they support.",1.0
3443,"Except as provided in Sentences 9.36.2.1.(2) , 9.36.2.1.(6) and 9.36.2.1.(7), this Subsection is concerned with the loss of energy due to heat transfer and air leakage through materials, components and assemblies, including their interfaces, forming part of the building envelope where it separates conditioned space from unconditioned space, the exterior air or the ground.","Except as provided in Sentences 9.36.2.1.(2) , 9.36.2.1.(6) and 9.36.2.1.(7), this Subsection is concerned with the loss of energy due to heat transfer and air leakage through materials, components and assemblies, including their interfaces, forming part of the building envelope where it separates conditioned space from unconditioned space, the exterior air or the ground.",1.0
3293,"Except as permitted in Sentence 7.2.3.27.(3), the surge capacity required in Sentence 7.2.3.27.(1) shall be based on providing not less than 60 L per 1.5 m2 of swimming pool surface area, exclusive of the skimming capacity required by Article 7.2.3.26.","Except as permitted in Sentence 7.2.3.27.(3), the surge capacity required in Sentence 7.2.3.27.(1) shall be based on providing not less than 60 L per 1.5 m2 of swimming pool surface area, exclusive of the skimming capacity required by Article 7.2.3.26.",1.0
