Full Index,ON Full,ON Variations,Similarity
47368,Corridors and ramps used by residents in a long-term care home shall be equipped with handrails on each side conforming to Sentences 3.4.6.5.(5) to (7) and (11) to (13).,Corridors and ramps used by residents in a long-term care home shall be equipped with handrails on each side conforming to Sentences 3.4.6.5.(5) to (7) and (11) to (13).,1.0
50846,"When quantities greater than are permitted for incidental use in Subsection 4.2.8. are required for special process operations, storage tanks for flammable liquids or combustible liquids are permitted to be located outside of a storage room referred to in Sentence (1), provided that total quantities per fire compartment are not more than one-half the quantities permitted in Table 4.3.12.A., they are located on the first storey, and the installation conforms to Articles 4.3.12.7. to 4.3.12.10. and Article 4.3.13.4.","When quantities greater than are permitted for incidental use in Subsection 4.2.8. are required for special process operations, storage tanks for flammable liquids or combustible liquids are permitted to be located outside of a storage room referred to in Sentence (1), provided that total quantities per fire compartment are not more than one-half the quantities permitted in Table 4.3.12.A., they are located on the first storey, and the installation conforms to Articles 4.3.12.7. to 4.3.12.10. and Article 4.3.13.4.",1.0
44478,"Wall, ceiling and floor assemblies that separate conditioned spaces from unconditioned spaces or from the ground shall be constructed so as to include an air barrier system that will provide a continuous barrier to air leakage,(a) from the interior of the building into wall, floor, attic or roof spaces sufficient to prevent excessive moisture condensation in such spaces during the heating season, and (b) from the exterior inward sufficient to prevent moisture condensation on the room side during the heating season. (See Appendix A.)","Wall, ceiling and floor assemblies that separate conditioned spaces from unconditioned spaces or from the ground shall be constructed so as to include an air barrier system that will provide a continuous barrier to air leakage,(a) from the interior of the building into wall, floor, attic or roof spaces sufficient to prevent excessive moisture condensation in such spaces during the heating season, and (b) from the exterior inward sufficient to prevent moisture condensation on the room side during the heating season. (See Appendix A.)",1.0
45856,"The following shall be designed to carry not less than the specified load required for the occupancy they serve, provided they cannot be used by an assembly of people as a viewing area: (a) corridors, lobbies and aisles not more than 1 200 mm wide, (b) all corridors above the first storey of residential areas of apartments, hotels and motels, and (c) interior balconies and mezzanines.","The following shall be designed to carry not less than the specified load required for the occupancy they serve, provided they cannot be used by an assembly of people as a viewing area: (a) corridors, lobbies and aisles not more than 1 200 mm wide, (b) all corridors above the first storey of residential areas of apartments, hotels and motels, and (c) interior balconies and mezzanines.",1.0
47369,The concentration of CBOD5 and suspended solids in the grab sample described in Sentences (1) and (4) is deemed to comply with the maximum concentration requirements set out in Table 8.6.2.2. when it does not exceed 20 mg/L for each of these parameters.,The concentration of CBOD5 and suspended solids in the grab sample described in Sentences (1) and (4) is deemed to comply with the maximum concentration requirements set out in Table 8.6.2.2. when it does not exceed 20 mg/L for each of these parameters.,1.0
50178,"If wood wall studs or sheet steel wall studs enclose the main bathroom in a dwelling unit, reinforcement shall be installed to permit the future installation of the following:(a) for a water closet, a grab bar described in Clauses 3.8.3.8.(3)(a) and a grab bar described in Clause 3.8.3.8.(3)(c), (b) for a shower, a grab bar described in Clause 3.8.3.13.(2)(g), and (c) for a bathtub, a grab bar described in Clause 3.8.3.13.(4)(e). (See Appendix A.)","If wood wall studs or sheet steel wall studs enclose the main bathroom in a dwelling unit, reinforcement shall be installed to permit the future installation of the following:(a) for a water closet, a grab bar described in Clauses 3.8.3.8.(3)(a) and a grab bar described in Clause 3.8.3.8.(3)(c), (b) for a shower, a grab bar described in Clause 3.8.3.13.(2)(g), and (c) for a bathtub, a grab bar described in Clause 3.8.3.13.(4)(e). (See Appendix A.)",1.0
51321,"Where a covered mall described in Sentence (1) is used for merchandising or public activities, the fire safety plan described in Section 2.8 shall include additional provisions to offset any hazard that may be created by such activities.","Where a covered mall described in Sentence (1) is used for merchandising or public activities, the fire safety plan described in Section 2.8 shall include additional provisions to offset any hazard that may be created by such activities.",1.0
45024,"A modified pool shall be surrounded on all sides by a hard-surfaced pool deck that shall, be at least 3 m wide, have a continuous crest surrounding the pool at least 100 mm above the pool water surface, and be sloped to shed water from the crest to the outer perimeter of the pool deck.","A modified pool shall be surrounded on all sides by a hard-surfaced pool deck that shall, be at least 3 m wide, have a continuous crest surrounding the pool at least 100 mm above the pool water surface, and be sloped to shed water from the crest to the outer perimeter of the pool deck.",1.0
50179,"Compliance with Sentence (1) shall be demonstrated by conforming to, (a) this Section, or (b) Part 5.","Compliance with Sentence (1) shall be demonstrated by conforming to, (a) this Section, or (b) Part 5.",1.0
50180,A wave action pool shall be designed and constructed to comply with Sentences (3) to (11).,A wave action pool shall be designed and constructed to comply with Sentences (3) to (11).,1.0
50181,There shall be a hard-surfaced pool deck at least 3 m wide immediately adjacent to the pool wall at the shallow end of the pool and at least 1 500 mm wide immediately adjacent to all walls of the pool.,There shall be a hard-surfaced pool deck at least 3 m wide immediately adjacent to the pool wall at the shallow end of the pool and at least 1 500 mm wide immediately adjacent to all walls of the pool.,1.0
50182,"One section of the hard-surfaced pool deck that does not exceed 25% of the perimeter of the public spa may have a minimum clear deck space of not more than 300 mm if, the public spa has an area less than 6 m2, and the public spa has no interior dimension more than 2.5 m.","One section of the hard-surfaced pool deck that does not exceed 25% of the perimeter of the public spa may have a minimum clear deck space of not more than 300 mm if, the public spa has an area less than 6 m2, and the public spa has no interior dimension more than 2.5 m.",1.0
45023,"The air barrier system shall be continuous,(a) across construction, control and expansion joints, (b) across junctions between different building assemblies, and (c) around penetrations through the building assembly.","The air barrier system shall be continuous,(a) across construction, control and expansion joints, (b) across junctions between different building assemblies, and (c) around penetrations through the building assembly.",1.0
52344,Electrically conductive objects within the charging influence of the electrodes of electrostatic fluidized beds shall be grounded.,Electrically conductive objects within the charging influence of the electrodes of electrostatic fluidized beds shall be grounded.,1.0
45780,"For the purposes of Sentence (1), reduction of performance level shall be determined in accordance with Article 10.3.2.2.","For the purposes of Sentence (1), reduction of performance level shall be determined in accordance with Article 10.3.2.2.",1.0
47940,"Except for stairs and ramps serving a house or an individual dwelling unit, at least one handrail at the sides of a stair or ramp shall extend horizontally not less than 300 mm beyond the top and bottom of each flight or ramp. (See Appendix A.)","Except for stairs and ramps serving a house or an individual dwelling unit, at least one handrail at the sides of a stair or ramp shall extend horizontally not less than 300 mm beyond the top and bottom of each flight or ramp. (See Appendix A.)",1.0
47370,"Except as provided in Sentence (4), where a soil or waste stack receives the discharge from fixtures located on more than 11 storeys, a yoke vent shall be,(a) installed for each section of 5 storeys or part of them counted from the top down, (b) installed at or immediately above each offset or double offset, and (c) sized in accordance with Sentence 7.5.7.5.(1).","Except as provided in Sentence (4), where a soil or waste stack receives the discharge from fixtures located on more than 11 storeys, a yoke vent shall be,(a) installed for each section of 5 storeys or part of them counted from the top down, (b) installed at or immediately above each offset or double offset, and (c) sized in accordance with Sentence 7.5.7.5.(1).",1.0
52630,"Loose sawdust, particles or shavings shall be swept up at frequent intervals and deposited in receptacles described in Sentence 2.4.1.3.(3).","Loose sawdust, particles or shavings shall be swept up at frequent intervals and deposited in receptacles described in Sentence 2.4.1.3.(3).",1.0
47371,A motion sensor shall not be used to control emergency lighting.,A motion sensor shall not be used to control emergency lighting.,1.0
45378,"Except as provided in Sentences (2) and (3), the requirements in Subsection 3.2.5. shall apply.","Except as provided in Sentences (2) and (3), the requirements in Subsection 3.2.5. shall apply.",1.0
52462,Pits provided in conformance with Sentence (1) shall not be larger than necessary for inspection and maintenance and shall be provided with a cover.,Pits provided in conformance with Sentence (1) shall not be larger than necessary for inspection and maintenance and shall be provided with a cover.,1.0
44739,"Branch supply ducts leading from the main distribution trunk duct required by Sentence (5) to the rooms to which outdoor air is to be distributed shall be provided and shall be sized according to Part 6, except that the branch supply ducts may be sized according to Table 9.32.3.7.B. where, (a) the total duct length from the outdoor hood to any supply register does not exceed 21 m, and (b) the total number of fittings does not exceed 8.","Branch supply ducts leading from the main distribution trunk duct required by Sentence (5) to the rooms to which outdoor air is to be distributed shall be provided and shall be sized according to Part 6, except that the branch supply ducts may be sized according to Table 9.32.3.7.B. where, (a) the total duct length from the outdoor hood to any supply register does not exceed 21 m, and (b) the total number of fittings does not exceed 8.",1.0
51322,The priming water for dry-pipe systems shall be inspected at least every three months to ensure that the proper level above the dry-pipe valve is maintained.,The priming water for dry-pipe systems shall be inspected at least every three months to ensure that the proper level above the dry-pipe valve is maintained.,1.0
45816,"If Sentence (1) permits a roof assembly to be of heavy timber construction, structural members in the storey immediately below the roof assembly are permitted to be of heavy timber construction.","If Sentence (1) permits a roof assembly to be of heavy timber construction, structural members in the storey immediately below the roof assembly are permitted to be of heavy timber construction.",1.0
47619,Fasteners referred to in Sentences (1) and (2) shall be located not less than 12 mm above the tops of the cutouts.,Fasteners referred to in Sentences (1) and (2) shall be located not less than 12 mm above the tops of the cutouts.,1.0
47621,"If a fire escape serves any storey above the second, openings located in a zone described in Sentence (2), including access doorways in the exterior walls of the building to which the fire escape is attached, shall be protected by closures conforming to Subsection 3.1.8.","If a fire escape serves any storey above the second, openings located in a zone described in Sentence (2), including access doorways in the exterior walls of the building to which the fire escape is attached, shall be protected by closures conforming to Subsection 3.1.8.",1.0
45855,"Studs for walls not listed in Table 9.23.10.1. and supporting roof loads shall conform to Tables A-30 to A-33, provided, (a) the studs are clad with not less than 9.5 mm thick plywood, OSB or waferboard sheathing on the exterior face, and not less than 12.5 mm gypsum board on the interior face, (b) solid bridging is provided at not more than 1.2 m o.c, (c) the studs are fastened to the top and bottom plates with no fewer than three 82 mm toe-nails, (d) the double top plates are fastened together with not less than 76 mm nails spaced not more than 200 mm o.c, (e) roof framing members spaced not more than 610 mm are fastened to the top plates with no fewer than four 82 mm toe-nails, and (f) the bottom plate is fastened to the floor joists, blocking or rim joist with not less than 82 mm nails spaced not more than 200 mm o.c. (See Appendix A.)","Studs for walls not listed in Table 9.23.10.1. and supporting roof loads shall conform to Tables A-30 to A-33, provided, (a) the studs are clad with not less than 9.5 mm thick plywood, OSB or waferboard sheathing on the exterior face, and not less than 12.5 mm gypsum board on the interior face, (b) solid bridging is provided at not more than 1.2 m o.c, (c) the studs are fastened to the top and bottom plates with no fewer than three 82 mm toe-nails, (d) the double top plates are fastened together with not less than 76 mm nails spaced not more than 200 mm o.c, (e) roof framing members spaced not more than 610 mm are fastened to the top plates with no fewer than four 82 mm toe-nails, and (f) the bottom plate is fastened to the floor joists, blocking or rim joist with not less than 82 mm nails spaced not more than 200 mm o.c. (See Appendix A.)",1.0
45679,"When operating at the rate required in Article 9.32.3.4., the supply and exhaust airflow rates of the heat recovery ventilator shall be balanced so that the value of the lesser flow shall be at least 90% of the value of the greater flow, unless otherwise recommended by the manufacturer.","When operating at the rate required in Article 9.32.3.4., the supply and exhaust airflow rates of the heat recovery ventilator shall be balanced so that the value of the lesser flow shall be at least 90% of the value of the greater flow, unless otherwise recommended by the manufacturer.",1.0
48982,Buildings with non-rigid or energy-dissipating connections require special studies.,Buildings with non-rigid or energy-dissipating connections require special studies.,1.0
48983,"The structure shall have a clearly defined, (a) SFRS, as defined in Article 4.1.8.2., to resist the earthquake loads and their effects, and (b) load path or paths that will transfer the inertial forces generated by the earthquake to the foundations and supporting ground.","The structure shall have a clearly defined, (a) SFRS, as defined in Article 4.1.8.2., to resist the earthquake loads and their effects, and (b) load path or paths that will transfer the inertial forces generated by the earthquake to the foundations and supporting ground.",1.0
47939,"Except as required by Sentence (3), a fuel-fired appliance that serves only one room or suite is not required to be installed in a service room separated from the remainder of the building.","Except as required by Sentence (3), a fuel-fired appliance that serves only one room or suite is not required to be installed in a service room separated from the remainder of the building.",1.0
44533,A contained use area shall conform to Sentences (2) to (5).,A contained use area shall conform to Sentences (2) to (5).,1.0
44631,"Adapters, connectors or mechanical joints used to join dissimilar materials shall be designed to accommodate the required transition.","Adapters, connectors or mechanical joints used to join dissimilar materials shall be designed to accommodate the required transition.",1.0
48984,Access to exits shall conform to Section 3.3.,Access to exits shall conform to Section 3.3.,1.0
52631,"The storage, handling and use of flammable liquids and combustible liquids shall meet the requirements of Part 4.","The storage, handling and use of flammable liquids and combustible liquids shall meet the requirements of Part 4.",1.0
45377,"In a building regulated by the provisions of Subsection 3.2.6., the indication of a supervisory signal in accordance with Sentence (3) shall be transmitted to a proprietary control centre or to an independent central station.","In a building regulated by the provisions of Subsection 3.2.6., the indication of a supervisory signal in accordance with Sentence (3) shall be transmitted to a proprietary control centre or to an independent central station.",1.0
46276,Dead end corridors are not permitted.,Dead end corridors are not permitted.,1.0
52212,Indoor piping for flammable liquids or combustible liquids shall either be supported overhead or be located in trenches conforming to Article 4.4.7.9.,Indoor piping for flammable liquids or combustible liquids shall either be supported overhead or be located in trenches conforming to Article 4.4.7.9.,1.0
46955,"The base of the filter medium shall extend to a thickness of at least 250 mm over an area meeting the requirements of the following formula:where, A = the area of contact in square metres between the base of the filter medium and the underlying soil, Q = the total daily design sanitary sewage flow in litres, and T = the lesser of 50 and the percolation time of the underlying soil.","The base of the filter medium shall extend to a thickness of at least 250 mm over an area meeting the requirements of the following formula:where, A = the area of contact in square metres between the base of the filter medium and the underlying soil, Q = the total daily design sanitary sewage flow in litres, and T = the lesser of 50 and the percolation time of the underlying soil.",1.0
44438,"Where an exit door leading directly to the outside is subject to being obstructed by a parked vehicle or storage because of its location, a visible sign prohibiting such obstructions shall be permanently mounted on the exterior side of the door.","Where an exit door leading directly to the outside is subject to being obstructed by a parked vehicle or storage because of its location, a visible sign prohibiting such obstructions shall be permanently mounted on the exterior side of the door.",1.0
48985,"A subsurface investigation shall be carried out to the depth and extent to which the building or excavation will significantly change the stress in the soil or rock, or to such a depth and extent as to provide all the necessary information for the design and construction of the excavation or the foundations.","A subsurface investigation shall be carried out to the depth and extent to which the building or excavation will significantly change the stress in the soil or rock, or to such a depth and extent as to provide all the necessary information for the design and construction of the excavation or the foundations.",1.0
51069,"In a hotel establishment regulated by Section 9.9, a cooking operation that meets the requirements of Article 9.9.2.19. is deemed to be in compliance with Sentence (1).","In a hotel establishment regulated by Section 9.9, a cooking operation that meets the requirements of Article 9.9.2.19. is deemed to be in compliance with Sentence (1).",1.0
52405,Spare sprinkler heads shall correspond to the types and temperature ratings of the sprinklers installed on the system.,Spare sprinkler heads shall correspond to the types and temperature ratings of the sprinklers installed on the system.,1.0
51784,"Groups of lumber piles shall be arranged with a maximum width of 15 m and a maximum length of 45 m, with fire department access routes surrounding each group of piles.","Groups of lumber piles shall be arranged with a maximum width of 15 m and a maximum length of 45 m, with fire department access routes surrounding each group of piles.",1.0
45980,Plumbing fixtures shall not be installed in a room that is not lighted and ventilated in accordance with the appropriate requirements in Parts 3 and 9.,Plumbing fixtures shall not be installed in a room that is not lighted and ventilated in accordance with the appropriate requirements in Parts 3 and 9.,1.0
44786,"If a component of a plumbing system is required to be certified to a standard, the certification shall be made by a testing agency accredited for that purpose by the Standards Council of Canada.","If a component of a plumbing system is required to be certified to a standard, the certification shall be made by a testing agency accredited for that purpose by the Standards Council of Canada.",1.0
47934,"Where polyethylene is installed to serve as the vapour barrier, it shall conform to CAN/CGSB-51.34-M, ""Vapour Barrier, Polyethylene Sheet for Use in Building Construction"".","Where polyethylene is installed to serve as the vapour barrier, it shall conform to CAN/CGSB-51.34-M, ""Vapour Barrier, Polyethylene Sheet for Use in Building Construction"".",1.0
52213,The test prescribed in Article 6.5.5.5. shall be conducted after any sprinkler system control valve has been operated.,The test prescribed in Article 6.5.5.5. shall be conducted after any sprinkler system control valve has been operated.,1.0
45681,"Combustible duct linings, duct coverings, duct insulation, vibration isolation connectors, duct tape, pipe insulation and pipe coverings are permitted to be used in a building required to be of noncombustible construction provided they conform to the appropriate requirements of Part 6.","Combustible duct linings, duct coverings, duct insulation, vibration isolation connectors, duct tape, pipe insulation and pipe coverings are permitted to be used in a building required to be of noncombustible construction provided they conform to the appropriate requirements of Part 6.",1.0
48988,Ductwork for cooking appliance exhaust fans shall be equipped with a grease filter at the intake.,Ductwork for cooking appliance exhaust fans shall be equipped with a grease filter at the intake.,1.0
48989,"The design, construction, installation and material alteration of every indoor incinerator shall conform to NFPA 82, ""Incinerators and Waste and Linen Handling Systems and Equipment"".","The design, construction, installation and material alteration of every indoor incinerator shall conform to NFPA 82, ""Incinerators and Waste and Linen Handling Systems and Equipment"".",1.0
48990,"Except as provided in Sentence (2), back-siphonage preventers and backflow preventers shall be certified to,(a) CSA B64.0, ""Definitions, General Requirements and Test Methods for Vacuum Breakers and Backflow Preventers"", (b) CSA B64.1.1, ""Atmospheric Vacuum Breakers (AVB)"", (c) CSA B64.1.2, ""Pressure Vacuum Breakers (PVB)"", (d) CSA B64.1.3, ""Spill-resistant Pressure Vacuum Breakers (SRPVB)"", (e) CSA B64.1.4, ""Vacuum Breaker, Air Space Type (ASVB)"", (f) CSA B64.2, ""Hose Connection Vacuum Breakers (HCVB)"", (g) CSA B64.2.1, ""Hose Connection Vacuum Breakers (HCVB) with Manual Draining Feature"", (h) CSA B64.2.1.1, ""Hose Connection Dual Check Vacuum Breakers (HCDVB)"", (i) CSA B64.2.2, ""Hose Connection Vacuum Breakers (HCVB) with Automatic Draining Feature"", (j) CSA B64.3, ""Dual Check Valve Backflow Preventers with Atmospheric Port (DCAP)"", (k) CSA B64.3.1, ""Dual Check Valve Backflow Preventers with Atmospheric Port for Carbonators (DCAPC)"", (l) CSA B64.4, ""Reduced Pressure Principle (RP) Backflow Preventers"", (m) CSA B64.5, ""Double Check Valve (DCVA) Backflow Preventers"", (n) CSA B64.6, ""Dual Check Valve (DuC) Backflow Preventers"", (o) CSA B64.7, ""Laboratory Faucet Vacuum Breakers (LFVB)"", (p) CSA B64.8, ""Dual Check Valve Backflow Preventers with Intermediate Vent (DuCV)"", or (q) CSA B64.10, ""Selection and Installation of Backflow Preventers"".","Except as provided in Sentence (2), back-siphonage preventers and backflow preventers shall be certified to,(a) CSA B64.0, ""Definitions, General Requirements and Test Methods for Vacuum Breakers and Backflow Preventers"", (b) CSA B64.1.1, ""Atmospheric Vacuum Breakers (AVB)"", (c) CSA B64.1.2, ""Pressure Vacuum Breakers (PVB)"", (d) CSA B64.1.3, ""Spill-resistant Pressure Vacuum Breakers (SRPVB)"", (e) CSA B64.1.4, ""Vacuum Breaker, Air Space Type (ASVB)"", (f) CSA B64.2, ""Hose Connection Vacuum Breakers (HCVB)"", (g) CSA B64.2.1, ""Hose Connection Vacuum Breakers (HCVB) with Manual Draining Feature"", (h) CSA B64.2.1.1, ""Hose Connection Dual Check Vacuum Breakers (HCDVB)"", (i) CSA B64.2.2, ""Hose Connection Vacuum Breakers (HCVB) with Automatic Draining Feature"", (j) CSA B64.3, ""Dual Check Valve Backflow Preventers with Atmospheric Port (DCAP)"", (k) CSA B64.3.1, ""Dual Check Valve Backflow Preventers with Atmospheric Port for Carbonators (DCAPC)"", (l) CSA B64.4, ""Reduced Pressure Principle (RP) Backflow Preventers"", (m) CSA B64.5, ""Double Check Valve (DCVA) Backflow Preventers"", (n) CSA B64.6, ""Dual Check Valve (DuC) Backflow Preventers"", (o) CSA B64.7, ""Laboratory Faucet Vacuum Breakers (LFVB)"", (p) CSA B64.8, ""Dual Check Valve Backflow Preventers with Intermediate Vent (DuCV)"", or (q) CSA B64.10, ""Selection and Installation of Backflow Preventers"".",1.0
48991,"PVC floor flanges shall be certified to CAN/CSA-B181.2, ""Polyvinylchloride (PVC) and Chlorinated Polyvinylchloride (CPVC) Drain, Waste, and Vent Pipe and Pipe Fittings"".","PVC floor flanges shall be certified to CAN/CSA-B181.2, ""Polyvinylchloride (PVC) and Chlorinated Polyvinylchloride (CPVC) Drain, Waste, and Vent Pipe and Pipe Fittings"".",1.0
48992,"Supply, return and exhaust air openings located less than 2 000 mm above the floor in rooms or spaces in buildings shall be protected by grilles having openings of a size that will not allow the passage of a 15 mm diameter sphere.","Supply, return and exhaust air openings located less than 2 000 mm above the floor in rooms or spaces in buildings shall be protected by grilles having openings of a size that will not allow the passage of a 15 mm diameter sphere.",1.0
51325,Exhaust ducts for spray booths and spray rooms shall be provided with access doors for cleaning purposes.,Exhaust ducts for spray booths and spray rooms shall be provided with access doors for cleaning purposes.,1.0
51324,Test pressures exceeding 700 kPa (gauge) shall not be used except when the piping system is designed for such pressures.,Test pressures exceeding 700 kPa (gauge) shall not be used except when the piping system is designed for such pressures.,1.0
45025,"Where an existing building is subject to extension, material alteration or repair, (a) the proposed construction shall comply with Section 11.3., and (b) the performance level of the building shall be evaluated and compensating construction shall be undertaken in accordance with Section 11.4.","Where an existing building is subject to extension, material alteration or repair, (a) the proposed construction shall comply with Section 11.3., and (b) the performance level of the building shall be evaluated and compensating construction shall be undertaken in accordance with Section 11.4.",1.0
52841,Private and public water supplies for fire protection installations shall be maintained to provide the required flow under fire conditions.,Private and public water supplies for fire protection installations shall be maintained to provide the required flow under fire conditions.,1.0
48993,"Screwed malleable iron water fittings shall conform to ASME B16.3, ""Malleable Iron Threaded Fittings: Classes 150 and 300"".","Screwed malleable iron water fittings shall conform to ASME B16.3, ""Malleable Iron Threaded Fittings: Classes 150 and 300"".",1.0
45375,Concrete pilasters required in Sentence (1) shall be not less than 50 mm by 300 mm.,Concrete pilasters required in Sentence (1) shall be not less than 50 mm by 300 mm.,1.0
44818,"Except as permitted by Sentence (5), where strapping is specified in Table A-1, it shall be,(a) not less than 19 mm by 64 mm, nailed to the underside of floor joists, (b) located not more than 2.1 m from each support or other rows of strapping, and (c) fastened at each end to a sill or header.","Except as permitted by Sentence (5), where strapping is specified in Table A-1, it shall be,(a) not less than 19 mm by 64 mm, nailed to the underside of floor joists, (b) located not more than 2.1 m from each support or other rows of strapping, and (c) fastened at each end to a sill or header.",1.0
52214,This Section applies to portable oxygen systems used for medical purposes in residential occupancies and health care facilities.,This Section applies to portable oxygen systems used for medical purposes in residential occupancies and health care facilities.,1.0
47372,"Except as provided in Sentence (6), if the hazard index of the new major occupancy is greater than the hazard index of the existing major occupancy, the performance level is not reduced where the hazard index of the new major occupancy is not greater than the construction index of the existing building.","Except as provided in Sentence (6), if the hazard index of the new major occupancy is greater than the hazard index of the existing major occupancy, the performance level is not reduced where the hazard index of the new major occupancy is not greater than the construction index of the existing building.",1.0
47933,"Thermally insulated wall, ceiling and floor assemblies shall be constructed with a vapour barrier sufficient to prevent condensation in the wall spaces, floor spaces or attic or roof spaces.","Thermally insulated wall, ceiling and floor assemblies shall be constructed with a vapour barrier sufficient to prevent condensation in the wall spaces, floor spaces or attic or roof spaces.",1.0
48995,"Except as provided in Sentences (1) and (3), the total length of leaching chamber shall not be less than the value determined by the formula,L = QT/200, for a Type I leaching chamber, or L = QT/300, for a Type II leaching chamber, where, L = total length of leaching chamber in metres, Q = the total daily design sanitary sewage flow in litres, and T = the design percolation time. L = QT/300 where, L = total length of leaching chamber in metres, Q = the total daily design sanitary sewage flow in litres, and T = the design percolation time.","Except as provided in Sentences (1) and (3), the total length of leaching chamber shall not be less than the value determined by the formula,L = QT/200, for a Type I leaching chamber, or L = QT/300, for a Type II leaching chamber, where, L = total length of leaching chamber in metres, Q = the total daily design sanitary sewage flow in litres, and T = the design percolation time. L = QT/300 where, L = total length of leaching chamber in metres, Q = the total daily design sanitary sewage flow in litres, and T = the design percolation time.",1.0
44632,The filter medium shall be unsaturated for its entire depth.,The filter medium shall be unsaturated for its entire depth.,1.0
48996,"A buried water service pipe shall be constructed of a single run of pipe with no joints or fittings between the street line or source of supply on the property and the inside face of the building if the water service pipe is less than 15 m from,(a) a private sewage disposal system, or (b) a source of pollution other than a private sewage disposal system.","A buried water service pipe shall be constructed of a single run of pipe with no joints or fittings between the street line or source of supply on the property and the inside face of the building if the water service pipe is less than 15 m from,(a) a private sewage disposal system, or (b) a source of pollution other than a private sewage disposal system.",1.0
48997,"Where the performance level is reduced under Sentence 11.4.2.3.(5), the requirement for the building to be of noncombustible construction or to be constructed in accordance with Article 3.2.2.43A. or 3.2.2.50A. is satisfied if the building is sprinklered.","Where the performance level is reduced under Sentence 11.4.2.3.(5), the requirement for the building to be of noncombustible construction or to be constructed in accordance with Article 3.2.2.43A. or 3.2.2.50A. is satisfied if the building is sprinklered.",1.0
47928,A flashing may be omitted when the masonry at the sill of a wall opening or the top of a wall is protected by an impervious non-jointed masonry coping that conforms to Article 9.20.13.12.,A flashing may be omitted when the masonry at the sill of a wall opening or the top of a wall is protected by an impervious non-jointed masonry coping that conforms to Article 9.20.13.12.,1.0
44909,The use of stainless steel pipe and tube shall conform to Table 7.2.6.15.,The use of stainless steel pipe and tube shall conform to Table 7.2.6.15.,1.0
51328,The water stored in the vessels and pump tanks shall be protected from freezing.,The water stored in the vessels and pump tanks shall be protected from freezing.,1.0
50175,Chases or recesses shall not be cut into walls made with hollow units after the masonry units are in place.,Chases or recesses shall not be cut into walls made with hollow units after the masonry units are in place.,1.0
51327,"Portable extinguishers shall be provided to protect every building, each hazardous occupancy inside the building and each hazardous process or operation located outside.","Portable extinguishers shall be provided to protect every building, each hazardous occupancy inside the building and each hazardous process or operation located outside.",1.0
50176,"Where an existing building system is materially altered or repaired, the performance level of the building after the material alteration or repair shall be at least equal to the performance level of the building prior to the material alteration or repair. (See Appendix A.)","Where an existing building system is materially altered or repaired, the performance level of the building after the material alteration or repair shall be at least equal to the performance level of the building prior to the material alteration or repair. (See Appendix A.)",1.0
49000,Dwarf walls and struts may be used to provide intermediate support to reduce the span for rafters and joists.,Dwarf walls and struts may be used to provide intermediate support to reduce the span for rafters and joists.,1.0
49001,"Steel lintels described in Sentences (2) and (3) shall,(a) have even and level bearing and shall have not less than 150 mm length of bearing at end supports, and (b) bear on masonry, concrete or steel.","Steel lintels described in Sentences (2) and (3) shall,(a) have even and level bearing and shall have not less than 150 mm length of bearing at end supports, and (b) bear on masonry, concrete or steel.",1.0
45373,"Except as permitted in Article 9.10.2.4., in any building containing more than 1 major occupancy in which one major occupancy is located entirely above another, the requirements of Article 9.10.8.1. for each portion of the building containing a major occupancy shall be applied to that portion as if the entire building was of that major occupancy.","Except as permitted in Article 9.10.2.4., in any building containing more than 1 major occupancy in which one major occupancy is located entirely above another, the requirements of Article 9.10.8.1. for each portion of the building containing a major occupancy shall be applied to that portion as if the entire building was of that major occupancy.",1.0
51780,The landlord shall test smoke alarms annually and after every change in tenancy.,The landlord shall test smoke alarms annually and after every change in tenancy.,1.0
46954,"The total length of leaching chamber shall,(a) not be less than 30 m when constructed as a shallow buried trench, or (b) not be less than 40 m for any other absorption trench.","The total length of leaching chamber shall,(a) not be less than 30 m when constructed as a shallow buried trench, or (b) not be less than 40 m for any other absorption trench.",1.0
47925,A drum trap shall not be installed in a drainage system.,A drum trap shall not be installed in a drainage system.,1.0
47926,A Class 2 sewage system shall be designed only for the treatment and disposal of greywater.,A Class 2 sewage system shall be designed only for the treatment and disposal of greywater.,1.0
47927,Outdoor air intakes shall be located so that they are separated a minimum distance from sources of contaminants in accordance with Table 6.2.3.12.,Outdoor air intakes shall be located so that they are separated a minimum distance from sources of contaminants in accordance with Table 6.2.3.12.,1.0
46953,Every exterior exit passageway that has a drop of more than 500 mm on any side shall have guards on the open sides not less than 1 070 mm high.,Every exterior exit passageway that has a drop of more than 500 mm on any side shall have guards on the open sides not less than 1 070 mm high.,1.0
46952,"Stainless steel pipe shall conform to,(a) ASME B36.19M, ""Stainless Steel Pipe"", and (b) ASTM A312 / A312M, ""Seamless, Welded, and Heavily Cold Worked Stainless Steel Pipes"".","Stainless steel pipe shall conform to,(a) ASME B36.19M, ""Stainless Steel Pipe"", and (b) ASTM A312 / A312M, ""Seamless, Welded, and Heavily Cold Worked Stainless Steel Pipes"".",1.0
