Full Index,National Full,National in AB,Similarity
5200,"In an assembly occupancy, the number of spaces designated for wheelchair use within rooms or areas with fixed seats shall conform to Table 3.8.2.3. (See also Article 3.8.3.21. for additional requirements.)","In an assembly occupancy, the number of spaces designated for wheelchair use within rooms or areas with fixed seats shall conform to Table 3.8.2.3. (See also Article 3.8.3.21. for additional requirements.)",1.0
3649,"Portable extinguishers shall be installed in all buildings, except within dwelling units, in conformance with the appropriate provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, the NFC.","Portable extinguishers shall be installed in all buildings, except within dwelling units, in conformance with the appropriate provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, the NFC.",1.0
7158,"Water-closet stalls and enclosures required by Sentence 3.8.2.8.(5) shall be not less than 1 500 mm wide by 1 500 mm deep, have a clear floor space of 1 500 mm by 1 500 mm in front of the accessible stall, be equipped with a door that can be latched from the inside with a mechanism conforming to Clause 3.8.3.8.(1)(b), is aligned with either the transfer space adjacent to the water closet or with a clear floor space not less than 1 500 mm by 1 500 mm within the stall, provides a clear opening not less than 850 mm wide when it is open, is self-closing so that, when at rest, the door is ajar by not more than 50 mm beyond the jamb, swings outward, unless there is sufficient floor space within the stall for the door to swing inward in addition to a clear floor space of at least 800 mm by 1 350 mm (see Note A-3.8.3.11.(1)(c)(v)), where the door swings outward, is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the inside such that its midpoint is 200 mm to 300 mm from the hinged side of the door and 800 mm to 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), and is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the outside such that its midpoint is 120 mm to 220 mm from the latch side and 800 mm to 1 000 mm above the floor, have a water closet located so that the distance between the centre line of the fixture and the wall on one side is 460 mm to 480 mm, be equipped with an L-shaped grab bar that is mounted on the side wall closest to the water closet, has horizontal and vertical components not less than 760 mm long mounted with the horizontal component 750 mm to 850 mm above the floor and the vertical component 150 mm in front of the water closet (see Note A-3.8.3.11.(1)(e)(ii)), and complies with Article 3.7.2.8., be equipped with either one grab bar at least 600 mm long and centred over the water closet, or two grab bars at least 300 mm long and located either side of the flush valve, that conform to Article 3.7.2.8., are mounted on the rear wall, and are mounted at the same height as the grab bar on the side wall or 100 mm above the top of the attached water tank, if applicable, be equipped with a coat hook mounted not more than 1 200 mm above the floor on a side wall and projecting not more than 50 mm from the wall, and be equipped with a toilet paper dispenser mounted on the side wall closest to the water closet such that the bottom of the dispenser is 600 mm to 800 mm above the floor, and the closest edge of the dispenser is 300 mm from the front of the water closet. (See Note A-3.8.3.12.)","Water-closet stalls and enclosures required by Sentence 3.8.2.8.(5) shall be not less than 1 500 mm wide by 1 500 mm deep, have a clear floor space of 1 500 mm by 1 500 mm in front of the accessible stall, be equipped with a door that can be latched from the inside with a mechanism conforming to Clause 3.8.3.8.(1)(b), is aligned with either the transfer space adjacent to the water closet or with a clear floor space not less than 1 500 mm by 1 500 mm within the stall, provides a clear opening not less than 850 mm wide when it is open, is self-closing so that, when at rest, the door is ajar by not more than 50 mm beyond the jamb, swings outward, unless there is sufficient floor space within the stall for the door to swing inward in addition to a clear floor space of at least 800 mm by 1 350 mm (see Note A-3.8.3.11.(1)(c)(v)), where the door swings outward, is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the inside such that its midpoint is 200 mm to 300 mm from the hinged side of the door and 800 mm to 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), and is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the outside such that its midpoint is 120 mm to 220 mm from the latch side and 800 mm to 1 000 mm above the floor, have a water closet located so that the distance between the centre line of the fixture and the wall on one side is 460 mm to 480 mm, be equipped with an L-shaped grab bar that is mounted on the side wall closest to the water closet, has horizontal and vertical components not less than 760 mm long mounted with the horizontal component 750 mm to 850 mm above the floor and the vertical component 150 mm in front of the water closet (see Note A-3.8.3.11.(1)(e)(ii)), and complies with Article 3.7.2.8., be equipped with either one grab bar at least 600 mm long and centred over the water closet, or two grab bars at least 300 mm long and located either side of the flush valve, that conform to Article 3.7.2.8., are mounted on the rear wall, and are mounted at the same height as the grab bar on the side wall or 100 mm above the top of the attached water tank, if applicable, be equipped with a coat hook mounted not more than 1 200 mm above the floor on a side wall and projecting not more than 50 mm from the wall, and be equipped with a toilet paper dispenser mounted on the side wall closest to the water closet such that the bottom of the dispenser is 600 mm to 800 mm above the floor, and the closest edge of the dispenser is 300 mm from the front of the water closet.",0.996078431372549
5424,"Power door operators required by Sentence 3.8.2.7.(1) shall activate automatically or through the use of controls that are located in a barrier-free path of travel, are marked with the International Symbol of Access, are located clear of the door swing and no more than 1 500 mm from that door swing, comply with subclause 3.8.3.8.(1)(a)(ii), are operable from a height between 150 mm and 300 mm as well as between 900 mm and 1 100 mm above the floor, and are operable by touching or approaching any part of their surface with a fist, arm or foot, and unless equipped with safety sensors, fully open the door in not less than 3 s, and require a force not more than 65 N to stop movement of the door. (See Note A-3.8.3.6.(6) and (7).)","Power door operators required by Sentence 3.8.2.7.(1) shall activate automatically or through the use of controls that are located in a barrier-free path of travel, are marked with the International Symbol of Access, are located clear of the door swing and no more than 1 500 mm from that door swing, comply with Subclause 3.8.3.8.(1)(a)(ii), are operable from a height between 150 mm and 300 mm as well as between 900 mm and 1 100 mm above the floor, and are operable by touching or approaching any part of their surface with a fist, arm or foot, and unless equipped with safety sensors, fully open the door in not less than 3 s, and require a force not more than 65 N to stop movement of the door. (See Note A-3.8.3.6.(6) and (7).)",0.9924812030075187
3542,"Except as permitted by Sentence 3.8.2.3.(2), a barrier-free path of travel from the entrances required by Sentences 3.8.2.2.(1)and 3.8.2.2.(2) to be barrier-free shall be provided throughout the entrance storey and within all other normally occupied floor areas served by a passenger elevator, escalator, inclined moving walk, or other platform-equipped passenger-elevating device. (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.) (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.)","Except as permitted by Sentence 3.8.2.3.(2), a barrier-free path of travel from the entrances required by Sentences 3.8.2.2.(1) and 3.8.2.2.(2) to be barrier-free shall be provided throughout the entrance storey and within all other normally occupied floor areas served by a passenger elevator, escalator, inclined moving walk, or other platform-equipped passenger-elevating device. (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.)",0.98989898989899
3829,"A barrier-free path of travel for persons in wheelchairs is not required to service rooms, to elevator machine rooms, to janitor’s rooms, to service spaces, to crawl spaces, to attic or roof spaces, to floor levels not served by a passenger elevator, a platform-equipped passenger-elevating device, an escalator, or an inclined moving walk, to high-hazard industrial occupancies, within portions of a floor area with fixed seats in an assembly occupancy where those portions are not part of the barrier-free path of travel to spaces designated for wheelchair use, within floor levels of a suite of residential occupancy that are not at the same level as the entry level to the suite, within a suite of residential occupancy that has not been designated by an authority having jurisdiction to be accessible for use by persons with physical disabilities, or within those parts of a floor area that are not at the same level as the entry level, provided amenities and uses provided on any raised or sunken level are accessible on the entry level by means of a barrier-free path of travel.","A barrier-free path of travel for persons in wheelchairs is not required to service rooms, to elevator machine rooms, to janitor s rooms, to service spaces, to crawl spaces, to attic or roof spaces, to floor levels not served by a passenger elevator, a platform-equipped passenger-elevating device, an escalator, or an inclined moving walk, to high-hazard industrial occupancies, within portions of a floor area with fixed seats in an assembly occupancy where those portions are not part of the barrier-free path of travel to spaces designated for wheelchair use, within floor levels of a suite of residential occupancy that are not at the same level as the entry level to the suite, within a suite of residential occupancy that has not been designated by an authority having jurisdiction to be accessible for use by persons with physical disabilities, or within those parts of a floor area that are not at the same level as the entry level, provided amenities and uses provided on any raised or sunken level are accessible on the entry level by means of a barrier-free path of travel.",0.989010989010989
10906,"Where a standpipe system is to be installed in portions of a building under construction or alteration that are not occupied, the following shall apply: a permanent or temporary standpipe system is permitted in accordance with Clauses 5.6.1.6.(2)(b)and 5.6.1.6.(2)(c), the standpipe system shall be provided with conspicuously marked and readily accessible fire department connections on the outside of the building at street level and shall have at least one hose outlet at each floor, the pipe size, hose valves and water supply shall conform to Subsection 3.2.5. of Division B of the NBC, the standpipe system shall, as a minimum, be securely supported and restrained on alternate floors, at least one hose valve for attaching fire department hose shall be provided at each intermediate landing or floor level in the exit stairway, valves shall be kept closed at all times and guarded against mechanical damage, the standpipe shall be not more than one floor below the highest forms, staging, and similar combustible elements at all times, and temporary standpipe systems shall remain in service until the permanent standpipe installation is complete.","Where a standpipe system is to be installed in portions of a building under construction or alteration that are not occupied, the following shall apply: a permanent or temporary standpipe system is permitted in accordance with Clauses 5.6.1.6.(2)and 5.6.1.6.(2), the standpipe system shall be provided with conspicuously marked and readily accessible fire department connections on the outside of the building at street level and shall have at least one hose outlet at each floor, the pipe size, hose valves and water supply shall conform to Subsection 3.2.5. of Division B of the NBC, the standpipe system shall, as a minimum, be securely supported and restrained on alternate floors, at least one hose valve for attaching fire department hose shall be provided at each intermediate landing or floor level in the exit stairway, valves shall be kept closed at all times and guarded against mechanical damage, the standpipe shall be not more than one floor below the highest forms, staging, and similar combustible elements at all times, and temporary standpipe systems shall remain in service until the permanent standpipe installation is complete.",0.988950276243094
1151,"Where the construction may constitute a hazard to the public, work shall not commence on the construction, alteration or repair of a building until a covered way has been provided as described in Article 8.2.1.2. to protect the public, except where the work is done within a solid enclosure, the building is at a distance of 2 m or more from a public way used by pedestrians, or site conditions warrant a distance greater than provided in Clause 8.2.1.1.(1)(b).","Where the construction may constitute a hazard to the public, work shall not commence on the construction, alteration or repair of a building until a covered way has been provided as described in Article 8.2.1.2. to protect the public, except where the work is done within a solid enclosure, the building is at a distance of 2 m or more from a public way used by pedestrians, or site conditions warrant a distance greater than provided in Clause (b).",0.9873417721518988
4998,"Bathtubs required by Sentence 3.8.2.8.(11) shall be located in a room with a clear floor space not less than 1 500 mm in diameter, be not less than 1 500 mm long, have a clear floor space not less than 750 mm wide adjacent to its entire length, be capable of being accessed along its full length with no tracks mounted on its rim, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), and are located on the centre line or between the centre line of the bathtub and the exterior edge of the bathtub rim, at a maximum height of 450 mm above the rim, have three grab bars that conform to Sentence 3.7.2.8.(1), that are not less than 1 200 mm long, two of which are located vertically at each end of the bathtub, set 80 mm to 120 mm in from the outside edge of the bathtub, with their lower end 180 mm to 280 mm above the bathtub rim, and one of which is located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, have a slip-resistant bottom surface, and be equipped with a hand-held shower head with not less than 1 800 mm of flexible hose that can be used in a fixed position at a height of 1 200 mm and 2 030 mm. (See Note A-3.8.3.18.)","Bathtubs required by Sentence 3.8.2.8.(11) shall be located in a room with a clear floor space not less than 1 500 mm in diameter, be not less than 1 500 mm long, have a clear floor space not less than 750 mm wide adjacent to its entire length, be capable of being accessed along its full length with no tracks mounted on its rim, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), and are located on the centre line or between the centre line of the bathtub and the exterior edge of the bathtub rim, at a maximum height of 450 mm above the rim, have three grab bars that conform to Sentence 3.7.2.8.(1), that are not less than 1 200 mm long, two of which are located vertically at each end of the bathtub, set 80 mm to 120 mm in from the outside edge of the bathtub, with their lower end 180 mm to 280 mm above the bathtub rim, and one of which is located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, have a slip-resistant bottom surface, and be equipped with a hand-held shower head with not less than 1 800 mm of flexible hose that can be used in a fixed position at a height of 1 200 mm and 2 030 mm.",0.9870689655172413
4459,"Where a bathtub is installed in a hotel or a motel, it shall have a clear floor space at least 750 mm wide along its length, except that a water closet or a lavatory is permitted to encroach this space, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), have a slip-resistant bottom surface, have grab bars that conform to Sentence 3.7.2.8.(1), are not less than 1 200 mm long located vertically at the end of the bathtub that is adjacent to the clear floor space, with the lower end between 180 mm and 280 mm above the bathtub rim, and are not less than 1 200 mm long located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, and be capable of being accessed along its full length with no tracks mounted on the bathtub rim.","Where a bathtub is installed in a hotel or a motel, it shall have a clear floor space at least 750 mm wide along its length, except that a water closet or a lavatory is permitted to encroach this space, have faucets and other controls that conform to Sentence 3.8.3.8.(1), have a slip-resistant bottom surface, have grab bars that conform to Sentence 3.7.2.8.(1), are not less than 1 200 mm long located vertically at the end of the bathtub that is adjacent to the clear floor space, with the lower end between 180 mm and 280 mm above the bathtub rim, and are not less than 1 200 mm long located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, and be capable of being accessed along its full length with no tracks mounted on the bathtub rim.",0.9863013698630136
11021,"The maximum permitted height of any individual storage area shall be determined to ensure the physical stability of the stored products under normal circumstances as well as under fire conditions, be determined according to its base area and shape, and the type of packaging, combustibility and chemical reactivity of the stored products, and not exceed the limits specified in Subsections 3.3.3. and 3.3.4.","The maximum permitted height of any individual storage area shall be determined to ensure the physical stability of the stored products under normal circumstances as well as under fire conditions, be determined according to its base area and shape, and the type of packaging, combustibility and chemical reactivity of the stored products, and not exceed the limits specified in Subsections 3.3.3., 3.3.4.",0.9841269841269841
11189,"Fixed dispensers for Class II or IIIA liquids are permitted to be installed inside a building when the building is not open to the public, the dispensers are located on the first storey, drainage is provided, and ventilation is provided in conformance with Subsection 4.1.7. and with the requirements for storage garages in Subsection 6.3.1. of Division B of the NBC.","Fixed dispensers for Class II or IIIA liquids are permitted to be installed inside a building when the building is not open to the public, the dispensers are located on the first storey, drainage is provided, and ventilation is provided in conformance with part 4. and with the requirements for storage garages in Subsection 6.3.1. of Division B of the NBC.",0.9836065573770492
10112,"In buildings within the scope of Subsection 3.2.6. of Division B of the NBC, the fire safety plan shall, in addition to the requirements of Sentence 2.8.2.1.(1), include the training of supervisory staff in the use of the voice communication system, the procedures for the use of elevators, the action to be taken by supervisory staff in initiating any smoke control or other fire emergency systems installed in a building in the event of fire until the fire department arrives, instructions to the supervisory staff and fire department for the operation of the systems referred to in Clause 2.8.2.4.(1)(c), and the procedures established to facilitate fire department access to the building and fire location within the building.","In buildings within the scope of Subsection 3.2.6. of Division B of the NBC, the fire safety plan shall, in addition to the requirements of Sentence 2.8.2.1.(1), include the training of supervisory staff in the use of the voice communication system, the procedures for the use of elevators, the action to be taken by supervisory staff in initiating any smoke control or other fire emergency systems installed in a building in the event of fire until the fire department arrives, instructions to the supervisory staff and fire department for the operation of the systems referred to in Sentence 2.8.2.4.(1), and the procedures established to facilitate fire department access to the building and fire location within the building.",0.9829059829059829
12252,"During construction and in addition to the means of access required by Sentences 5.6.1.4.(2)and 5.6.1.4.(3), at least one stairway shall be provided that consists of treads and risers complying with the dimensional requirements of Article 3.4.6.8. of Division B of the NBC, is equipped with one handrail conforming to Sentences 3.4.6.5.(5), (6), (7), (11), (13), and (14) of Division B of the NBC, is not less than 900 mm wide, and is equipped with guards that are not less than 920 mm high when measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings, and not less than 1070 mm high around landings.","During construction and in addition to the means of access required by Sentences 5.6.1.4.(2) and 5.6.1.4.(3), at least one stairway shall be provided that consists of treads and risers complying with the dimensional requirements of Article 3.4.6.8. of Division B of the NBC, is equipped with one handrail conforming to Sentences 3.4.6.5.(5), (6), (7), (11), (13), and (14) of Division B of the NBC, is not less than 900 mm wide, and is equipped with guards that are not less than 920 mm high when measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings, and not less than 1070 mm high around landings.",0.9824561403508771
3678,"Except as provided in Sentences 6.3.1.4.(4)and 6.3.1.4.(6), an enclosed storage garage for five or more motor vehicles shall have a mechanical ventilation system designed to limit the concentration of carbon monoxide to not more than 100 parts per million parts of air, limit the concentration of nitrogen dioxide to not more than 3 parts per million parts of air, where the majority of the vehicles stored are powered by diesel-fuelled engines, or provide, during operating hours, a continuous supply of outdoor air at a rate of not less than 3.9 L/s for each square metre of floor area (see Article 3.3.1.20.). (See also Sentence 3.3.5.4.(4).) (See Note A-6.3.1.4.(1).)","Except as provided in Sentences 6.3.1.4.(4) and 6.3.1.4.(6), an enclosed storage garage for five or more motor vehicles shall have a mechanical ventilation system designed to limit the concentration of carbon monoxide to not more than 100 parts per million parts of air, limit the concentration of nitrogen dioxide to not more than 3 parts per million parts of air, where the majority of the vehicles stored are powered by diesel-fuelled engines, or provide, during operating hours, a continuous supply of outdoor air at a rate of not less than 3.9 L/s for each square metre of floor area (see Article 3.3.1.20.). (See also Sentence 3.3.5.4.(4).) (See Note A-6.3.1.4.(1).)",0.981651376146789
13390,"Any fire emergency system required by Subsection 3.2.6. of Division B of the NBC that does not conform to a specific measure outlined in Commentary C of the CCBFC NRCC 40383 User's Guide – NBC 1995 Fire Protection, Occupant Safety and Accessibility (Part 3)shall be tested to ensure that it operates as intended.","Any fire emergency system required by Subsection 3.2.6. of Division B of the NBC that does not conform to a specific measure outlined in Commentary C of the CCBFC NRCC 40383 User's Guide NBC 1995 Fire Protection, Occupant Safety and Accessibility (Part 3)shall be tested to ensure that it operates as intended.",0.9811320754716981
5425,"A subsurface investigation, including groundwater conditions, shall be carried out by or under the direction of a professional engineer having knowledge and experience in planning and executing such investigations to a degree appropriate for the building and its use, the ground and the surrounding site conditions. (See Note A-4.2.2.1.(1).) Note A-4.2.2.1.(1)","A subsurface investigation, including groundwater conditions, shall be carried out by or under the direction of a professional engineer having knowledge and experience in planning and executing such investigations to a degree appropriate for the building and its use, the ground and the surrounding site conditions. (See Note A-4.2.2.1.(1).)",0.9803921568627451
6207,"Except as provided in Sentences 3.8.2.7.(2)and 3.8.2.7.(3), every door that provides a barrier-free path of travel through an entrance referred to in Article 3.8.2.2., including the interior doors of a vestibule where provided, shall be equipped with a power door operator that complies with Subsection 3.8.3. and allows persons to activate the opening of the door in the intended direction of travel, where the entrance serves a hotel, a building of Group B, Division 2 major occupancy, or a building of Group A, Group B, Division 3, Group D or E major occupancy more than 500 m2 in building area.","Except as provided in Sentences 3.8.2.7.(2) and 3.8.2.7.(3), every door that provides a barrier-free path of travel through an entrance referred to in Article 3.8.2.2., including the interior doors of a vestibule where provided, shall be equipped with a power door operator that complies with Subsection 3.8.3. and allows persons to activate the opening of the door in the intended direction of travel, where the entrance serves a hotel, a building of Group B, Division 2 major occupancy, or a building of Group A, Group B, Division 3, Group D or E major occupancy more than 500 m2 in building area.",0.9801980198019802
3550,"Where deep foundation units are load tested, as required in Clause 4.2.4.1.(1)(c), the determination of the number and type of load test and the interpretation of the results shall be carried out by a professional engineer especially qualified in this field of work. (See Note A-4.2.7.2.(2).) Note A-4.2.7.2.(2)","Where deep foundation units are load tested, as required in Clause 4.2.4.1.(1)(c), the determination of the number and type of load test and the interpretation of the results shall be carried out by a professional engineer especially qualified in this field of work. (See Note A-4.2.7.2.(2).)",0.9791666666666666
529,"Counter flashing installed over the intersection referred to in Sentence 9.26.4.6.(1) shall be embedded not less than 25 mm in the masonry, and shall be of sufficient length to extend down not less than 150 mm, lapping the membrane on the masonry not less than 100 mm.","Counter flashing installed over the intersection referred to in Sentence (1) shall be embedded not less than 25 mm in the masonry, and shall be of sufficient length to extend down not less than 150 mm, lapping the membrane on the masonry not less than 100 mm.",0.9787234042553191
7659,"The building referred to in Sentence 3.2.2.52.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and except as permitted by Sentences 3.2.2.52.(3)and 3.2.2.52.(4), floor assemblies shall be fire separations with a fire-resistance rating not less than 1 h, mezzanines shall have a fire-resistance rating not less than 1 h, roof assemblies shall have a fire-resistance rating not less than 1 h, and loadbearing walls, columns, and arches shall have a fire-resistance rating not less than that required for the supported assembly.","The building referred to in Sentence 3.2.2.52.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and except as permitted by Sentences 3.2.2.52.(3) and 3.2.2.52.(4), floor assemblies shall be fire separations with a fire-resistance rating not less than 1 h, mezzanines shall have a fire-resistance rating not less than 1 h, roof assemblies shall have a fire-resistance rating not less than 1 h, and loadbearing walls, columns, and arches shall have a fire-resistance rating not less than that required for the supported assembly.",0.9775280898876404
1510,"Heating and air-conditioning systems, including ducting, and mechanical heating and refrigeration equipment, shall be designed, constructed and installed to conform to the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with good practice such as that described in the ASHRAE Handbooks and Standards, the HRAI SAR-G1 HRAI Digest the CHC Handbook on Hydronic Heating Systems, the Hydronics Institute Manuals and the SMACNA Manuals. (See also Subsection 9.32.3. for the design of systems that also provide ventilation.)","Heating and air-conditioning systems, including ducting, and mechanical heating and refrigeration equipment, shall be designed, constructed and installed to conform to the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with good practice such as that described in the ASHRAE Handbooks and Standards, the HRAI SAR-G1 HRAI Digest the CHC Handbook on Hydronic Heating Systems, the Hydronics Institute Manuals and the SMACNA Manuals. (See also part 9. for the design of systems that also provide ventilation.)",0.9764705882352941
4918,"Hose connections for 64 mm diam hose are not required in a building that is not more than 25 m high, measured between grade and the ceiling level of the top storey and in which an automatic sprinkler system is not installed.","Hose connections for 65 mm diam hose are not required in a building that is not more than 25 m high, measured between grade and the ceiling level of the top storey and in which an automatic sprinkler system is not installed.",0.9761904761904762
2455,"The building referred to in Sentence 3.2.2.53.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and except as permitted by Sentences 3.2.2.53.(3)and 3.2.2.53.(4), floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, mezzanines shall have, if of combustible construction, a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.","The building referred to in Sentence 3.2.2.53.(1) is permitted to be of combustible construction or noncombustible construction used singly or in combination, and except as permitted by Sentences 3.2.2.53.(3) and 3.2.2.53.(4), floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, mezzanines shall have, if of combustible construction, a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.",0.9753086419753086
5193,"A building classified as Group F, Division 3 is permitted to conform to Sentence 3.2.2.83.(2) provided it is not more than 4 storeys in building height, and it has a building area not more than the value in Table 3.2.2.83.","A building classified as Group F, Division 3 is permitted to conform to Sentence 3.2.2.83.(2) provided it is not more than 3 storeys in building height, and it has a building area not more than the value in Table 3.2.2.83.",0.975
8236,"Except as provided in Sentences 9.10.14.5.(9)to 9.10.14.5.(12), Sentence 9.10.14.5.(6) shall not apply to buildings containing 1 or 2 dwelling units only, and detached garages or accessory buildings, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property. (See Note A-9.10.14.5.(7).)","Except as provided in Sentences 9.10.14.5.(9) to 9.10.14.5.(12), Sentence 9.10.14.5.(6) shall not apply to buildings containing 1 or 2 dwelling units only, and detached garages or accessory buildings, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property. (See Note A-9.10.14.5.(7).)",0.9746835443037974
6348,"Except as provided in Sentences 9.10.15.5.(8)to 9.10.15.5.(11), Sentence 9.10.15.5.(5) shall not apply to buildings containing 1 or 2 dwelling units only, and detached garages or accessory buildings, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property. (See Note A-9.10.14.5.(7).)","Except as provided in Sentences 9.10.15.5.(8) to 9.10.15.5.(11), Sentence 9.10.15.5.(5) shall not apply to buildings containing 1 or 2 dwelling units only, and detached garages or accessory buildings, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property. (See Note A-9.10.14.5.(7).)",0.9746835443037974
12815,"Except as provided in Sentences 3.2.8.2.(2)and 3.2.8.2.(3), cylinders of dangerous goods classified as flammable gases stored indoors shall be located in a room that is separated from the remainder of the building in conformance with Sentence 3.3.6.3.(1) of Division B of the NBC, is located on an exterior wall of the building, can be entered from the exterior, and whose closures leading to the interior of the building are in conformance with Sentence 3.3.6.3.(1) of Division B of the NBC, is designed to prevent critical structural and mechanical damage from an internal explosion in conformance with good engineering practice such as that described in NFPA 68-2013 Explosion Protection by Deflagration Venting (see Note A-3.2.8.2.(1)(d)), is provided with natural or mechanical ventilation in conformance with Subsection 4.1.7., does not contain fuel-fired appliances or high-temperature heating elements, and is used for no purpose other than the storage of dangerous goods classified as compressed gases.","Except as provided in Sentences 3.2.8.2.(2) and 3.2.8.2.(3), cylinders of dangerous goods classified as flammable gases stored indoors shall be located in a room that is separated from the remainder of the building in conformance with Sentence 3.3.6.3.(1) of Division B of the NBC, is located on an exterior wall of the building, can be entered from the exterior, and whose closures leading to the interior of the building are in conformance with Sentence 3.3.6.3.(1) of Division B of the NBC, is designed to prevent critical structural and mechanical damage from an internal explosion in conformance with good engineering practice such as that described in NFPA 68-2013 Explosion Protection by Deflagration Venting (see Note A-3.2.8.2.(1)(d)), is provided with natural or mechanical ventilation in conformance with part 4., does not contain fuel-fired appliances or high-temperature heating elements, and is used for no purpose other than the storage of dangerous goods classified as compressed gases.",0.9738562091503268
8219,Counter flashing required in Sentence 9.26.4.4.(1) shall be embedded not less than 25 mm in the masonry and shall extend not less than 150 mm down the masonry and lap the lower flashing not less than 100 mm.,Counter flashing required in Sentence (1) shall be embedded not less than 25 mm in the masonry and shall extend not less than 150 mm down the masonry and lap the lower flashing not less than 100 mm.,0.9736842105263158
10537,"This Part shall not apply to the transportation of flammable liquids or combustible liquids under TC SOR/2016-95 Transportation of Dangerous Goods Regulations (TDGR) appliances and their ancillary equipment within the scope of CSA B139-09 Installation Code for Oil-Burning Equipment (see Note A-4.1.1.1.(3)(b)), the storage of flammable liquids or combustible liquids on farms for individual farm use and on isolated construction projects, or the storage of aerosol products covered under Subsection 3.2.5.","This Part shall not apply to the transportation of flammable liquids or combustible liquids under TC SOR/2016-95 Transportation of Dangerous Goods Regulations (TDGR) appliances and their ancillary equipment within the scope of CSA B139-09 Installation Code for Oil-Burning Equipment (see Note A-4.1.1.1.(3)(b)), the storage of flammable liquids or combustible liquids on farms for individual farm use and on isolated construction projects, or the storage of aerosol products covered under part 3.",0.971830985915493
3082,Flashing along the slopes of a roof described in Sentence 9.26.4.4.(1) shall be stepped so that there is not less than a 75 mm head lap in both the lower flashing and counter flashing.,Flashing along the slopes of a roof described in Sentence (1) shall be stepped so that there is not less than a 75 mm head lap in both the lower flashing and counter flashing.,0.9705882352941176
1338,"The power-ventilated enclosure required by Sentence 5.5.4.2.(1) of Division B of the NFC and its exhaust duct system shall except as provided in Sentences 6.3.4.4.(2)and 6.3.4.4.(3), be constructed of noncombustible materials compatible with and chemically resistant to the dangerous goods vapours and particles being exhausted, and be provided with access doors to permit inspection and maintenance of the fan assembly and exhaust ducts.","The power-ventilated enclosure required by Sentence 5.5.4.2.(1) of Division B of the NFC and its exhaust duct system shall except as provided in Sentences 6.3.4.4.(2) and 6.3.4.4.(3), be constructed of noncombustible materials compatible with and chemically resistant to the dangerous goods vapours and particles being exhausted, and be provided with access doors to permit inspection and maintenance of the fan assembly and exhaust ducts.",0.96875
