Full Index,National Full,National in BC,Similarity
7158,"Water-closet stalls and enclosures required by Sentence 3.8.2.8.(5) shall be not less than 1 500 mm wide by 1 500 mm deep, have a clear floor space of 1 500 mm by 1 500 mm in front of the accessible stall, be equipped with a door that can be latched from the inside with a mechanism conforming to Clause 3.8.3.8.(1)(b), is aligned with either the transfer space adjacent to the water closet or with a clear floor space not less than 1 500 mm by 1 500 mm within the stall, provides a clear opening not less than 850 mm wide when it is open, is self-closing so that, when at rest, the door is ajar by not more than 50 mm beyond the jamb, swings outward, unless there is sufficient floor space within the stall for the door to swing inward in addition to a clear floor space of at least 800 mm by 1 350 mm (see Note A-3.8.3.11.(1)(c)(v)), where the door swings outward, is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the inside such that its midpoint is 200 mm to 300 mm from the hinged side of the door and 800 mm to 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), and is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the outside such that its midpoint is 120 mm to 220 mm from the latch side and 800 mm to 1 000 mm above the floor, have a water closet located so that the distance between the centre line of the fixture and the wall on one side is 460 mm to 480 mm, be equipped with an L-shaped grab bar that is mounted on the side wall closest to the water closet, has horizontal and vertical components not less than 760 mm long mounted with the horizontal component 750 mm to 850 mm above the floor and the vertical component 150 mm in front of the water closet (see Note A-3.8.3.11.(1)(e)(ii)), and complies with Article 3.7.2.8., be equipped with either one grab bar at least 600 mm long and centred over the water closet, or two grab bars at least 300 mm long and located either side of the flush valve, that conform to Article 3.7.2.8., are mounted on the rear wall, and are mounted at the same height as the grab bar on the side wall or 100 mm above the top of the attached water tank, if applicable, be equipped with a coat hook mounted not more than 1 200 mm above the floor on a side wall and projecting not more than 50 mm from the wall, and be equipped with a toilet paper dispenser mounted on the side wall closest to the water closet such that the bottom of the dispenser is 600 mm to 800 mm above the floor, and the closest edge of the dispenser is 300 mm from the front of the water closet. (See Note A-3.8.3.12.)","Water-closet stalls and enclosures required by Sentence 3.8.2.8.(5) shall be not less than 1 500 mm wide by 1 500 mm deep, have a clear floor space of 1 500 mm by 1 500 mm in front of the accessible stall, be equipped with a door that can be latched from the inside with a mechanism conforming to Sentence 3.8.3.8.(1), is aligned with either the transfer space adjacent to the water closet or with a clear floor space not less than 1 500 mm by 1 500 mm within the stall, provides a clear opening not less than 850 mm wide when it is open, is self-closing so that, when at rest, the door is ajar by not more than 50 mm beyond the jamb, swings outward, unless there is sufficient floor space within the stall for the door to swing inward in addition to a clear floor space of at least 800 mm by 1 350 mm (see Note A-3.8.3.11.(1)(c)(v)), where the door swings outward, is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the inside such that its midpoint is 200 mm to 300 mm from the hinged side of the door and 800 mm to 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), and is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the outside such that its midpoint is 120 mm to 220 mm from the latch side and 800 mm to 1 000 mm above the floor, have a water closet located so that the distance between the centre line of the fixture and the wall on one side is 460 mm to 480 mm, be equipped with an L-shaped grab bar that is mounted on the side wall closest to the water closet, has horizontal and vertical components not less than 760 mm long mounted with the horizontal component 750 mm to 850 mm above the floor and the vertical component 150 mm in front of the water closet (see Note A-3.8.3.11.(1)(e)(ii)), and complies with Article 3.7.2.8., be equipped with either one grab bar at least 600 mm long and centred over the water closet, or two grab bars at least 300 mm long and located either side of the flush valve, that conform to Article 3.7.2.8., are mounted on the rear wall, and are mounted at the same height as the grab bar on the side wall or 100 mm above the top of the attached water tank, if applicable, be equipped with a coat hook mounted not more than 1 200 mm above the floor on a side wall and projecting not more than 50 mm from the wall, and be equipped with a toilet paper dispenser mounted on the side wall closest to the water closet such that the bottom of the dispenser is 600 mm to 800 mm above the floor, and the closest edge of the dispenser is 300 mm from the front of the water closet.",0.9921568627450981
2452,"Except as provided in Sentence 9.10.15.5.(4), where the limiting distance is equal to or greater than 0.6 m and less than 1.2 m, the exposing building face and any exterior wall located above the exposing building face that encloses an attic or roof space shall have a fire-resistance rating of not less than 45 min, and the cladding shall be metal or noncombustible cladding installed in accordance with Section 9.20., Subsection 9.27.11. or Section 9.28. (see Note A-9.10.14.5.(1)), the cladding shall conform to Subsection 9.27.6., 9.27.7., 9.27.8., 9.27.9., or 9.27.10., be installed without furring members, or on furring not more than 25 mm thick, over gypsum sheathing at least 12.7 mm thick or over masonry, and after conditioning in conformance with ASTM D 2898-10 Accelerated Weathering of Fire-Retardant-Treated Wood for Fire Testing have a flame-spread rating not greater than 25 when tested in accordance with Sentence 3.1.12.1.(2), the cladding shall conform to Subsection 9.27.12., be installed with or without furring members over gypsum sheathing at least 12.7 mm thick or over masonry, have a flame-spread rating not greater than 25 when tested in accordance with Sentence 3.1.12.1.(2), and not exceed 2 mm in thickness exclusive of fasteners, joints and local reinforcements, or the wall assembly shall comply with Clause 3.1.5.5.(1)(b) when tested in conformance with ULC CAN/ULC-S134-13 Fire Test of Exterior Wall Assemblies","Except as provided in Sentence 9.10.15.5.(4), where the limiting distance is equal to or greater than 0.6 m and less than 1.2 m, the exposing building face and any exterior wall located above the exposing building face that encloses an attic or roof space shall have a fire-resistance rating of not less than 45 min, and the cladding shall be metal or noncombustible cladding installed in accordance with Section 9.20., Subsection 9.27.11. or Section 9.28. (see Note A-9.10.14.5.(1)), the cladding shall conform to Subsection 9.27.6., 9.27.7., 9.27.8., 9.27.9, , or 9.27.10., be installed without furring members, or on furring not more than 25 mm thick, over gypsum sheathing at least 12.7 mm thick or over masonry, and after conditioning in conformance with ASTM D 2898-10 Accelerated Weathering of Fire-Retardant-Treated Wood for Fire Testing have a flame-spread rating not greater than 25 when tested in accordance with Sentence 3.1.12.1.(2), the cladding shall conform to Subsection 9.27.12., be installed with or without furring members over gypsum sheathing at least 12.7 mm thick or over masonry, have a flame-spread rating not greater than 25 when tested in accordance with Sentence 3.1.12.1.(2), and not exceed 2 mm in thickness exclusive of fasteners, joints and local reinforcements, or the wall assembly shall comply with Clause 3.1.5.5.(1)(b) when tested in conformance with ULC CAN/ULC-S134-13 Fire Test of Exterior Wall Assemblies",0.9910714285714286
3542,"Except as permitted by Sentence 3.8.2.3.(2), a barrier-free path of travel from the entrances required by Sentences 3.8.2.2.(1)and 3.8.2.2.(2) to be barrier-free shall be provided throughout the entrance storey and within all other normally occupied floor areas served by a passenger elevator, escalator, inclined moving walk, or other platform-equipped passenger-elevating device. (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.) (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.)","Except as permitted by Sentence 3.8.2.3.(2), a barrier-free path of travel from the entrances required by Sentences 3.8.2.2.(1) and 3.8.2.2.(2) to be barrier-free shall be provided throughout the entrance storey and within all other normally occupied floor areas served by a passenger elevator, escalator, inclined moving walk, or other platform-equipped passenger-elevating device. (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.)",0.98989898989899
3829,"A barrier-free path of travel for persons in wheelchairs is not required to service rooms, to elevator machine rooms, to janitor’s rooms, to service spaces, to crawl spaces, to attic or roof spaces, to floor levels not served by a passenger elevator, a platform-equipped passenger-elevating device, an escalator, or an inclined moving walk, to high-hazard industrial occupancies, within portions of a floor area with fixed seats in an assembly occupancy where those portions are not part of the barrier-free path of travel to spaces designated for wheelchair use, within floor levels of a suite of residential occupancy that are not at the same level as the entry level to the suite, within a suite of residential occupancy that has not been designated by an authority having jurisdiction to be accessible for use by persons with physical disabilities, or within those parts of a floor area that are not at the same level as the entry level, provided amenities and uses provided on any raised or sunken level are accessible on the entry level by means of a barrier-free path of travel.","A barrier-free path of travel for persons in wheelchairs is not required to service rooms, to elevator machine rooms, to janitor s rooms, to service spaces, to crawl spaces, to attic or roof spaces, to floor levels not served by a passenger elevator, a platform-equipped passenger-elevating device, an escalator, or an inclined moving walk, to high-hazard industrial occupancies, within portions of a floor area with fixed seats in an assembly occupancy where those portions are not part of the barrier-free path of travel to spaces designated for wheelchair use, within floor levels of a suite of residential occupancy that are not at the same level as the entry level to the suite, within a suite of residential occupancy that has not been designated by an authority having jurisdiction to be accessible for use by persons with physical disabilities, or within those parts of a floor area that are not at the same level as the entry level, provided amenities and uses provided on any raised or sunken level are accessible on the entry level by means of a barrier-free path of travel.",0.989010989010989
10906,"Where a standpipe system is to be installed in portions of a building under construction or alteration that are not occupied, the following shall apply: a permanent or temporary standpipe system is permitted in accordance with Clauses 5.6.1.6.(2)(b)and 5.6.1.6.(2)(c), the standpipe system shall be provided with conspicuously marked and readily accessible fire department connections on the outside of the building at street level and shall have at least one hose outlet at each floor, the pipe size, hose valves and water supply shall conform to Subsection 3.2.5. of Division B of the NBC, the standpipe system shall, as a minimum, be securely supported and restrained on alternate floors, at least one hose valve for attaching fire department hose shall be provided at each intermediate landing or floor level in the exit stairway, valves shall be kept closed at all times and guarded against mechanical damage, the standpipe shall be not more than one floor below the highest forms, staging, and similar combustible elements at all times, and temporary standpipe systems shall remain in service until the permanent standpipe installation is complete.","Where a standpipe system is to be installed in portions of a building under construction or alteration that are not occupied, the following shall apply: a permanent or temporary standpipe system is permitted in accordance with Clauses 5.6.1.6.(2)and 5.6.1.6.(2), the standpipe system shall be provided with conspicuously marked and readily accessible fire department connections on the outside of the building at street level and shall have at least one hose outlet at each floor, the pipe size, hose valves and water supply shall conform to Subsection 3.2.5. of Division B of the NBC, the standpipe system shall, as a minimum, be securely supported and restrained on alternate floors, at least one hose valve for attaching fire department hose shall be provided at each intermediate landing or floor level in the exit stairway, valves shall be kept closed at all times and guarded against mechanical damage, the standpipe shall be not more than one floor below the highest forms, staging, and similar combustible elements at all times, and temporary standpipe systems shall remain in service until the permanent standpipe installation is complete.",0.988950276243094
6314,"A washroom need not conform to the requirements of Sentence 3.8.2.8.(1) provided it is located within a suite of residential occupancy or a suite of care occupancy, other barrier-free washrooms are provided on the same floor area within 45 m, or it is located in an individual suite that is used for a business and personal services occupancy, a mercantile occupancy or an industrial occupancy, less than 500 m2 in area, and completely separated from, and without access to, the remainder of the building. (See Note A-3.8.2.8.(1) to (4).)","A washroom need not conform to the requirements of Sentence 3.8.2.8.(1) provided it is located within a suite of residential occupancy or a suite of care occupancy, other barrier-free washrooms are provided on the same floor area within 45 m, or it is located in an individual suite that is used for a business and personal services occupancy, a mercantile occupancy or an industrial occupancy, less than 500 m2 in area, and completely separated from, and without access to, the remainder of the building. (See Note A-3.8.2.8.(1) to (3).)",0.9887640449438202
7177,"Except as required by Sentence 3.2.1.1.(5), the space above a mezzanine need not be considered as a storey in calculating the building height, provided the aggregate area of mezzanines that are not superimposed does not exceed 40% of the open area of the room in which they are located (see Note A-3.2.1.1.(3)(a)), and (see Note A-3.2.1.1.(3)(a)), except as permitted in Sentences 3.2.1.1.(7)and 3.3.2.13.(3), the space above the mezzanine is used as an open area without partitions or subdividing walls higher than 1 070 mm above the mezzanine floor.","Except as required by Sentence 3.2.1.1.(5), the space above a mezzanine need not be considered as a storey in calculating the building height, provided the aggregate area of mezzanines that are not superimposed does not exceed 40% of the open area of the room in which they are located (see Note A-3.2.1.1.(3)(a)), and except as permitted in Sentences 3.2.1.1.(7) and 3.3.2.13.(3), the space above the mezzanine is used as an open area without partitions or subdividing walls higher than 1 070 mm above the mezzanine floor.",0.9886363636363636
1433,"For domes of circular plan form (see Figure 4.1.6.10.), Ca shall along the central axis parallel to the wind, vary in the same way as for an arch roof with the same rise-to-span ratio, h/b, and off this axis, vary according to Ca x,y =Ca x,0 1-yrwhereCa(x,y)= value of Ca at location (x,y), Ca(x,0)= value of Ca on the central axis parallel to the wind, x= distance along the central axis parallel to the wind, y= horizontal coordinate normal to the x direction, and r= radius of dome.","For domes of circular plan form (see Figure 4.1.6.10.-B), Ca shall along the central axis parallel to the wind, vary in the same way as for an arch roof with the same rise-to-span ratio, h/b, and off this axis, vary according to Ca x,y =Ca x,0 1-yrwhereCa(x,y)= value of Ca at location (x,y), Ca(x,0)= value of Ca on the central axis parallel to the wind, x= distance along the central axis parallel to the wind, y= horizontal coordinate normal to the x direction, and r= radius of dome.",0.9886363636363636
3922,"Except as provided in Sentences 9.10.12.4.(4)and 9.10.12.4.(5), the construction described in Sentence 9.10.12.4.(1) shall have no unprotected openings and shall be protected in accordance with Sentence 9.10.12.4.(3), where the soffit encloses a common attic or roof space that spans more than 2 suites of residential occupancy and projects beyond the exterior wall of the building, a floor space where an upper storey projects beyond the exterior wall of a lower storey and a fire separation is required at the floor between the two, or the floor separates dwelling units from each other or a dwelling unit from an ancillary space or a common space in a house with a secondary suite, or a floor space where an upper storey projects beyond the exterior wall of a lower storey, and the projection is continuous across a vertical fire separation separating two suites, or a wall separating dwelling units from each other or a dwelling unit from an ancillary space or a common space in a house with a secondary suite.","Except as provided in Sentences 9.10.12.4.(4) and 9.10.12.4.(5), the construction described in Sentence 9.10.12.4.(1) shall have no unprotected openings and shall be protected in accordance with Sentence 9.10.12.4.(3), where the soffit encloses a common attic or roof space that spans more than 2 suites of residential occupancy and projects beyond the exterior wall of the building, a floor space where an upper storey projects beyond the exterior wall of a lower storey and a fire separation is required at the floor between the two, or the floor separates dwelling units from each other or a dwelling unit from an ancillary space or a common space in a house with a secondary suite, or a floor space where an upper storey projects beyond the exterior wall of a lower storey, and the projection is continuous across a vertical fire separation separating two suites, or a wall separating dwelling units from each other or a dwelling unit from an ancillary space or a common space in a house with a secondary suite.",0.9882352941176471
1193,"Counters required by Sentence 3.8.2.11.(1) shall have at least one barrier-free section not less than 760 mm long centred over a knee space conforming to Clause 3.8.3.19.(1)(c), a surface not more than 865 mm above the floor, and except as provided in Sentence 3.8.3.19.(2) and where the counter is intended to be used as a work surface, a knee space underneath it that is not less than 760 mm wide, not less than 685 mm high, and not less than 485 mm deep.","Counters required by Sentence 3.8.2.11.(1) shall have at least one barrier-free section not less than 760 mm long centred over a knee space conforming to Clause (c), a surface not more than 865 mm above the floor, and except as provided in Sentence 3.8.3.19.(2) and where the counter is intended to be used as a work surface, a knee space underneath it that is not less than 760 mm wide, not less than 685 mm high, and not less than 485 mm deep.",0.9879518072289156
4998,"Bathtubs required by Sentence 3.8.2.8.(11) shall be located in a room with a clear floor space not less than 1 500 mm in diameter, be not less than 1 500 mm long, have a clear floor space not less than 750 mm wide adjacent to its entire length, be capable of being accessed along its full length with no tracks mounted on its rim, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), and are located on the centre line or between the centre line of the bathtub and the exterior edge of the bathtub rim, at a maximum height of 450 mm above the rim, have three grab bars that conform to Sentence 3.7.2.8.(1), that are not less than 1 200 mm long, two of which are located vertically at each end of the bathtub, set 80 mm to 120 mm in from the outside edge of the bathtub, with their lower end 180 mm to 280 mm above the bathtub rim, and one of which is located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, have a slip-resistant bottom surface, and be equipped with a hand-held shower head with not less than 1 800 mm of flexible hose that can be used in a fixed position at a height of 1 200 mm and 2 030 mm. (See Note A-3.8.3.18.)","Bathtubs required by Sentence 3.8.2.8.(11) shall be located in a room with a clear floor space not less than 1 500 mm in diameter, be not less than 1 500 mm long, have a clear floor space not less than 750 mm wide adjacent to its entire length, be capable of being accessed along its full length with no tracks mounted on its rim, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), and are located on the centre line or between the centre line of the bathtub and the exterior edge of the bathtub rim, at a maximum height of 450 mm above the rim, have three grab bars that conform to Sentence 3.7.2.8.(1), that are not less than 1 200 mm long, two of which are located vertically at each end of the bathtub, set 80 mm to 120 mm in from the outside edge of the bathtub, with their lower end 180 mm to 280 mm above the bathtub rim, and one of which is located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, have a slip-resistant bottom surface, and be equipped with a hand-held shower head with not less than 1 800 mm of flexible hose that can be used in a fixed position at a height of 1 200 mm and 2 030 mm.",0.9870689655172413
1155,"For single-storeybuildings with steel deck or wood roof diaphragms designed with a value of Rd greater than 1.5 and where the calculated maximum relative deflection,  D, of the diaphragm under lateral loads exceeds 50% of the average storey drift,  B, of the adjoining vertical elements of the SFRS, dynamic magnification of the inelastic response due to the in-plane diaphragm deformations shall be accounted for in the design as follows: the vertical elements of the SFRS shall be designed and detailed to any one of the following: to accommodate the anticipated magnified lateral deformations taken as RoRd ( B + D) - Ro D, to resist the forces magnified by Rd(1 +  D/ B)/(Rd +  D/ B), or by a special study, and the roof diaphragm and chords shall be designed for in-plane shears and moments determined while taking into consideration the inelastic higher mode response of the structure. (See Note A-4.1.8.15.(4).)","For single-storey buildings with steel deck or wood roof diaphragms designed with a value of Rd greater than 1.5 and where the calculated maximum relative deflection,  D, of the diaphragm under lateral loads exceeds 50% of the average storey drift,  B, of the adjoining vertical elements of the SFRS, dynamic magnification of the inelastic response due to the in-plane diaphragm deformations shall be accounted for in the design as follows: the vertical elements of the SFRS shall be designed and detailed to any one of the following: to accommodate the anticipated magnified lateral deformations taken as RoRd ( B + D) - Ro D, to resist the forces magnified by Rd(1 +  D/ B)/(Rd +  D/ B), or by a special study, and the roof diaphragm and chords shall be designed for in-plane shears and moments determined while taking into consideration the inelastic higher mode response of the structure. (See Note A-4.1.8.15.(4).)",0.9867549668874173
4463,"Audible signal devices within dwelling units that are wired on separate signal circuits need not include a means for silencing as required by Sentence 3.2.4.18.(7) provided the fire alarm system includes a provision for an automatic signal silence within dwelling units, where the automatic signal silence cannot occur within the first 60 s of operation or within the zone of initiation, a subsequent alarm elsewhere in the building will reactuate the silenced audible signal devices within dwelling units, after a period of not more than 10 min, the silenced audible signal devices will be restored to continuous audible signal if the alarm is not acknowledged, and the voice communication systems referred to in Articles 3.2.4.22.and 3.2.4.23. have a provision to override the automatic signal silence to allow the transmission of voice messages through silenced audible signal device circuits that serve the dwelling units. (See Note A-3.2.4.18.(7).)","Audible signal devices within dwelling units that are wired on separate signal circuits need not include a means for silencing as required by Sentence 3.2.4.18.(7) provided the fire alarm system includes a provision for an automatic signal silence within dwelling units, where the automatic signal silence cannot occur within the first 60 s of operation or within the zone of initiation, a subsequent alarm elsewhere in the building will reactuate the silenced audible signal devices within dwelling units, after a period of not more than 10 min, the silenced audible signal devices will be restored to continuous audible signal if the alarm is not acknowledged, and the voice communication systems referred to in Articles 3.2.4.22. and 3.2.4.23. have a provision to override the automatic signal silence to allow the transmission of voice messages through silenced audible signal device circuits that serve the dwelling units. (See Note A-3.2.4.18.(7).)",0.9863945578231292
4459,"Where a bathtub is installed in a hotel or a motel, it shall have a clear floor space at least 750 mm wide along its length, except that a water closet or a lavatory is permitted to encroach this space, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), have a slip-resistant bottom surface, have grab bars that conform to Sentence 3.7.2.8.(1), are not less than 1 200 mm long located vertically at the end of the bathtub that is adjacent to the clear floor space, with the lower end between 180 mm and 280 mm above the bathtub rim, and are not less than 1 200 mm long located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, and be capable of being accessed along its full length with no tracks mounted on the bathtub rim.","Where a bathtub is installed in a hotel or a motel, it shall have a clear floor space at least 750 mm wide along its length, except that a water closet or a lavatory is permitted to encroach this space, have faucets and other controls that conform to Sentence 3.8.3.8.(1), have a slip-resistant bottom surface, have grab bars that conform to Sentence 3.7.2.8.(1), are not less than 1 200 mm long located vertically at the end of the bathtub that is adjacent to the clear floor space, with the lower end between 180 mm and 280 mm above the bathtub rim, and are not less than 1 200 mm long located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, and be capable of being accessed along its full length with no tracks mounted on the bathtub rim.",0.9863013698630136
7894,"Where the actual normal operating exhaust capacity of the fan installed to satisfy the requirement for a principal ventilation fan exceeds the maximum outdoor airflow permitted by Table 9.32.3.4. for a mixed air temperature of 15°C or exceeds the minimum acceptable return air temperature specified by the manufacturer of the furnace, whichever is less, then either the system shall incorporate a means for tempering outdoor air introduced to the heating system ducts so that a mixed air temperature of 15°C or the minimum acceptable return air temperature specified by the manufacturer of the furnace, whichever is less, is achieved when the outdoor air is at the January 2.5% temperature and the indoor air temperature is 22°C, or this Article shall be considered to be no longer applicable and the mechanical ventilation system shall comply with either Clause 9.32.3.1.(1)(a) or with Article 9.32.3.5.","Where the actual normal operating exhaust capacity of the fan installed to satisfy the requirement for a principal ventilation fan exceeds the maximum outdoor airflow permitted by Table 9.32.3.4. for a mixed air temperature of 15°C or exceeds the minimum acceptable return air temperature specified by the manufacturer of the furnace, whichever is less, then either the system shall incorporate a means for tempering outdoor air introduced to the heating system ducts so that a mixed air temperature of 15°C or the minimum acceptable return air temperature specified by the manufacturer of the furnace, whichever is less, is achieved when the outdoor air is at the January 2.5% temperature and the indoor air temperature is 22°C, or this Article shall be considered to be no longer applicable and the mechanical ventilation system shall comply with either Sentence 9.32.3.1.(1) or with Article 9.32.3.5.",0.9859154929577465
5933,"Except as provided in Subsection 6.3.4., systems serving spaces that contain hazardous gases, dusts or liquids shall be designed, constructed and installed to conform to the requirements of the applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, to good engineering practice such as that described in the publications of the National Fire Protection Association and in the NFC. (See Note A-6.9.1.2.(1).)","Except as provided in Subsection 6., systems serving spaces that contain hazardous gases, dusts or liquids shall be designed, constructed and installed to conform to the requirements of the applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, to good engineering practice such as that described in the publications of the National Fire Protection Association and in the NFC. (See Note A-6.9.1.2.(1).)",0.9857142857142858
1621,"In using Table 9.32.3.11.-A, when sizing branch ducts, ""maximum length of duct"" refers to the physical length of the duct from the interior grille served by that branch duct to the exterior hood, when sizing a trunk duct, ""maximum length of duct"" refers to the physical length of the duct from the interior grille of the longest branch served by that trunk to the exterior hood, outdoor air supply ducts shall be sized as trunk ducts, ""maximum airflow in duct"" refers to the maximum airflow rate that a given section of duct (branch or must provide to satisfy the ventilation system design, and ""fan’s external static pressure"" refers to the external static pressure at which the fan is rated to achieve the maximum airflow rate that the fan is required or intended to provide.","In using Table 9.32.3.11.-A, when sizing branch ducts, ""maximum length of duct"" refers to the physical length of the duct from the interior grille served by that branch duct to the exterior hood, when sizing a trunk duct, ""maximum length of duct"" refers to the physical length of the duct from the interior grille of the longest branch served by that trunk to the exterior hood, outdoor air supply ducts shall be sized as trunk ducts, ""maximum airflow in duct"" refers to the maximum airflow rate that a given section of duct (branch or must provide to satisfy the ventilation system design, and ""fan s external static pressure"" refers to the external static pressure at which the fan is rated to achieve the maximum airflow rate that the fan is required or intended to provide.",0.9851851851851852
7629,"Except as required by Article 3.3.3.4., a door that opens into or is located within a public corridor or other facility that provides access to exit from a suite shall provide a clear opening of not less than 800 mm if there is only one door leaf, in a doorway with multiple leaves, have the active leaf providing a clear opening of not less than 800 mm, not open onto a step, and have a threshold not more than 13 mm higher than the surrounding finished floor surface, except where it is used to confine the spillage of flammable liquids within a service room or within a room in an industrial occupancy, or provides access to an exterior balcony, unless the balcony is required by Clause 3.3.1.7.(1)(c).","Except as required by Article 3.3.3.4., a door that opens into or is located within a public corridor or other facility that provides access to exit from a suite shall provide a clear opening of not less than 800 mm if there is only one door leaf, in a doorway with multiple leaves, have the active leaf providing a clear opening of not less than 800 mm, not open onto a step, and have a threshold not more than 13 mm higher than the surrounding finished floor surface, except where it is used to confine the spillage of flammable liquids within a service room or within a room in an industrial occupancy, or provides access to an exterior balcony, unless the balcony is required by Sentence 3.3.1.7.(1).",0.984251968503937
11336,"Except as provided in Sentence 5.5.5.3.(7), where cylinders of dangerous goods classified as toxic gases are used in a laboratory, they shall be located in a continuously mechanically ventilated gas storage cabinet, all exhaust shall be directed to a treatment system designed to process the accidental release of gas (see Note A-5.5.5.3.(5)(b) and (7)(b)), and the gas levels in the air shall be monitored by a gas detection system designed to emit an audible and visual signal within the laboratory and at a central station when gas levels exceed the exposure limit values established by provincial or territorial regulations or municipal by-laws or, in the absence of such regulations or bylaws, when they exceed the exposure limit values stated in the Safety Data Sheet.","Except as provided in Sentence 5.5.5.3.(7), where cylinders of dangerous goods classified as toxic gases are used in a laboratory, they shall be located in a continuously mechanically ventilated gas storage cabinet, all exhaust shall be directed to a treatment system designed to process the accidental release of gas (see Note A-5.5.5.3.(5)(b)), and the gas levels in the air shall be monitored by a gas detection system designed to emit an audible and visual signal within the laboratory and at a central station when gas levels exceed the exposure limit values established by provincial or territorial regulations or municipal by-laws or, in the absence of such regulations or bylaws, when they exceed the exposure limit values stated in the Safety Data Sheet.",0.9838709677419355
11189,"Fixed dispensers for Class II or IIIA liquids are permitted to be installed inside a building when the building is not open to the public, the dispensers are located on the first storey, drainage is provided, and ventilation is provided in conformance with Subsection 4.1.7. and with the requirements for storage garages in Subsection 6.3.1. of Division B of the NBC.","Fixed dispensers for Class II or IIIA liquids are permitted to be installed inside a building when the building is not open to the public, the dispensers are located on the first storey, drainage is provided, and ventilation is provided in conformance with part 4. and with the requirements for storage garages in Subsection 6.3.1. of Division B of the NBC.",0.9836065573770492
10112,"In buildings within the scope of Subsection 3.2.6. of Division B of the NBC, the fire safety plan shall, in addition to the requirements of Sentence 2.8.2.1.(1), include the training of supervisory staff in the use of the voice communication system, the procedures for the use of elevators, the action to be taken by supervisory staff in initiating any smoke control or other fire emergency systems installed in a building in the event of fire until the fire department arrives, instructions to the supervisory staff and fire department for the operation of the systems referred to in Clause 2.8.2.4.(1)(c), and the procedures established to facilitate fire department access to the building and fire location within the building.","In buildings within the scope of Subsection 3.2.6. of Division B of the NBC, the fire safety plan shall, in addition to the requirements of Sentence 2.8.2.1.(1), include the training of supervisory staff in the use of the voice communication system, the procedures for the use of elevators, the action to be taken by supervisory staff in initiating any smoke control or other fire emergency systems installed in a building in the event of fire until the fire department arrives, instructions to the supervisory staff and fire department for the operation of the systems referred to in Sentence 2.8.2.4.(1), and the procedures established to facilitate fire department access to the building and fire location within the building.",0.9829059829059829
4658,"For arch roofs with a slope at the edge  e   30° (see Figure 4.1.6.10. and Table 4.1.6.10.), Ca shall be taken as 0 on the upwind side of the peak, and on the downwind side of the peak, taken as Ca=xh0.03Cbb2for0.05&lt;hb  0.12andCa=4xCbb forhb>0.12wherex= horizontal distance from the roof peak, h= height of arch, and b= width of arch.","For arch roofs with a slope at the edge  e   30° (see Figure 4.1.6.10.-A and Table 4.1.6.10.), Ca shall be taken as 0 on the upwind side of the peak, and on the downwind side of the peak, taken as Ca=xh0.03Cbb2for0.05&lt;hb  0.12andCa=4xCbb forhb>0.12wherex= horizontal distance from the roof peak, h= height of arch, and b= width of arch.",0.9827586206896551
5703,"Except for stairs and ramps serving only one dwelling unit or a house with a secondary suite including their common spaces, at least one handrail at the sides of a stair or ramp shall extend horizontally not less than 300 mm beyond the top and bottom of each flight or ramp. (See Note A-9.8.7.3.(2).) (See Note A-9.8.7.4.)","Except for stairs and ramps serving only one dwelling unit or a house with a secondary suite including their common spaces, at least one handrail at the sides of a stair or ramp shall extend horizontally not less than 300 mm beyond the top and bottom of each flight or ramp. (See Note A-9.8.7.3.(2).)",0.9824561403508771
